step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
141,PAYMENT,12558.52,C44706450,40501.0,27942.48,M28860664,0.0,0.0
141,PAYMENT,11555.1,C1296132514,15672.0,4116.9,M97100206,0.0,0.0
141,CASH_IN,371064.67,C1449452863,753.0,371817.67,C1493440308,0.0,0.0
141,PAYMENT,7808.3,C345632939,252.0,0.0,M1381205987,0.0,0.0
141,PAYMENT,10986.76,C450857174,60130.0,49143.24,M1810090927,0.0,0.0
141,PAYMENT,11147.19,C807690960,76659.0,65511.81,M2114361256,0.0,0.0
141,CASH_IN,257747.16,C418986374,62918.0,320665.16,C1172054962,1459591.31,1201844.15
141,CASH_OUT,6461.03,C1840396165,320665.16,314204.13,C1998683159,224110.62,230571.66
141,PAYMENT,2469.08,C2123627009,50876.0,48406.92,M878873004,0.0,0.0
141,CASH_IN,184409.5,C1703322543,1109.0,185518.5,C1270142610,203903.06,19493.56
141,PAYMENT,3383.38,C435469957,19934.0,16550.62,M2027293768,0.0,0.0
141,PAYMENT,5809.81,C1482278167,11100.0,5290.19,M143826536,0.0,0.0
141,CASH_OUT,104719.95,C875436393,329.0,0.0,C463826424,207811.76,312531.71
141,CASH_IN,84895.71,C2085808104,0.0,84895.71,C1041421564,25553.76,0.0
141,PAYMENT,3043.79,C1781920776,317795.0,314751.21,M1984452344,0.0,0.0
141,PAYMENT,5795.48,C854195209,11670.0,5874.52,M1508843547,0.0,0.0
141,CASH_OUT,130227.66,C473897626,105507.0,0.0,C1710386957,214651.57,344879.23
141,CASH_IN,184941.57,C678715507,263663.0,448604.57,C289699646,993200.38,808258.81
141,CASH_IN,101480.91,C1434507456,11500.0,112980.91,C1941804298,0.0,0.0
141,PAYMENT,11338.61,C1976554899,112980.91,101642.3,M289471098,0.0,0.0
141,PAYMENT,7453.61,C448559065,101642.3,94188.69,M1227487894,0.0,0.0
141,PAYMENT,13650.03,C1111612781,572400.0,558749.97,M1422158965,0.0,0.0
141,TRANSFER,43538.44,C767548299,50530.0,6991.56,C1958036068,5701735.19,5745273.63
141,CASH_IN,53555.74,C725903840,544869.0,598424.74,C91011685,276847.12,223291.38
141,CASH_OUT,68842.46,C1738699600,10693.0,0.0,C902057440,0.0,68842.46
141,CASH_OUT,53436.61,C275913749,26629.0,0.0,C121149627,0.0,53436.61
141,PAYMENT,3246.98,C1136852499,70.0,0.0,M1270973666,0.0,0.0
141,CASH_OUT,171064.64,C1066227257,512.0,0.0,C1836983335,141146.53,312211.17
141,PAYMENT,10352.11,C1067411305,101842.0,91489.89,M1803105519,0.0,0.0
141,PAYMENT,24082.77,C743988214,91489.89,67407.12,M2041707738,0.0,0.0
141,PAYMENT,8996.39,C1037133994,101596.0,92599.61,M523107763,0.0,0.0
141,PAYMENT,2680.89,C1900319307,110090.0,107409.11,M124123029,0.0,0.0
141,TRANSFER,2260594.9,C826756075,107409.11,0.0,C650196613,5652299.31,7912894.22
141,PAYMENT,14581.62,C1106765845,10482.0,0.0,M351599786,0.0,0.0
141,CASH_OUT,207446.14,C1015376126,51429.0,0.0,C474049590,3127098.17,3334544.32
141,PAYMENT,22297.24,C932603030,5097.0,0.0,M1239389489,0.0,0.0
141,CASH_IN,88428.61,C2063413516,62441.0,150869.61,C1283265597,0.0,0.0
141,PAYMENT,7245.58,C1831367733,150869.61,143624.02,M1763577810,0.0,0.0
141,CASH_IN,27915.94,C1549625821,20759.0,48674.94,C1634206907,1043043.09,1015127.16
141,CASH_OUT,42910.66,C1329284619,48674.94,5764.28,C728944672,186097.83,229008.49
141,CASH_OUT,185540.96,C1629231621,31356.0,0.0,C499246996,165655.04,336375.88
141,PAYMENT,13774.6,C2028337515,11174.0,0.0,M1329685547,0.0,0.0
141,CASH_IN,92402.14,C1524590806,121.0,92523.14,C1212506233,0.0,596089.69
