step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
366,TRANSFER,1846748.79,C1895315229,1846748.79,0.0,C1691229227,0.0,0.0
366,CASH_OUT,1846748.79,C1233106691,1846748.79,0.0,C1805423931,158690.24,2005439.03
366,TRANSFER,500003.56,C342198691,500003.56,0.0,C87161857,0.0,0.0
366,CASH_OUT,500003.56,C1283250081,500003.56,0.0,C956555426,0.0,500003.56
366,TRANSFER,2701644.17,C1273953731,2701644.17,0.0,C1701713893,0.0,0.0
366,CASH_OUT,2701644.17,C399282086,2701644.17,0.0,C1910008940,0.0,2701644.17
366,TRANSFER,769619.59,C794571885,769619.59,0.0,C1390885602,0.0,0.0
366,CASH_OUT,769619.59,C87506936,769619.59,0.0,C770921525,32332.95,801952.54
366,TRANSFER,5807351.83,C957078136,5807351.83,0.0,C819604043,0.0,0.0
366,CASH_OUT,5807351.83,C1254740800,5807351.83,0.0,C258745277,34380.89,5841732.72
