step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
739,TRANSFER,176549.59,C591532921,176549.59,0.0,C1612941843,0.0,0.0
739,CASH_OUT,176549.59,C1566996689,176549.59,0.0,C886844880,409531.17,586080.76
739,TRANSFER,7758036.72,C365237849,7758036.72,0.0,C332427023,0.0,0.0
739,CASH_OUT,7758036.72,C459813446,7758036.72,0.0,C294714363,47778.61,7805815.33
739,TRANSFER,156691.56,C671228809,156691.56,0.0,C1102996671,0.0,0.0
739,CASH_OUT,156691.56,C1179416232,156691.56,0.0,C738050575,842252.15,998943.71
739,TRANSFER,8116.53,C2072430566,8116.53,0.0,C765215468,0.0,0.0
739,CASH_OUT,8116.53,C564539602,8116.53,0.0,C1935865739,7638.26,15754.79
739,TRANSFER,194521.28,C1696012302,194521.28,0.0,C411128068,0.0,0.0
739,CASH_OUT,194521.28,C1558118886,194521.28,0.0,C987019949,7203373.74,7397895.02
