step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
316,TRANSFER,634911.47,C387585754,634911.47,0.0,C1352527302,0.0,0.0
316,CASH_OUT,634911.47,C66770799,634911.47,0.0,C1680241779,8841.66,643753.13
316,TRANSFER,1825908.12,C1739433736,1825908.12,0.0,C988790876,0.0,0.0
316,CASH_OUT,1825908.12,C1679134628,1825908.12,0.0,C1851310686,0.0,1825908.12
316,TRANSFER,607684.02,C603912506,607684.02,0.0,C100427864,0.0,0.0
316,CASH_OUT,607684.02,C1995047813,607684.02,0.0,C1810856999,1788810.68,2396494.7
316,TRANSFER,158279.4,C2088071095,158279.4,0.0,C2038364008,0.0,0.0
316,CASH_OUT,158279.4,C878032690,158279.4,0.0,C1366404133,778522.62,936802.02
316,TRANSFER,72665.95,C1614200747,72665.95,0.0,C253218862,0.0,0.0
316,CASH_OUT,72665.95,C1181122051,72665.95,0.0,C1800302951,31012.3,103678.25
316,TRANSFER,1340263.67,C288991663,1340263.67,0.0,C1161141257,0.0,0.0
316,CASH_OUT,1340263.67,C147611805,1340263.67,0.0,C1596756534,371963.94,1712227.61
