step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
415,TRANSFER,224230.16,C1765991027,224230.16,0.0,C791615814,0.0,0.0
415,CASH_OUT,224230.16,C1055929140,224230.16,0.0,C645291473,427065.03,651295.19
415,TRANSFER,23236.49,C1376272223,23236.49,0.0,C684942483,0.0,0.0
415,CASH_OUT,23236.49,C631901150,23236.49,0.0,C705161174,179969.72,203206.21
415,TRANSFER,13659.45,C1238777492,13659.45,0.0,C873898487,0.0,0.0
415,CASH_OUT,13659.45,C443989822,13659.45,0.0,C1408237978,474620.98,488280.42
415,TRANSFER,461369.99,C152541672,461369.99,0.0,C14138104,0.0,0.0
415,CASH_OUT,461369.99,C2081855471,461369.99,0.0,C1671232989,2572575.13,3033945.11
415,TRANSFER,191834.14,C80491623,191834.14,0.0,C1674773109,0.0,0.0
415,CASH_OUT,191834.14,C728560783,191834.14,0.0,C662256008,105924.3,297758.43
415,TRANSFER,3242183.64,C503443667,3242183.64,0.0,C1319935848,0.0,0.0
415,CASH_OUT,3242183.64,C1457562899,3242183.64,0.0,C507441404,0.0,3242183.64
415,TRANSFER,1675153.28,C871029924,1675153.28,0.0,C1466367171,0.0,0.0
415,CASH_OUT,1675153.28,C2137951962,1675153.28,0.0,C309573869,12832.26,1687985.53
415,TRANSFER,37766.23,C1853390476,37766.23,0.0,C1785352620,0.0,0.0
415,CASH_OUT,37766.23,C1029932653,37766.23,0.0,C1868084224,2344708.27,2382474.5
