step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
136,CASH_OUT,425928.04,C252230506,158826.0,0.0,C2019227536,0.0,425928.04
136,PAYMENT,11151.72,C311604874,0.0,0.0,M1907770958,0.0,0.0
136,PAYMENT,14456.51,C1735762477,0.0,0.0,M770475586,0.0,0.0
136,PAYMENT,32443.76,C718099347,0.0,0.0,M1770714290,0.0,0.0
136,PAYMENT,5605.83,C597972836,182.0,0.0,M1790122948,0.0,0.0
136,CASH_OUT,435021.17,C706911434,12420.0,0.0,C1752849708,7661.89,442683.06
136,CASH_OUT,503995.04,C338940504,22407.0,0.0,C1225964899,1264435.87,1768430.9
136,CASH_IN,18968.17,C355317965,1924.0,20892.17,C1652647340,54017.84,35049.67
136,CASH_OUT,662764.61,C1731390615,190467.19,0.0,C578355644,716688.78,1379453.39
136,PAYMENT,4978.32,C1506338935,0.0,0.0,M1407406084,0.0,0.0
136,CASH_OUT,411342.23,C728789349,29734.0,0.0,C751381152,8792.64,420134.87
136,CASH_OUT,30087.22,C1540777672,49607.0,19519.78,C1819713585,227716.04,257803.26
136,CASH_OUT,109845.38,C1162065557,267265.0,157419.62,C502949729,18288.56,128133.94
136,PAYMENT,29956.01,C216640841,157419.62,127463.61,M607788776,0.0,0.0
136,PAYMENT,5678.26,C1278397569,6413.0,734.74,M345844876,0.0,0.0
136,TRANSFER,481204.53,C1440696499,734.74,0.0,C1379319395,3828964.22,4310168.75
136,CASH_OUT,144778.59,C560382398,19905.0,0.0,C1512924954,144051.01,288829.6
136,PAYMENT,14200.72,C2078951383,243175.0,228974.28,M116325738,0.0,0.0
136,CASH_IN,146003.14,C693872596,16049.0,162052.14,C1340451386,135113.51,0.0
136,CASH_OUT,1790.36,C1051191408,99430.0,97639.64,C1965508351,20307.91,22098.26
136,PAYMENT,18896.63,C391824524,97639.64,78743.02,M1722707616,0.0,0.0
136,PAYMENT,7903.61,C314511526,78743.02,70839.41,M324701929,0.0,0.0
136,PAYMENT,30607.86,C1390757546,70839.41,40231.55,M1202452792,0.0,0.0
136,CASH_IN,167603.35,C771488587,2150.0,169753.35,C573275881,686288.29,518684.93
136,PAYMENT,8831.11,C1787889115,169753.35,160922.24,M305782325,0.0,0.0
136,PAYMENT,7215.87,C180590451,160922.24,153706.37,M2022708419,0.0,0.0
136,CASH_OUT,241187.2,C441285079,20705.0,0.0,C1064303600,1078.11,242265.31
136,CASH_IN,186033.22,C1188676829,200886.0,386919.22,C2006539591,991203.21,805169.99
136,PAYMENT,18519.77,C1354218362,848.0,0.0,M679054243,0.0,0.0
136,CASH_OUT,38018.44,C1502338234,0.0,0.0,C1284978055,509006.55,547024.99
136,CASH_OUT,152094.84,C1375474810,0.0,0.0,C1752541875,1082730.08,1234824.92
136,TRANSFER,1393176.27,C1014831444,61725.0,0.0,C1112331265,0.0,1393176.27
136,PAYMENT,21288.95,C1480440299,0.0,0.0,M1607778394,0.0,0.0
136,PAYMENT,15332.94,C1849315358,0.0,0.0,M987317044,0.0,0.0
136,PAYMENT,20869.28,C253642597,0.0,0.0,M1982959820,0.0,0.0
136,PAYMENT,1255.28,C1253541044,0.0,0.0,M973581877,0.0,0.0
136,CASH_OUT,378490.89,C1197466495,55616.0,0.0,C1332906314,5355.97,383846.85
136,CASH_OUT,554021.92,C1024634024,405956.0,0.0,C1459644049,71798.99,625820.91
136,PAYMENT,733.39,C1266027930,194694.0,193960.61,M1275557063,0.0,0.0
136,PAYMENT,18453.13,C1962615331,6128.0,0.0,M1554294776,0.0,0.0
136,CASH_IN,53854.89,C658864939,243.0,54097.89,C971608004,522939.46,469084.57
136,PAYMENT,5506.74,C1351848520,31536.0,26029.26,M2102675523,0.0,0.0
136,CASH_IN,265121.01,C70695798,57703.0,322824.01,C1267055395,0.0,0.0
136,TRANSFER,1111694.3,C145102072,10606.0,0.0,C1394905270,1414950.26,2526644.56
136,PAYMENT,16155.82,C1147917942,169791.0,153635.18,M463640808,0.0,0.0
136,CASH_OUT,250178.09,C712928737,9970.0,0.0,C517567439,65047.69,315225.78
136,CASH_OUT,438240.09,C315075970,559.0,0.0,C2107054888,163680.49,601920.57
136,PAYMENT,41832.91,C134549962,0.0,0.0,M133148154,0.0,0.0
136,PAYMENT,16765.09,C1588054403,10157.0,0.0,M1898169448,0.0,0.0
136,CASH_IN,197666.07,C1367871687,55725.0,253391.07,C1301658958,0.0,0.0
136,PAYMENT,7505.36,C737343345,253391.07,245885.71,M1274660957,0.0,0.0
136,CASH_OUT,99647.53,C605443534,19858.0,0.0,C90482972,1246555.84,1346203.37
136,TRANSFER,588180.93,C898201507,7039.0,0.0,C135432913,242448.85,830629.78
136,CASH_IN,388827.94,C159143708,55210.0,444037.94,C908038040,462129.2,73301.26
136,CASH_OUT,282348.22,C214093134,444037.94,161689.72,C1768655730,1065952.78,1348301.0
136,CASH_OUT,242278.13,C451694909,161689.72,0.0,C397753053,6074741.51,6317019.64
136,PAYMENT,6497.96,C1680218540,15073.0,8575.04,M252274307,0.0,0.0
136,CASH_IN,356867.53,C364602001,11368.0,368235.53,C890903167,0.0,0.0
136,CASH_OUT,180474.44,C1831251106,12702.0,0.0,C1806637850,3168316.06,3348790.5
136,CASH_OUT,317618.08,C966341587,74893.0,0.0,C2111065363,8869.91,326488.0
136,PAYMENT,699.95,C2103473949,0.0,0.0,M864103882,0.0,0.0
136,CASH_IN,302886.69,C1805304996,19308.0,322194.69,C192508395,415691.24,112804.55
136,CASH_IN,267613.3,C460158383,1140.0,268753.3,C916146305,2219486.84,1951873.54
136,PAYMENT,22103.17,C1699426624,268753.3,246650.13,M1595850590,0.0,0.0
136,PAYMENT,14270.0,C1654452221,2479.0,0.0,M304885260,0.0,0.0
136,PAYMENT,22612.56,C777116728,5797.0,0.0,M69165795,0.0,0.0
136,CASH_IN,319179.46,C24741530,155.0,319334.46,C1146664465,848483.39,529303.93
136,CASH_OUT,249736.78,C1918272759,631.0,0.0,C1834863702,4795175.97,5044912.75
136,TRANSFER,201360.83,C1388721817,34238.0,0.0,C46107951,0.0,201360.83
136,PAYMENT,2840.64,C758210136,39955.0,37114.36,M1613840434,0.0,0.0
136,CASH_OUT,291638.96,C637927935,42334.0,0.0,C1622667839,0.0,291638.96
136,CASH_OUT,109666.1,C1167559000,6093.0,0.0,C555083956,2670890.36,2780556.46
136,PAYMENT,4854.67,C1660144684,111513.0,106658.33,M136913040,0.0,0.0
136,CASH_OUT,273622.42,C506904979,23045.0,0.0,C2042929085,661711.13,935333.55
136,PAYMENT,16694.96,C1737639492,0.0,0.0,M469525558,0.0,0.0
136,PAYMENT,28942.82,C1511058041,0.0,0.0,M1912771313,0.0,0.0
136,CASH_OUT,344644.53,C131549843,178.0,0.0,C1092453217,0.0,344644.53
136,CASH_IN,52112.15,C2146587531,273768.0,325880.15,C418923252,2727660.04,2675547.89
136,TRANSFER,143437.09,C585907502,175.0,0.0,C1652968627,0.0,143437.09
136,CASH_OUT,454335.19,C1151317656,22155.0,0.0,C1745728314,8264.77,462599.96
136,CASH_OUT,351841.58,C2032271178,0.0,0.0,C2099422862,452808.58,804650.17
136,DEBIT,5545.33,C346195438,822.0,0.0,C1973736987,479019.84,484565.18
136,CASH_OUT,236696.43,C1474613017,129052.0,0.0,C434242252,6046927.64,6283624.07
136,TRANSFER,33780.23,C1861654539,0.0,0.0,C1645732584,2041385.31,2075165.55
136,TRANSFER,209481.67,C417063216,0.0,0.0,C1151706143,3057517.25,3266998.91
136,TRANSFER,590758.21,C408324656,0.0,0.0,C1699565892,2123898.84,2714657.06
136,TRANSFER,1435431.41,C1773863460,0.0,0.0,C1236941043,2384419.46,3819850.88
136,TRANSFER,217438.82,C861399512,0.0,0.0,C1395147952,468947.2,686386.02
136,CASH_IN,36864.88,C1958894819,23483.0,60347.88,C362210903,514020.52,477155.64
136,PAYMENT,20608.43,C1491689281,60347.88,39739.46,M1769135194,0.0,0.0
136,CASH_IN,278907.15,C1709695365,247647.0,526554.15,C744214561,0.0,0.0
136,CASH_OUT,179467.7,C61119646,526554.15,347086.45,C1593686413,2772405.3,2951873.0
136,CASH_OUT,343982.22,C296077564,347086.45,3104.23,C148957680,378983.25,722965.47
136,CASH_OUT,333687.46,C1858750110,3104.23,0.0,C1970368420,4882713.09,5216400.55
136,CASH_OUT,42274.62,C888891659,0.0,0.0,C484296092,294189.22,336463.84
136,CASH_OUT,108769.26,C320623462,0.0,0.0,C2115486225,1824915.39,1933684.65
136,CASH_OUT,65067.0,C742497233,0.0,0.0,C1396231845,900460.34,965527.34
136,CASH_OUT,170350.07,C277071473,0.0,0.0,C404923931,2633834.82,2804184.89
136,CASH_OUT,273989.01,C2136954459,0.0,0.0,C376912065,520008.93,793997.94
136,CASH_OUT,212372.63,C237612469,0.0,0.0,C1271828486,428031.65,640404.28
136,CASH_OUT,404427.08,C773202098,0.0,0.0,C2056371163,732809.16,1137236.24
136,CASH_OUT,221258.13,C539544399,0.0,0.0,C115998393,1957705.61,2178963.74
136,CASH_OUT,1278.1,C633384095,0.0,0.0,C955610633,6923506.19,6924784.29
136,CASH_OUT,229209.81,C1724377495,0.0,0.0,C286572493,2181765.97,2410975.79
136,CASH_OUT,29221.62,C2043364941,0.0,0.0,C1014634652,2173046.07,2202267.68
136,CASH_OUT,141343.08,C534743176,0.0,0.0,C808435694,158211.4,299554.48
136,CASH_OUT,148119.35,C1062960056,0.0,0.0,C1456341426,165255.46,313374.81
136,CASH_OUT,248536.27,C1720297109,0.0,0.0,C1190136960,3747835.61,4078227.67
136,CASH_OUT,67005.63,C1163099431,0.0,0.0,C2082036866,2756987.16,2823992.8
