step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
276,CASH_OUT,213752.47,C979540666,91786.0,0.0,C2023070534,0.0,213752.47
276,PAYMENT,4981.4,C585148287,0.0,0.0,M1430843335,0.0,0.0
276,PAYMENT,7705.33,C1503804546,0.0,0.0,M2000411206,0.0,0.0
276,CASH_IN,210007.32,C1355235457,501619.0,711626.32,C1854499376,241405.63,31398.31
276,PAYMENT,16143.8,C1113832329,31812.0,15668.2,M183359851,0.0,0.0
276,CASH_OUT,178502.4,C590203802,562.0,0.0,C2077597843,1281322.61,1459825.01
276,PAYMENT,1648.57,C1225020470,0.0,0.0,M384045420,0.0,0.0
276,PAYMENT,6161.12,C1915139162,45910.0,39748.88,M1067106463,0.0,0.0
276,CASH_OUT,90645.29,C1414825662,39748.88,0.0,C1672655575,1641956.13,1732601.42
276,PAYMENT,11300.54,C1645056553,794.0,0.0,M625901142,0.0,0.0
276,CASH_OUT,63441.54,C1278856280,100251.0,36809.46,C2031423851,106446.83,169888.37
276,CASH_OUT,7361.04,C1017696791,24398.0,17036.96,C1799775933,0.0,7361.04
276,PAYMENT,12658.39,C842695537,5769.0,0.0,M1683023790,0.0,0.0
276,CASH_IN,115098.6,C1720302704,206308.0,321406.6,C1013959080,2.027455298E7,2.015945438E7
276,PAYMENT,1846.69,C474739420,321406.6,319559.91,M2047662895,0.0,0.0
276,PAYMENT,2688.53,C427961943,319559.91,316871.38,M843279147,0.0,0.0
276,PAYMENT,35740.62,C1910350509,40033.0,4292.38,M1830083098,0.0,0.0
276,CASH_IN,348641.88,C1701622137,55567.0,404208.88,C1255030055,191863.76,0.0
276,CASH_IN,114330.77,C1281328332,11502.0,125832.77,C451537266,0.0,0.0
276,PAYMENT,481.59,C1342938912,125832.77,125351.19,M453270321,0.0,0.0
276,PAYMENT,3275.52,C459527761,16646.0,13370.48,M724191253,0.0,0.0
276,TRANSFER,1188549.71,C668213455,32337.0,0.0,C850190493,1021825.95,2210375.66
276,TRANSFER,933506.17,C514861783,0.0,0.0,C1248832061,2142126.95,3075633.11
276,CASH_OUT,136760.13,C459585038,79148.0,0.0,C758900410,0.0,136760.13
276,PAYMENT,3845.0,C1651978135,16026.0,12181.0,M1680062798,0.0,0.0
276,CASH_IN,196197.85,C2077933967,11024.0,207221.85,C635044364,7993.53,0.0
276,TRANSFER,91229.34,C1169218620,1525.0,0.0,C1238359698,2119072.54,2210301.88
276,CASH_OUT,156590.81,C518019210,10176.0,0.0,C2096437697,458980.02,615570.83
276,CASH_OUT,44951.27,C1735420881,148167.0,103215.73,C678196608,0.0,44951.27
276,PAYMENT,8937.6,C1242241033,366741.0,357803.4,M152665160,0.0,0.0
276,PAYMENT,16849.13,C362893801,357803.4,340954.28,M1911262831,0.0,0.0
276,CASH_OUT,127437.13,C1664224011,103169.0,0.0,C964692855,197073.99,324511.12
276,CASH_IN,218449.59,C554422297,106440.0,324889.59,C60258312,1084074.74,920941.36
276,CASH_OUT,107079.92,C1052435400,39682.0,0.0,C294698763,1390614.93,1497694.85
276,CASH_IN,184900.03,C328178310,15479.0,200379.03,C6116539,0.0,0.0
276,CASH_OUT,482508.63,C1620484527,110167.0,0.0,C262167135,1.049105118E7,1.097355981E7
276,PAYMENT,4372.54,C526532284,9746.0,5373.46,M1991195195,0.0,0.0
276,CASH_OUT,151706.8,C429639106,23520.0,0.0,C1111874612,379168.37,530875.17
276,PAYMENT,6822.17,C1289061511,0.0,0.0,M1112331391,0.0,0.0
276,DEBIT,3072.92,C1295864047,8645.0,5572.08,C157503474,23887.54,26960.46
276,PAYMENT,12783.09,C172960095,5572.08,0.0,M1792959789,0.0,0.0
276,CASH_OUT,116628.23,C1318431525,20786.0,0.0,C1270920461,1354107.92,1470736.16
276,PAYMENT,339.87,C1762140208,3201.0,2861.13,M444524959,0.0,0.0
276,PAYMENT,23562.97,C51380464,2861.13,0.0,M1623150388,0.0,0.0
276,CASH_OUT,196204.48,C1209985715,39762.0,0.0,C773837194,112437.67,308642.15
276,PAYMENT,4550.8,C625070142,256673.0,252122.2,M651514854,0.0,0.0
276,CASH_OUT,160596.76,C1015643879,878.0,0.0,C116451018,81553.79,242150.55
276,CASH_OUT,55281.21,C66932919,5353.0,0.0,C494913691,0.0,55281.21
276,TRANSFER,1018228.17,C680960214,0.0,0.0,C1494097218,1715173.0,2733401.17
276,CASH_IN,370165.18,C609258561,52304.0,422469.18,C538931335,3629.66,0.0
276,CASH_IN,153692.36,C1406771306,228993.0,382685.36,C1687524704,1802773.44,1649081.08
276,PAYMENT,2686.85,C986200654,382685.36,379998.51,M667270609,0.0,0.0
276,CASH_IN,67071.07,C131538924,751.0,67822.07,C594642786,0.0,0.0
276,PAYMENT,25892.02,C429073804,25436.0,0.0,M1660057274,0.0,0.0
276,CASH_OUT,226161.15,C1750295552,12210.0,0.0,C818454933,738013.49,964174.64
276,CASH_OUT,144760.74,C1464086169,0.0,0.0,C1295716498,4749289.54,4894050.29
276,CASH_IN,141954.88,C1467731640,11029.0,152983.88,C617566087,124738.12,0.0
276,PAYMENT,9881.07,C650978635,152983.88,143102.81,M1439508214,0.0,0.0
276,PAYMENT,17829.7,C587983408,4364.0,0.0,M713879271,0.0,0.0
276,PAYMENT,3982.02,C1705271680,9098.0,5115.98,M1507983700,0.0,0.0
276,TRANSFER,680326.43,C633612850,50506.0,0.0,C1098189226,0.0,680326.43
276,TRANSFER,790304.97,C1760695227,0.0,0.0,C1952285001,1.998620226E7,2.077650723E7
276,TRANSFER,153951.6,C773642052,0.0,0.0,C1352850110,2438499.93,2592451.53
276,PAYMENT,25437.77,C1732090738,26505.0,1067.23,M1663871005,0.0,0.0
276,TRANSFER,353710.38,C465240072,51834.0,0.0,C1165666344,1358048.44,1711758.82
276,PAYMENT,18185.71,C1406485196,6150.0,0.0,M1480107471,0.0,0.0
276,CASH_OUT,74943.37,C1582465685,107289.0,32345.63,C1190160650,381255.59,726996.74
