step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
221,TRANSFER,167060.63,C1057075880,167060.63,0.0,C2123365185,0.0,0.0
221,CASH_OUT,167060.63,C1045758970,167060.63,0.0,C1519708858,890774.84,1057835.47
221,TRANSFER,574588.22,C546087307,574588.22,0.0,C2079015862,0.0,0.0
221,CASH_OUT,574588.22,C758390812,574588.22,0.0,C1232692327,0.0,574588.22
221,TRANSFER,1123561.68,C1234309969,1123561.68,0.0,C587188586,0.0,0.0
221,CASH_OUT,1123561.68,C1033117475,1123561.68,0.0,C538661860,0.0,1123561.68
221,TRANSFER,93708.08,C2026988003,93708.08,0.0,C37447993,0.0,0.0
221,CASH_OUT,93708.08,C1961462309,93708.08,0.0,C450794008,1535887.5,1629595.57
221,TRANSFER,684174.46,C767035250,684174.46,0.0,C870958103,0.0,0.0
221,CASH_OUT,684174.46,C810055905,684174.46,0.0,C1167066573,455610.6,1139785.06
