step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
510,TRANSFER,844348.52,C1554179748,844348.52,0.0,C1181413990,0.0,0.0
510,CASH_OUT,844348.52,C1071582702,844348.52,0.0,C2098599173,37158.79,881507.31
510,TRANSFER,3425386.69,C1737336360,3425386.69,0.0,C328014311,0.0,0.0
510,CASH_OUT,3425386.69,C288197113,3425386.69,0.0,C793143843,0.0,3425386.69
510,TRANSFER,550231.35,C1633390625,550231.35,0.0,C1517406910,0.0,0.0
510,CASH_OUT,550231.35,C1985542113,550231.35,0.0,C121844862,919044.92,1469276.27
510,TRANSFER,177137.79,C1539613036,177137.79,0.0,C1789883459,0.0,0.0
510,CASH_OUT,177137.79,C1805892433,177137.79,0.0,C1785173435,496799.27,673937.06
510,TRANSFER,3178881.71,C1447355548,3178881.71,0.0,C110798588,0.0,0.0
510,CASH_OUT,3178881.71,C1729291850,3178881.71,0.0,C900441286,0.0,3178881.71
