step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
121,TRANSFER,74899.36,C2109800266,49621.0,0.0,C1514040071,0.0,74899.36
121,PAYMENT,6746.02,C13662991,0.0,0.0,M742392822,0.0,0.0
121,TRANSFER,21226.86,C913006223,90154.0,68927.14,C172798660,1478075.4,1499302.26
121,PAYMENT,10896.8,C1277943207,26220.0,15323.2,M1327550254,0.0,0.0
121,PAYMENT,5578.85,C1666398863,10133.0,4554.15,M253796172,0.0,0.0
121,PAYMENT,2421.56,C494190058,4554.15,2132.59,M1424246997,0.0,0.0
121,DEBIT,1255.81,C773425028,1042.0,0.0,C1996280328,43441.87,44697.67
121,PAYMENT,17298.72,C633907188,4083.0,0.0,M493606218,0.0,0.0
121,PAYMENT,16106.38,C1807717586,95983.0,79876.62,M158866310,0.0,0.0
121,PAYMENT,8922.05,C1777334874,23616.0,14693.95,M711828392,0.0,0.0
121,PAYMENT,7915.93,C1038330675,14693.95,6778.01,M1947083554,0.0,0.0
121,CASH_OUT,182595.14,C1654995667,42044.0,0.0,C452448394,1859080.4,2041675.53
121,CASH_OUT,236625.52,C621983180,0.0,0.0,C1714175746,605326.03,841951.55
121,PAYMENT,750.17,C92813422,3363.0,2612.83,M10099918,0.0,0.0
121,PAYMENT,5677.23,C1260572076,41107.0,35429.77,M2066660817,0.0,0.0
121,PAYMENT,4301.44,C1059172754,35429.77,31128.33,M1871554260,0.0,0.0
121,PAYMENT,14938.43,C840915236,11262.0,0.0,M1020373635,0.0,0.0
121,PAYMENT,19912.38,C240001450,570.0,0.0,M209165745,0.0,0.0
121,CASH_OUT,247196.63,C1147741026,0.0,0.0,C857808046,567844.26,815040.9
121,PAYMENT,1217.54,C1969036510,90076.0,88858.46,M174141614,0.0,0.0
121,PAYMENT,15841.55,C986426950,61782.0,45940.45,M934606926,0.0,0.0
121,CASH_IN,288840.96,C705870218,34764.0,323604.96,C1385014527,880101.74,591260.78
121,PAYMENT,5493.42,C695535654,1426.0,0.0,M1311451856,0.0,0.0
121,PAYMENT,10458.43,C1582157267,0.0,0.0,M1638719865,0.0,0.0
121,PAYMENT,67712.78,C1612312914,0.0,0.0,M2012424747,0.0,0.0
121,CASH_OUT,195287.38,C1197490771,61745.0,0.0,C882142272,2701359.15,2896646.52
121,PAYMENT,2890.52,C1094829295,436358.0,433467.48,M1853697780,0.0,0.0
121,PAYMENT,16058.03,C11662178,14740.0,0.0,M1166433277,0.0,0.0
121,CASH_OUT,54610.01,C170887454,493.0,0.0,C33054054,0.0,54610.01
121,PAYMENT,1865.4,C228727841,497216.0,495350.6,M34067476,0.0,0.0
121,PAYMENT,7516.25,C1965633050,100585.0,93068.75,M62402264,0.0,0.0
121,CASH_OUT,66915.99,C518420890,93068.75,26152.76,C60540678,613150.39,680066.38
121,TRANSFER,73436.66,C587049254,504283.0,430846.34,C652254361,0.0,73436.66
121,DEBIT,4381.77,C504896157,303787.0,299405.23,C401641936,94272.75,98654.51
121,CASH_IN,48885.53,C1544829288,1336.0,50221.53,C971680215,0.0,0.0
121,PAYMENT,32478.81,C1897112025,43528.0,11049.19,M1055429188,0.0,0.0
121,PAYMENT,2054.86,C1627044854,11049.19,8994.33,M492311032,0.0,0.0
121,PAYMENT,1681.57,C1898538723,8994.33,7312.76,M195665968,0.0,0.0
121,PAYMENT,27844.57,C1043963832,253264.0,225419.43,M1664327254,0.0,0.0
121,PAYMENT,9400.45,C1494737581,10935.0,1534.55,M528052639,0.0,0.0
121,CASH_OUT,132832.29,C1833953687,25685.0,0.0,C2031050346,9056.91,141889.2
121,PAYMENT,1183.15,C317791046,20030.0,18846.85,M1955955007,0.0,0.0
121,PAYMENT,1076.52,C548725691,18846.85,17770.33,M841332075,0.0,0.0
121,PAYMENT,11901.73,C672441154,16964.0,5062.27,M1892700934,0.0,0.0
121,PAYMENT,6805.01,C2013192092,33411.0,26605.99,M1760539365,0.0,0.0
121,PAYMENT,415.68,C1709969929,13773.0,13357.32,M399910353,0.0,0.0
121,PAYMENT,8943.19,C374672008,13357.32,4414.13,M62450237,0.0,0.0
121,PAYMENT,13832.51,C104979481,13203.0,0.0,M547326381,0.0,0.0
121,PAYMENT,9835.07,C505464444,29160.0,19324.93,M1519206023,0.0,0.0
121,CASH_OUT,196816.97,C1378128091,19324.93,0.0,C66800437,2835945.62,3032762.58
121,CASH_OUT,157545.99,C237681107,0.0,0.0,C729165375,350976.81,508522.8
121,CASH_OUT,130141.98,C379686220,0.0,0.0,C205868130,4781721.97,4911863.96
121,CASH_OUT,296979.47,C627826713,0.0,0.0,C2056858813,322855.03,619834.49
121,CASH_OUT,38516.25,C1396641319,0.0,0.0,C1059492557,4613617.14,4652133.39
121,CASH_OUT,217257.05,C142660018,0.0,0.0,C1907260831,440060.41,657317.47
121,CASH_OUT,474613.55,C315745795,0.0,0.0,C810983830,1472755.24,1947368.79
121,CASH_OUT,57042.88,C1757456232,0.0,0.0,C2002974116,551618.6,608661.49
121,CASH_OUT,355074.78,C1134940769,0.0,0.0,C139615168,431256.21,786330.99
121,CASH_OUT,40932.68,C1294374630,0.0,0.0,C581149352,89648.43,130581.11
121,CASH_OUT,104249.65,C1348112575,0.0,0.0,C472751704,3787283.75,3891533.4
121,CASH_OUT,241540.54,C1036813883,0.0,0.0,C1488105543,523150.49,764691.03
121,CASH_OUT,40842.07,C1352101177,0.0,0.0,C1335427197,113852.97,154695.04
121,CASH_OUT,54943.4,C704598123,0.0,0.0,C12435710,251131.84,306075.24
121,CASH_OUT,289154.94,C765784707,0.0,0.0,C2116139448,782423.37,1071578.32
121,CASH_OUT,65967.19,C1946178642,0.0,0.0,C1235572934,1098024.6,1163991.79
121,CASH_OUT,382410.16,C521470286,0.0,0.0,C20630544,2088180.54,2470590.7
121,CASH_OUT,107148.35,C1278895823,0.0,0.0,C629106087,4381001.01,4488149.36
121,CASH_OUT,75596.62,C1174447393,0.0,0.0,C782615391,2668616.08,2744212.7
121,CASH_OUT,235010.28,C819256183,0.0,0.0,C926773323,851284.83,1086295.1
121,DEBIT,6216.52,C133997394,30526.0,24309.48,C1153336807,945102.16,951318.68
121,CASH_OUT,66023.73,C418357628,24309.48,0.0,C1013933993,114670.54,180694.27
121,PAYMENT,6572.13,C1527068397,350903.0,344330.87,M1293701529,0.0,0.0
121,CASH_IN,12517.03,C798526811,39802.0,52319.03,C1146355407,517257.45,504740.42
121,PAYMENT,21183.08,C1251552661,52319.03,31135.94,M945412213,0.0,0.0
121,PAYMENT,50148.15,C392611454,31135.94,0.0,M2088723356,0.0,0.0
121,PAYMENT,23657.05,C2139687939,20333.0,0.0,M157678071,0.0,0.0
121,CASH_OUT,74958.32,C672238483,42647.0,0.0,C428642679,0.0,74958.32
121,PAYMENT,16266.82,C796229262,42095.0,25828.18,M405509751,0.0,0.0
121,PAYMENT,15007.68,C1042775748,149859.0,134851.32,M441333632,0.0,0.0
121,PAYMENT,4145.0,C516664137,137.0,0.0,M1511460553,0.0,0.0
121,DEBIT,3980.71,C1598265873,375794.0,371813.29,C30738021,27727.69,31708.4
121,PAYMENT,16121.19,C878335054,20980.0,4858.81,M1997025391,0.0,0.0
121,PAYMENT,515.74,C353048833,103.0,0.0,M1457232547,0.0,0.0
121,PAYMENT,4112.89,C809847826,0.0,0.0,M116951357,0.0,0.0
121,PAYMENT,14291.1,C1266047986,0.0,0.0,M1106435773,0.0,0.0
121,PAYMENT,8641.76,C1540177741,29984.0,21342.24,M431944808,0.0,0.0
121,PAYMENT,27909.83,C1626248550,228.0,0.0,M935246064,0.0,0.0
121,PAYMENT,19324.2,C87805469,46481.0,27156.8,M1808295782,0.0,0.0
121,PAYMENT,2242.49,C2132384476,80849.0,78606.51,M1025692919,0.0,0.0
121,PAYMENT,5224.01,C1722990184,36423.0,31198.99,M1323894415,0.0,0.0
121,PAYMENT,17015.51,C2106964724,112624.0,95608.49,M1446726877,0.0,0.0
121,PAYMENT,2626.47,C621406604,5817.0,3190.53,M600989404,0.0,0.0
121,PAYMENT,6630.23,C1941967432,52148.0,45517.77,M2140271945,0.0,0.0
121,CASH_OUT,8398.68,C356394686,114597.0,106198.32,C1489061926,0.0,8398.68
121,PAYMENT,13576.71,C606846587,27156.0,13579.29,M1468709604,0.0,0.0
121,PAYMENT,9668.02,C666969825,35757.0,26088.98,M1127149425,0.0,0.0
121,PAYMENT,4497.04,C982472969,26088.98,21591.93,M944806182,0.0,0.0
121,PAYMENT,27664.63,C369645283,6173.0,0.0,M577332788,0.0,0.0
121,PAYMENT,202.52,C1651389537,49673.0,49470.48,M1590364323,0.0,0.0
121,PAYMENT,6622.5,C169931479,79679.0,73056.5,M1662086497,0.0,0.0
121,PAYMENT,7256.81,C1892651102,73056.5,65799.69,M1984364788,0.0,0.0
121,PAYMENT,20097.2,C2080174753,32113.0,12015.8,M326034138,0.0,0.0
121,PAYMENT,867.24,C523230601,11193.0,10325.76,M1361129016,0.0,0.0
121,PAYMENT,17078.0,C1305782087,49537.0,32459.0,M692642837,0.0,0.0
121,PAYMENT,26910.07,C1214949152,496.0,0.0,M283250939,0.0,0.0
121,PAYMENT,22543.76,C2028237631,672.0,0.0,M375543930,0.0,0.0
121,PAYMENT,8.39,C187481649,152703.0,152694.61,M197722727,0.0,0.0
121,PAYMENT,8203.37,C1357903274,152694.61,144491.24,M1422579269,0.0,0.0
121,PAYMENT,3631.83,C989407195,103251.0,99619.17,M2036383961,0.0,0.0
121,PAYMENT,23848.01,C1443703034,78620.0,54771.99,M1425515648,0.0,0.0
121,PAYMENT,1127.71,C667125306,52138.0,51010.29,M1490742291,0.0,0.0
121,PAYMENT,7519.16,C1739543818,31023.0,23503.84,M236269275,0.0,0.0
121,PAYMENT,7822.59,C903646069,80749.0,72926.41,M988365737,0.0,0.0
121,PAYMENT,7061.36,C670258939,72926.41,65865.05,M3659560,0.0,0.0
