step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
335,TRANSFER,46520.87,C2006630895,146.0,0.0,C668448786,0.0,46520.87
335,CASH_OUT,4167.63,C1245852124,416395.0,412227.37,C8830995,0.0,4167.63
335,PAYMENT,3437.72,C1104736725,216669.0,213231.28,M1687785856,0.0,0.0
335,PAYMENT,839.69,C1169006917,31762.0,30922.31,M515552509,0.0,0.0
335,CASH_IN,235356.93,C409643174,30922.31,266279.24,C1199657477,4198970.25,3963613.33
335,PAYMENT,8674.35,C811020218,21934.0,13259.65,M416810876,0.0,0.0
335,CASH_OUT,89131.61,C1401832902,13259.65,0.0,C1710588056,1.367997225E7,1.376910387E7
335,PAYMENT,2256.28,C518846601,838479.0,836222.72,M391065105,0.0,0.0
335,PAYMENT,37225.27,C1333016675,836222.72,798997.45,M1861608510,0.0,0.0
335,PAYMENT,14152.68,C396653017,55076.0,40923.32,M2037770906,0.0,0.0
335,PAYMENT,19009.3,C388784887,59743.0,40733.7,M1446617144,0.0,0.0
335,PAYMENT,8524.08,C1646733727,21206.0,12681.92,M877670011,0.0,0.0
335,PAYMENT,2629.97,C1075829212,11312.0,8682.03,M1530698119,0.0,0.0
335,CASH_OUT,380652.91,C9189550,8682.03,0.0,C261226480,3820244.58,4200897.49
335,CASH_OUT,45219.89,C899345714,0.0,0.0,C404732767,1082144.35,1127364.24
335,CASH_OUT,240780.12,C192217956,0.0,0.0,C1165631821,8617357.63,8858137.75
335,CASH_OUT,21142.65,C884626220,0.0,0.0,C1480735153,5151121.41,5172264.06
335,CASH_OUT,420583.5,C1435653213,0.0,0.0,C2095833806,716254.82,1136838.32
335,PAYMENT,13462.46,C931385504,218.0,0.0,M340691735,0.0,0.0
335,PAYMENT,1263.89,C1921751425,10952.0,9688.11,M897321777,0.0,0.0
335,CASH_IN,49237.57,C483646446,22593.0,71830.57,C120997526,52058.69,2821.12
335,PAYMENT,9285.67,C2091248976,71830.57,62544.9,M1380721876,0.0,0.0
335,PAYMENT,6761.84,C129796143,62544.9,55783.06,M95567773,0.0,0.0
335,PAYMENT,6666.71,C1454279958,55783.06,49116.34,M1710713235,0.0,0.0
335,PAYMENT,53787.1,C107571442,49116.34,0.0,M305394037,0.0,0.0
335,PAYMENT,31784.03,C819398680,0.0,0.0,M1857176672,0.0,0.0
335,PAYMENT,6836.54,C600936380,1017.0,0.0,M786725610,0.0,0.0
335,CASH_OUT,94774.99,C653992166,0.0,0.0,C1693997572,137296.67,232071.66
335,PAYMENT,9566.8,C1511448861,15547.0,5980.2,M1972713868,0.0,0.0
335,CASH_OUT,154322.16,C2024488702,5980.2,0.0,C1063444427,1383658.9,1537981.06
335,CASH_OUT,329317.99,C120114461,51678.0,0.0,C427129799,20194.58,349512.58
335,PAYMENT,13513.17,C1784400620,0.0,0.0,M912185202,0.0,0.0
335,PAYMENT,5820.35,C396579721,22327.0,16506.65,M1445082181,0.0,0.0
335,PAYMENT,5193.99,C1645906119,16506.65,11312.65,M582956721,0.0,0.0
335,PAYMENT,1594.66,C797771380,2115.0,520.34,M1758105564,0.0,0.0
335,PAYMENT,7916.47,C1587572402,21742.0,13825.53,M99733865,0.0,0.0
335,CASH_OUT,644694.68,C1116260613,13825.53,0.0,C723108213,1830037.84,2474732.52
335,PAYMENT,3004.15,C2113932007,118.0,0.0,M596131435,0.0,0.0
335,PAYMENT,1581.99,C679070186,30635.0,29053.01,M742255873,0.0,0.0
335,CASH_IN,156579.16,C1385471315,436.0,157015.16,C843652972,289053.84,132474.68
335,PAYMENT,18823.78,C806193676,157015.16,138191.38,M1457337214,0.0,0.0
335,PAYMENT,11399.88,C365660481,138191.38,126791.5,M1665396910,0.0,0.0
335,PAYMENT,2904.14,C1069701920,10540.0,7635.86,M3922277,0.0,0.0
335,TRANSFER,23008.92,C1240713634,20321.0,0.0,C2044015285,1261891.07,1284899.98
335,PAYMENT,12154.85,C902403762,19272.0,7117.15,M419418224,0.0,0.0
335,PAYMENT,10164.8,C1179767547,92616.0,82451.2,M297319754,0.0,0.0
335,PAYMENT,8640.66,C1757267401,87268.0,78627.34,M237495550,0.0,0.0
335,PAYMENT,11737.68,C1177106891,78627.34,66889.66,M313495209,0.0,0.0
335,PAYMENT,11008.65,C347767480,293.0,0.0,M621515973,0.0,0.0
335,PAYMENT,17649.54,C719521486,0.0,0.0,M1154945021,0.0,0.0
335,PAYMENT,14177.48,C79227549,0.0,0.0,M2112678771,0.0,0.0
335,PAYMENT,821.39,C1334527862,11313.0,10491.61,M870257053,0.0,0.0
335,PAYMENT,5271.01,C1886452089,8018.0,2746.99,M1792881527,0.0,0.0
335,PAYMENT,8208.48,C2146990509,29025.0,20816.52,M878758966,0.0,0.0
335,PAYMENT,12430.57,C1126973682,11419.0,0.0,M1089049963,0.0,0.0
335,PAYMENT,14284.8,C2095102410,65703.0,51418.2,M1322502940,0.0,0.0
335,PAYMENT,4005.61,C1868118500,20505.0,16499.39,M1662495657,0.0,0.0
335,PAYMENT,13260.3,C440430824,135986.0,122725.7,M1243333527,0.0,0.0
335,PAYMENT,19225.17,C1823163689,22564.0,3338.83,M851436022,0.0,0.0
335,PAYMENT,6968.0,C736170105,11575.0,4607.0,M1064466921,0.0,0.0
335,PAYMENT,24.42,C164032803,2470.0,2445.58,M1153110460,0.0,0.0
335,PAYMENT,4330.73,C1736094602,9323.0,4992.27,M1265316797,0.0,0.0
335,PAYMENT,1483.41,C1964674074,40439.0,38955.59,M1764775412,0.0,0.0
335,PAYMENT,21389.09,C1533300155,154424.0,133034.91,M1224764337,0.0,0.0
335,DEBIT,1086.83,C1750815959,157545.0,156458.17,C2096388850,11058.01,12144.83
335,PAYMENT,3514.22,C61809629,283.0,0.0,M2061479814,0.0,0.0
335,PAYMENT,10391.18,C810028687,0.0,0.0,M42408381,0.0,0.0
335,PAYMENT,4364.65,C2026660859,36802.0,32437.35,M2137538811,0.0,0.0
335,PAYMENT,9204.52,C254023151,30574.0,21369.48,M894746439,0.0,0.0
335,PAYMENT,32411.34,C773636525,21369.48,0.0,M332280589,0.0,0.0
335,PAYMENT,10761.57,C1022019574,27268.0,16506.43,M743762347,0.0,0.0
335,PAYMENT,6865.83,C1686983717,90918.0,84052.17,M104416738,0.0,0.0
335,DEBIT,4282.42,C1820780452,29842.0,25559.58,C2094962524,7390047.45,7394329.87
335,PAYMENT,6965.72,C1729380910,6964.0,0.0,M1773538965,0.0,0.0
335,PAYMENT,12478.13,C627851284,124.0,0.0,M2123114714,0.0,0.0
335,PAYMENT,11614.29,C1003225111,12283.0,668.71,M1658286941,0.0,0.0
335,PAYMENT,9697.62,C628945907,511.0,0.0,M975820158,0.0,0.0
335,PAYMENT,1841.03,C1631495828,45339.0,43497.97,M950692981,0.0,0.0
335,PAYMENT,13867.57,C2047599608,21441.0,7573.43,M251481058,0.0,0.0
335,TRANSFER,2877008.73,C451102383,7573.43,0.0,C1728227385,3578159.36,6455168.08
335,TRANSFER,180941.39,C1900103746,0.0,0.0,C279733258,304992.04,485933.43
335,TRANSFER,1123417.53,C1416655281,0.0,0.0,C27957907,3076617.46,4200034.99
335,TRANSFER,863009.5,C808878726,0.0,0.0,C932004558,1.996433544E7,2.082734493E7
335,TRANSFER,490573.63,C820018193,0.0,0.0,C145670964,1445829.95,1936403.59
335,TRANSFER,2366667.01,C1268265239,0.0,0.0,C625848108,2370367.84,4737034.85
335,TRANSFER,1748587.81,C481438764,0.0,0.0,C1924782565,3038325.95,4786913.75
335,TRANSFER,98852.19,C412401550,0.0,0.0,C2015217632,399670.15,498522.34
335,TRANSFER,1785146.76,C723994745,0.0,0.0,C1924163178,1899595.24,3684742.0
335,TRANSFER,846433.88,C557696131,0.0,0.0,C1078862784,1156810.85,2003244.73
335,TRANSFER,1432462.25,C744705988,0.0,0.0,C463731556,3331961.47,4764423.72
335,PAYMENT,7650.85,C297200905,55635.0,47984.15,M4398022,0.0,0.0
335,PAYMENT,9739.73,C1326833297,30672.0,20932.27,M2034148824,0.0,0.0
335,CASH_OUT,202247.59,C1606865235,20932.27,0.0,C842951566,333618.14,535865.73
335,CASH_OUT,319819.2,C1195600966,0.0,0.0,C933656130,427364.67,747183.86
335,CASH_OUT,234398.4,C641979241,0.0,0.0,C573341503,500318.14,734716.53
335,CASH_OUT,328661.64,C719303196,0.0,0.0,C559569729,392128.93,720790.57
335,CASH_OUT,304811.84,C1140503133,0.0,0.0,C153339305,967506.78,1272318.61
335,CASH_OUT,159991.48,C528992056,0.0,0.0,C1825992554,5120714.91,5416813.58
335,CASH_OUT,251187.06,C669484858,0.0,0.0,C4965861,1103777.49,1354964.54
335,CASH_OUT,192887.56,C1887407752,0.0,0.0,C1344605709,293374.43,486261.99
335,CASH_OUT,164446.2,C1719775872,0.0,0.0,C1812038328,1894287.6,2058733.8
335,CASH_OUT,175681.66,C1193154415,0.0,0.0,C1604648314,1037673.57,1213355.23
335,CASH_OUT,169400.55,C1549502177,0.0,0.0,C1768143518,5955187.24,6124587.79
335,CASH_OUT,66519.17,C1356613676,0.0,0.0,C1868040612,146677.48,213196.64
335,CASH_OUT,194739.71,C992146693,0.0,0.0,C1926876488,7843916.05,8038655.77
335,CASH_OUT,94598.48,C212875361,0.0,0.0,C1489504566,106598.9,201197.38
335,CASH_OUT,107988.22,C207412120,0.0,0.0,C1912715293,269246.19,377234.41
335,CASH_OUT,31882.34,C1056145175,0.0,0.0,C1279735477,923196.78,955079.12
335,CASH_OUT,114199.37,C307576593,0.0,0.0,C1068246970,327598.28,441797.66
335,CASH_OUT,239183.67,C531328522,0.0,0.0,C1255815169,296167.66,535351.32
335,CASH_OUT,115735.18,C1967257212,0.0,0.0,C400652441,714955.45,830690.63
335,CASH_OUT,43085.82,C1349465092,0.0,0.0,C1041924311,493727.95,536813.78
