step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
298,PAYMENT,16755.52,C992518115,108196.0,91440.48,M1937845481,0.0,0.0
298,CASH_OUT,421789.11,C422933739,637.0,0.0,C1369886284,0.0,421789.11
298,PAYMENT,46863.87,C717551172,0.0,0.0,M1433183096,0.0,0.0
298,CASH_IN,330813.03,C804268888,142069.0,472882.03,C1617290324,0.0,0.0
298,CASH_OUT,375274.98,C500207713,472882.03,97607.05,C1328853094,1072276.69,1447551.67
298,PAYMENT,47378.03,C279651145,15273.0,0.0,M552346951,0.0,0.0
298,TRANSFER,619348.04,C250114281,257805.0,0.0,C661374414,0.0,619348.04
298,PAYMENT,4819.16,C396540621,0.0,0.0,M1591370267,0.0,0.0
298,CASH_OUT,130389.47,C534618778,90199.0,0.0,C1502804776,136906.4,267295.87
298,CASH_OUT,175186.44,C1392506544,15667.0,0.0,C374967139,0.0,175186.44
298,CASH_OUT,268677.94,C1351178992,5055.0,0.0,C908243372,424552.16,693230.09
298,CASH_OUT,145778.41,C1565401152,79008.0,0.0,C1588681620,219128.98,364907.38
298,CASH_IN,284947.65,C796233729,61406.0,346353.65,C884460017,2093828.53,1808880.89
298,PAYMENT,41011.98,C43170089,346353.65,305341.66,M416693585,0.0,0.0
298,CASH_IN,55646.14,C884363819,31003.0,86649.14,C535855873,1289744.97,1234098.83
298,PAYMENT,28933.86,C926955812,488.0,0.0,M546084116,0.0,0.0
298,PAYMENT,39244.44,C152635617,207614.0,168369.56,M263726307,0.0,0.0
298,PAYMENT,23768.63,C956802345,168369.56,144600.93,M2112332584,0.0,0.0
298,CASH_OUT,242689.67,C1014559349,32549.0,0.0,C291710402,365736.46,608426.13
298,TRANSFER,561153.62,C1923696165,0.0,0.0,C484017606,627484.02,1188637.64
298,PAYMENT,21675.41,C1979947956,123537.0,101861.59,M918390975,0.0,0.0
298,TRANSFER,2113323.21,C1294810951,101861.59,0.0,C14057327,4379771.49,6493094.7
298,TRANSFER,1635175.47,C1963835561,0.0,0.0,C2061372791,7848965.48,9484140.95
298,TRANSFER,1862675.43,C532233095,0.0,0.0,C1835160639,4391892.14,6254567.57
298,TRANSFER,174609.3,C1167827135,0.0,0.0,C57434599,3882385.48,4056994.78
298,TRANSFER,644093.03,C1634236492,0.0,0.0,C31581400,2022892.91,2666985.95
298,TRANSFER,3155816.43,C2063332416,0.0,0.0,C727681519,4535822.6,7691639.03
298,CASH_OUT,180130.19,C751340955,15317.0,0.0,C827673156,218808.92,398939.11
298,CASH_OUT,151970.55,C885939941,0.0,0.0,C339469866,241488.88,393459.43
298,CASH_OUT,163445.58,C373746216,833.0,0.0,C1967591472,154061.17,317506.75
298,CASH_IN,142620.08,C859456852,1579.0,144199.08,C139768092,1889160.87,1746540.79
298,CASH_OUT,135907.66,C1534505725,43204.0,0.0,C2076322200,33843.35,169751.01
298,PAYMENT,40872.94,C487187968,0.0,0.0,M1010780195,0.0,0.0
298,CASH_IN,24188.14,C1573825045,248.0,24436.14,C428526344,366269.96,342081.82
298,TRANSFER,1288363.35,C859904523,24436.14,0.0,C367405384,6163988.56,7452351.91
298,TRANSFER,1061382.22,C1638581125,0.0,0.0,C1388949006,2.881337751E7,2.987475973E7
298,TRANSFER,1636848.98,C663941571,0.0,0.0,C2137344841,6078757.19,1.514825929E7
298,TRANSFER,466911.01,C254048550,0.0,0.0,C1459862685,555244.04,1022155.05
298,TRANSFER,1084668.7,C881769355,0.0,0.0,C1312736521,2513295.81,3597964.52
298,TRANSFER,8816482.74,C59764852,0.0,0.0,C152038575,9854100.59,1.867058334E7
298,TRANSFER,9035354.33,C866321711,0.0,0.0,C575607309,1.1793342E7,2.082869633E7
298,TRANSFER,590496.9,C534947636,0.0,0.0,C2103419302,849294.96,1439791.86
298,TRANSFER,225550.57,C1584465312,0.0,0.0,C1672801235,1396936.92,1622487.48
298,CASH_OUT,156615.77,C570511946,6294.0,0.0,C1270829624,0.0,156615.77
298,CASH_OUT,166472.93,C161522008,156917.0,0.0,C75395716,209685.72,376158.65
298,CASH_IN,256243.95,C66157663,25327.0,281570.95,C1668528120,589428.87,333184.91
298,CASH_OUT,104051.63,C1434137988,281570.95,177519.32,C1368772358,120043.58,224095.21
298,CASH_OUT,21212.96,C2109779555,190.0,0.0,C925975762,2385164.78,2406377.74
298,CASH_IN,153975.06,C1902537442,286943.0,440918.06,C1962165373,2849641.41,2695666.35
298,CASH_OUT,40171.52,C2038297365,21219.0,0.0,C1434884240,1207630.64,1247802.16
298,CASH_IN,96754.32,C1965440683,10294.0,107048.32,C1245635180,846362.66,749608.34
298,PAYMENT,5680.14,C233645530,107048.32,101368.18,M1335787519,0.0,0.0
298,CASH_IN,428144.8,C1508759618,66303.0,494447.8,C1877292423,3798667.36,3370522.56
298,CASH_OUT,121543.53,C502949554,10995.0,0.0,C1889444206,256824.8,378368.32
298,PAYMENT,801.69,C2044543778,14872.0,14070.31,M1166060129,0.0,0.0
298,CASH_OUT,208116.97,C1922581851,6037.0,0.0,C205734787,3783641.76,3991758.73
298,TRANSFER,764326.61,C1008300620,0.0,0.0,C1433802916,2896105.26,3660431.87
298,TRANSFER,3518180.28,C793699006,0.0,0.0,C1659825451,5685182.14,9203362.41
298,TRANSFER,1747210.35,C1876788884,0.0,0.0,C307875052,6633271.36,8380481.72
298,TRANSFER,971323.7,C1608496297,0.0,0.0,C1523496048,1068688.09,2040011.79
298,TRANSFER,588275.77,C681780748,0.0,0.0,C26482360,3302899.16,3891174.93
298,CASH_OUT,217243.47,C1881176756,633.0,0.0,C1756391301,0.0,217243.47
298,TRANSFER,776506.83,C1942665986,117239.0,0.0,C1656764903,1.070390573E7,1.148041255E7
298,TRANSFER,101744.99,C1360147246,34576.0,0.0,C3029667,2365317.16,2467062.15
298,CASH_OUT,60004.65,C1613823046,51898.0,0.0,C1982161065,54922.31,114926.97
298,CASH_OUT,323999.4,C330751790,144998.0,0.0,C1612133629,1647.27,325646.67
298,PAYMENT,21550.85,C897737969,21528.0,0.0,M1967761964,0.0,0.0
298,PAYMENT,16198.06,C310163983,109435.0,93236.94,M932595905,0.0,0.0
298,CASH_OUT,122495.8,C286590766,105.0,0.0,C576247215,0.0,122495.8
298,PAYMENT,35605.05,C691394538,45607.0,10001.95,M1592704001,0.0,0.0
