step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
586,CASH_OUT,272044.86,C325307302,252.0,0.0,C650297400,424526.9,696571.76
586,CASH_IN,234861.84,C927092612,103988.0,338849.84,C1312457078,0.0,0.0
586,PAYMENT,1304.65,C957529381,10993.0,9688.35,M663213471,0.0,0.0
586,CASH_OUT,433805.08,C708056114,401.0,0.0,C948332817,0.0,433805.08
586,CASH_IN,225005.99,C263147679,59893.0,284898.99,C1049414692,224205.78,0.0
586,PAYMENT,184.05,C603471834,284898.99,284714.94,M986328343,0.0,0.0
586,CASH_OUT,26991.02,C810888184,18515.0,0.0,C101127280,0.0,26991.02
586,PAYMENT,8535.2,C1158397637,180339.0,171803.8,M661606225,0.0,0.0
586,TRANSFER,698445.37,C1277586494,171803.8,0.0,C1008260437,1159555.95,1858001.31
586,CASH_OUT,240792.86,C1429570729,51168.0,0.0,C533348512,0.0,240792.86
586,CASH_IN,135134.91,C1297147228,19362.0,154496.91,C946287880,827997.03,692862.12
586,PAYMENT,8166.93,C278408800,12151.0,3984.07,M1872820177,0.0,0.0
586,PAYMENT,5814.84,C373892672,3984.07,0.0,M1551453136,0.0,0.0
586,PAYMENT,3444.99,C222532881,1725.0,0.0,M1698034967,0.0,0.0
586,CASH_OUT,116608.37,C982623447,0.0,0.0,C967350118,171984.49,288592.86
586,PAYMENT,7049.93,C748707742,9000.0,1950.07,M1029356550,0.0,0.0
586,PAYMENT,6513.62,C1997372407,38207.0,31693.38,M1083039453,0.0,0.0
586,PAYMENT,3642.78,C1853826557,15324.0,11681.22,M112004792,0.0,0.0
586,PAYMENT,1202.17,C442699609,24830.0,23627.83,M875975166,0.0,0.0
586,CASH_IN,162926.55,C594664008,39950.0,202876.55,C1536673870,0.0,0.0
586,PAYMENT,11733.58,C1296554064,202876.55,191142.97,M1339821926,0.0,0.0
586,PAYMENT,578.16,C1231228610,99766.0,99187.84,M1693265468,0.0,0.0
586,CASH_OUT,51967.59,C387706793,15328.0,0.0,C1249855176,1233936.63,1285904.22
586,CASH_OUT,427206.54,C949183763,406819.0,0.0,C372826162,499376.05,926582.59
586,CASH_IN,113449.5,C1767340509,101426.0,214875.5,C517150757,0.0,0.0
586,CASH_OUT,282093.06,C1682318853,11218.0,0.0,C1969905849,0.0,282093.06
586,CASH_OUT,160477.22,C745077635,4684.0,0.0,C2065138615,0.0,160477.22
586,CASH_OUT,70340.39,C267430112,260.0,0.0,C1435949580,0.0,70340.39
586,CASH_IN,240900.14,C1572581714,9142.0,250042.14,C652311953,38272.85,0.0
586,CASH_OUT,62325.77,C135840494,11681.0,0.0,C353769438,91915.14,154240.91
586,CASH_OUT,427838.11,C1665631373,0.0,0.0,C1362584980,2.077344572E7,2.120128383E7
586,TRANSFER,481851.39,C1778030509,20609.0,0.0,C583656688,8877665.31,9359516.7
586,TRANSFER,119660.34,C1766558433,99526.0,0.0,C2140221782,758518.78,878179.11
586,CASH_OUT,118980.99,C654977684,20048.0,0.0,C1198166177,1284987.34,1403968.33
586,CASH_IN,127627.58,C2016850196,36670.0,164297.58,C110183681,304178.66,176551.08
586,CASH_IN,100592.46,C1171002944,20040.0,120632.46,C727749654,3654921.53,3554329.07
586,PAYMENT,2958.44,C1885700250,120632.46,117674.02,M114117256,0.0,0.0
586,CASH_OUT,202538.5,C1262413140,107395.0,0.0,C842280764,0.0,202538.5
586,PAYMENT,1325.98,C1852146789,39289.0,37963.02,M853063779,0.0,0.0
586,PAYMENT,1325.49,C1580023226,37963.02,36637.53,M1652914030,0.0,0.0
586,PAYMENT,7660.73,C545362423,62.0,0.0,M1475161636,0.0,0.0
586,PAYMENT,13130.27,C1620707726,0.0,0.0,M703409396,0.0,0.0
586,PAYMENT,17497.42,C97459735,0.0,0.0,M997039236,0.0,0.0
586,PAYMENT,6400.52,C193668126,52899.0,46498.48,M1270952727,0.0,0.0
586,CASH_IN,216288.49,C906208222,111.0,216399.49,C1755838016,475296.93,259008.43
586,TRANSFER,1133759.4,C1633517606,65758.0,0.0,C381393964,0.0,1133759.4
586,PAYMENT,8878.59,C858059719,14323.0,5444.41,M1899968319,0.0,0.0
586,CASH_OUT,361195.31,C1518954389,101286.0,0.0,C1547297365,18225.94,379421.25
586,PAYMENT,2413.55,C1465417810,202132.0,199718.45,M1131867061,0.0,0.0
586,PAYMENT,1619.2,C1274587691,104965.0,103345.8,M1516034318,0.0,0.0
586,CASH_OUT,226326.67,C1226151943,28732.0,0.0,C218511954,0.0,226326.67
586,CASH_OUT,287928.76,C1036712403,0.0,0.0,C2019781079,549372.49,837301.25
586,TRANSFER,377861.15,C871216563,512.0,0.0,C2037266251,0.0,377861.15
