step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
521,TRANSFER,98086.09,C1471407934,98086.09,0.0,C1180721612,0.0,0.0
521,CASH_OUT,98086.09,C939463498,98086.09,0.0,C2076838677,0.0,98086.09
521,TRANSFER,5087422.03,C1720256828,5087422.03,0.0,C1859977645,0.0,0.0
521,CASH_OUT,5087422.03,C1987097058,5087422.03,0.0,C1995541082,16628.06,5104050.09
521,TRANSFER,48734.24,C1051865605,48734.24,0.0,C2005579238,0.0,0.0
521,CASH_OUT,48734.24,C1897399258,48734.24,0.0,C1433317922,547479.72,596213.96
521,TRANSFER,157277.0,C1601578028,157277.0,0.0,C49314331,0.0,0.0
521,CASH_OUT,157277.0,C754606465,157277.0,0.0,C387977807,369445.83,526722.83
521,TRANSFER,525155.79,C66538497,525155.79,0.0,C586669216,0.0,0.0
521,CASH_OUT,525155.79,C843090294,525155.79,0.0,C1217435263,2665961.11,3191116.89
521,TRANSFER,28835.93,C1551473750,28835.93,0.0,C1759829035,0.0,0.0
521,CASH_OUT,28835.93,C602933297,28835.93,0.0,C950801074,263633.63,292469.56
521,TRANSFER,27483.79,C442425098,27483.79,0.0,C684431527,0.0,0.0
521,CASH_OUT,27483.79,C744746510,27483.79,0.0,C1563109259,66220.65,93704.43
