step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
665,TRANSFER,866712.19,C2071265703,866712.19,0.0,C1234810608,0.0,0.0
665,CASH_OUT,866712.19,C929434570,866712.19,0.0,C564977674,2284736.59,3151448.78
665,TRANSFER,454483.23,C956916023,454483.23,0.0,C1172004131,0.0,0.0
665,CASH_OUT,454483.23,C2048358665,454483.23,0.0,C1850194854,3101746.61,3556229.83
665,TRANSFER,2799902.39,C691812309,2799902.39,0.0,C469925272,0.0,0.0
665,CASH_OUT,2799902.39,C780357987,2799902.39,0.0,C953537068,1895743.5,4695645.89
665,TRANSFER,40819.72,C1550949725,40819.72,0.0,C1977996948,0.0,0.0
665,CASH_OUT,40819.72,C493844715,40819.72,0.0,C195565327,1455161.15,1495980.87
665,TRANSFER,290491.12,C1428518412,290491.12,0.0,C875460350,0.0,0.0
665,CASH_OUT,290491.12,C1637432706,290491.12,0.0,C1333107954,239594.76,530085.88
