step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
308,CASH_OUT,189626.99,C836108384,5068.0,0.0,C1185023129,2867149.03,3056776.01
308,PAYMENT,9457.4,C358521049,0.0,0.0,M945294365,0.0,0.0
308,CASH_IN,260485.23,C386091144,32371.0,292856.23,C268784004,4633560.35,4373075.12
308,CASH_OUT,104602.35,C374841096,5033.0,0.0,C18539784,746548.21,851150.55
308,PAYMENT,34454.82,C2007909707,0.0,0.0,M258901831,0.0,0.0
308,PAYMENT,9983.17,C35965226,383208.0,373224.83,M681687481,0.0,0.0
308,PAYMENT,45143.25,C765470203,373224.83,328081.58,M1452268471,0.0,0.0
308,CASH_OUT,126202.36,C1925592533,37118.0,0.0,C981536758,560866.87,687069.23
308,PAYMENT,10915.9,C1469003333,0.0,0.0,M2074894002,0.0,0.0
308,CASH_IN,198439.23,C1398169619,5419.0,203858.23,C1200847525,238873.87,40434.64
308,PAYMENT,3360.73,C285052721,203858.23,200497.49,M1047441013,0.0,0.0
308,CASH_OUT,113082.65,C657338052,15826.0,0.0,C918932440,0.0,113082.65
308,PAYMENT,3156.16,C1192793290,0.0,0.0,M996151071,0.0,0.0
308,PAYMENT,13455.75,C1890980608,40089.0,26633.25,M641227740,0.0,0.0
308,PAYMENT,67392.22,C629482773,26633.25,0.0,M514248269,0.0,0.0
308,CASH_OUT,122177.2,C1590227082,10237.0,0.0,C85512328,239077.02,361254.22
308,CASH_OUT,210181.4,C986359348,11856.0,0.0,C153075255,0.0,210181.4
308,CASH_OUT,1410.35,C913019381,200881.0,199470.65,C618979802,6623.0,0.0
308,PAYMENT,2003.11,C513275347,199470.65,197467.54,M130157099,0.0,0.0
308,PAYMENT,1463.08,C1758914529,197467.54,196004.46,M47724343,0.0,0.0
308,PAYMENT,7517.55,C599815122,196004.46,188486.91,M885302995,0.0,0.0
308,PAYMENT,3077.98,C1811064389,188486.91,185408.93,M684742019,0.0,0.0
308,PAYMENT,25015.05,C137297320,185408.93,160393.88,M432877632,0.0,0.0
308,PAYMENT,6555.55,C1735622066,160393.88,153838.33,M1294286994,0.0,0.0
308,PAYMENT,25067.17,C848901923,153838.33,128771.16,M1118195200,0.0,0.0
308,PAYMENT,19985.95,C1053046027,128771.16,108785.21,M1501746065,0.0,0.0
308,PAYMENT,3827.42,C576309165,108785.21,104957.79,M1392466856,0.0,0.0
308,PAYMENT,43060.92,C1292652689,104957.79,61896.87,M48041210,0.0,0.0
308,PAYMENT,9977.64,C1851115427,61896.87,51919.24,M1189077978,0.0,0.0
308,PAYMENT,18616.09,C1777908552,51919.24,33303.14,M61390929,0.0,0.0
308,PAYMENT,16844.7,C1132492632,33303.14,16458.44,M2063109569,0.0,0.0
308,PAYMENT,14047.05,C1458981677,16458.44,2411.39,M320451562,0.0,0.0
308,PAYMENT,19029.52,C1399008358,2411.39,0.0,M1842029902,0.0,0.0
308,PAYMENT,35500.81,C151041273,0.0,0.0,M1473822928,0.0,0.0
308,PAYMENT,32768.85,C487769681,0.0,0.0,M692548072,0.0,0.0
308,PAYMENT,4533.79,C627883845,0.0,0.0,M883107192,0.0,0.0
308,CASH_OUT,96952.39,C1057508851,19773.0,0.0,C2050289985,0.0,96952.39
308,PAYMENT,21778.26,C760390603,118768.0,96989.74,M1837410227,0.0,0.0
308,TRANSFER,610489.51,C1075955614,96989.74,0.0,C1545947679,1988808.91,2599298.41
308,PAYMENT,1682.83,C1035697596,298990.0,297307.17,M89120059,0.0,0.0
308,CASH_OUT,102923.23,C1304320798,12001.0,0.0,C2053747795,107873.41,210796.64
308,CASH_IN,177414.26,C65894400,4806.0,182220.26,C852889473,0.0,0.0
308,PAYMENT,8670.7,C1709028188,6203.0,0.0,M503323865,0.0,0.0
308,CASH_OUT,30951.32,C567923372,114528.0,83576.68,C1411729878,0.0,30951.32
308,CASH_IN,15997.6,C1234998255,8893.0,24890.6,C1859186088,728238.4,712240.8
308,CASH_OUT,115545.89,C1095999187,207.0,0.0,C493910324,431986.82,547532.71
308,PAYMENT,3351.38,C1605084404,0.0,0.0,M814240031,0.0,0.0
308,PAYMENT,5864.22,C497467146,0.0,0.0,M1088298859,0.0,0.0
308,CASH_IN,68311.2,C1112575872,3857.0,72168.2,C1370600504,258089.54,189778.33
308,CASH_IN,17706.95,C807550588,12397.0,30103.95,C540469886,0.0,0.0
308,PAYMENT,33610.31,C408197533,30103.95,0.0,M675408059,0.0,0.0
308,CASH_OUT,195814.07,C1848336060,180.0,0.0,C274712155,0.0,195814.07
308,PAYMENT,23616.41,C1331383515,0.0,0.0,M1946135772,0.0,0.0
308,PAYMENT,27798.66,C1415353896,0.0,0.0,M1614212257,0.0,0.0
308,CASH_IN,59640.29,C1973307880,69587.0,129227.29,C1336226879,361923.94,302283.65
308,CASH_OUT,311748.68,C2072609483,66817.0,0.0,C646693677,444668.12,756416.8
308,CASH_OUT,280661.33,C1263842884,0.0,0.0,C680910891,1782682.54,2063343.87
308,TRANSFER,1207261.06,C483395691,17746.0,0.0,C782668904,82070.44,1289331.5
308,CASH_OUT,109573.94,C453427984,17612.0,0.0,C690273689,0.0,109573.94
308,CASH_OUT,2688.2,C749639009,697.0,0.0,C709177665,1865955.72,3494062.14
308,CASH_OUT,275490.42,C1118236710,35084.0,0.0,C1994818855,196814.31,472304.73
308,PAYMENT,32638.83,C1579760457,10443.0,0.0,M1939500511,0.0,0.0
308,CASH_OUT,213728.73,C726133584,22005.0,0.0,C855968424,0.0,213728.73
308,CASH_OUT,87271.83,C1578437086,0.0,0.0,C728334830,3669323.56,3756595.39
308,CASH_OUT,10302.51,C1240564262,1123.0,0.0,C1978254771,5234.68,15537.19
308,TRANSFER,90810.81,C1764092498,29520.0,0.0,C517963020,389790.57,480601.38
308,CASH_OUT,72109.93,C2100072781,29985.0,0.0,C194834445,0.0,72109.93
308,PAYMENT,7505.45,C193019087,38530.0,31024.55,M1319403307,0.0,0.0
308,PAYMENT,9306.91,C144014295,587568.61,578261.7,M287974769,0.0,0.0
308,PAYMENT,2827.15,C332334303,578261.7,575434.55,M2130668714,0.0,0.0
308,PAYMENT,7336.74,C1561852769,575434.55,568097.81,M492198943,0.0,0.0
308,PAYMENT,6956.75,C1985235606,568097.81,561141.06,M1942745802,0.0,0.0
308,PAYMENT,1040.17,C300274465,561141.06,560100.89,M1056752550,0.0,0.0
308,PAYMENT,9253.5,C1789406741,560100.89,550847.39,M1180290088,0.0,0.0
308,PAYMENT,30935.82,C2031772441,550847.39,519911.57,M564362863,0.0,0.0
308,PAYMENT,28824.61,C181413064,519911.57,491086.96,M39878966,0.0,0.0
308,PAYMENT,3446.63,C684206280,491086.96,487640.33,M312634296,0.0,0.0
308,PAYMENT,6910.85,C425716544,487640.33,480729.48,M523280492,0.0,0.0
308,PAYMENT,17744.39,C1985434922,480729.48,462985.09,M1999179763,0.0,0.0
308,PAYMENT,30128.38,C290127805,462985.09,432856.71,M191045176,0.0,0.0
308,PAYMENT,38436.32,C1196553339,432856.71,394420.39,M2025340405,0.0,0.0
308,PAYMENT,23482.43,C1053393480,394420.39,370937.96,M768133495,0.0,0.0
308,PAYMENT,6683.76,C1710359193,370937.96,364254.2,M1553779783,0.0,0.0
308,PAYMENT,9604.17,C775282270,364254.2,354650.03,M1163733406,0.0,0.0
308,PAYMENT,31838.63,C810425702,354650.03,322811.4,M168432092,0.0,0.0
308,PAYMENT,4246.26,C172878317,322811.4,318565.14,M644882659,0.0,0.0
308,PAYMENT,9245.35,C1721085030,318565.14,309319.79,M1019991449,0.0,0.0
308,PAYMENT,8699.23,C1504461164,309319.79,300620.56,M2122061186,0.0,0.0
308,PAYMENT,14538.61,C893481143,300620.56,286081.96,M1472470171,0.0,0.0
308,PAYMENT,1168.05,C1826132014,286081.96,284913.91,M1922455602,0.0,0.0
308,PAYMENT,5178.06,C1290557983,867.0,0.0,M1002153949,0.0,0.0
308,CASH_OUT,89559.63,C332007780,0.0,0.0,C1822045793,3485216.12,3574775.75
308,CASH_IN,298521.29,C1398637799,27445.0,325966.29,C1616828961,118403.26,0.0
308,PAYMENT,15130.02,C2110722097,325966.29,310836.27,M455918874,0.0,0.0
308,PAYMENT,5545.47,C1483636274,10508.0,4962.53,M1739305828,0.0,0.0
308,TRANSFER,400089.6,C1650489656,49614.0,0.0,C1982629172,2404774.99,2804864.59
308,CASH_OUT,68407.39,C530146427,50503.0,0.0,C1030357626,262581.21,330988.6
308,PAYMENT,7069.72,C875365972,19218.0,12148.28,M245871398,0.0,0.0
308,PAYMENT,3010.22,C1869587059,177592.0,174581.78,M998353241,0.0,0.0
308,PAYMENT,8223.97,C1732384731,725274.0,717050.03,M1414510230,0.0,0.0
308,CASH_OUT,27826.6,C1176627798,222972.0,195145.4,C650371148,1357986.83,1385813.43
308,PAYMENT,17785.31,C1893488810,464.0,0.0,M131560869,0.0,0.0
308,CASH_OUT,4433.68,C780503247,0.0,0.0,C1005570727,63946.01,68379.7
308,PAYMENT,10770.75,C1732228115,242.0,0.0,M1966385494,0.0,0.0
308,CASH_OUT,89391.22,C1240629256,29911.0,0.0,C1695265682,289457.56,378848.79
308,PAYMENT,8348.8,C1270065673,0.0,0.0,M1370886208,0.0,0.0
308,PAYMENT,952.23,C18378041,204706.0,203753.77,M1555521490,0.0,0.0
308,TRANSFER,847751.45,C176313775,203753.77,0.0,C1552469052,1279879.11,2127630.57
308,TRANSFER,470252.44,C1809277103,0.0,0.0,C1622715657,957472.4,1156086.46
308,CASH_IN,31797.08,C694462793,106359.0,138156.08,C1633306615,207581.51,175784.43
308,CASH_OUT,34531.27,C1338714744,4797.0,0.0,C1232848484,416505.06,451036.33
308,PAYMENT,49788.63,C1467756803,0.0,0.0,M134148443,0.0,0.0
308,CASH_OUT,203289.88,C198983180,92608.0,0.0,C709045829,73486.5,276776.39
308,PAYMENT,8536.58,C500321765,5000.0,0.0,M730891125,0.0,0.0
308,CASH_OUT,58933.6,C1528093557,552.0,0.0,C1401481626,0.0,58933.6
308,PAYMENT,59014.37,C835891781,0.0,0.0,M1046506751,0.0,0.0
308,CASH_OUT,101275.84,C289721197,201393.0,100117.16,C2128186406,89644.79,190920.62
308,PAYMENT,10385.64,C1828087107,20903.0,10517.36,M1209180674,0.0,0.0
308,CASH_IN,366502.92,C1965570155,15163.0,381665.92,C304386536,891184.92,524682.0
308,PAYMENT,4469.97,C1115720192,50344.0,45874.03,M486749038,0.0,0.0
308,PAYMENT,2083.33,C1088196734,208840.04,206756.71,M1946358638,0.0,0.0
308,PAYMENT,9837.39,C840255332,206756.71,196919.32,M906594827,0.0,0.0
308,PAYMENT,26256.87,C317895636,196919.32,170662.45,M2114345607,0.0,0.0
308,CASH_OUT,81979.38,C1714424900,10882.0,0.0,C1207746293,8426408.15,8508387.53
308,PAYMENT,1406.24,C471047003,137.0,0.0,M460912414,0.0,0.0
308,CASH_OUT,178963.67,C1466324116,12129.0,0.0,C1115792489,196190.02,375153.69
308,PAYMENT,6199.18,C827465744,20793.0,14593.82,M832285730,0.0,0.0
308,PAYMENT,2597.12,C1829203208,30034.0,27436.88,M144725704,0.0,0.0
308,PAYMENT,503.5,C676504940,9750.0,9246.5,M1145370360,0.0,0.0
308,PAYMENT,25184.28,C310230101,64417.0,39232.72,M409059012,0.0,0.0
308,TRANSFER,314767.18,C623182177,39232.72,0.0,C822703132,8694792.0,9009559.17
308,TRANSFER,1960386.92,C1186316299,26.0,0.0,C1431285732,269634.95,2230021.87
308,PAYMENT,5279.98,C970277788,198.0,0.0,M743923196,0.0,0.0
308,PAYMENT,4626.88,C561278750,86711.0,82084.12,M1227445923,0.0,0.0
308,CASH_IN,14908.45,C1525888441,10147.0,25055.45,C282545279,121978.23,107069.78
308,CASH_OUT,203528.32,C1281178534,30929.0,0.0,C1844561974,846251.44,1049779.76
308,PAYMENT,6108.37,C1314103724,0.0,0.0,M1305246347,0.0,0.0
308,PAYMENT,32554.15,C240242806,115964.0,83409.85,M729041425,0.0,0.0
308,CASH_OUT,113836.97,C2029637650,36180.0,0.0,C1944757376,3429655.39,3543492.37
308,CASH_OUT,158442.04,C1456469412,0.0,0.0,C1435382268,771175.67,929617.71
308,CASH_OUT,148515.71,C1444765035,0.0,0.0,C1179838466,1966949.45,2115465.16
308,PAYMENT,15072.87,C1605411195,80132.0,65059.13,M1778357215,0.0,0.0
308,PAYMENT,15983.62,C1077160337,65059.13,49075.51,M2097070841,0.0,0.0
308,PAYMENT,17021.15,C647962468,865.0,0.0,M862654723,0.0,0.0
308,PAYMENT,4629.39,C1383259742,0.0,0.0,M1485907939,0.0,0.0
308,CASH_IN,167997.44,C103507882,51379.0,219376.44,C310009037,273002.71,105005.27
308,CASH_OUT,287200.96,C1831046501,62803.0,0.0,C321642288,0.0,287200.96
308,CASH_OUT,179547.81,C703020721,328291.0,148743.19,C2052522327,6866396.6,7045944.41
308,PAYMENT,12904.97,C2014886481,31155.0,18250.03,M626230479,0.0,0.0
308,PAYMENT,26878.23,C1424653733,42970.0,16091.77,M1147720511,0.0,0.0
308,CASH_OUT,58631.34,C2040476625,79469.0,20837.66,C1197828898,0.0,58631.34
308,CASH_IN,18908.08,C1087612369,33042.0,51950.08,C115436929,447297.21,428389.13
308,CASH_OUT,31890.21,C1205071675,54136.0,22245.79,C1529048479,54.68,31944.9
308,PAYMENT,16154.32,C1168125397,29462.0,13307.68,M1168219915,0.0,0.0
308,CASH_OUT,74635.99,C402736963,24749.0,0.0,C930244639,4881225.76,4955861.75
308,PAYMENT,9853.39,C1089722703,0.0,0.0,M75078145,0.0,0.0
308,PAYMENT,7025.43,C1298728002,465.0,0.0,M1598056947,0.0,0.0
308,PAYMENT,7212.43,C27785973,1012.0,0.0,M1237766482,0.0,0.0
308,CASH_OUT,125683.61,C1284015932,88.0,0.0,C2053131121,0.0,125683.61
308,PAYMENT,12706.24,C282816687,4279.0,0.0,M773148691,0.0,0.0
308,PAYMENT,22295.37,C1361463490,122883.0,100587.63,M1503626429,0.0,0.0
308,CASH_OUT,108074.41,C302696745,100587.63,0.0,C1954642266,256482.24,364556.64
