step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
446,TRANSFER,7782452.17,C1751529795,7782452.17,0.0,C1669818195,0.0,0.0
446,CASH_OUT,7782452.17,C1601590561,7782452.17,0.0,C970433237,0.0,7782452.17
446,TRANSFER,171878.27,C1614403626,171878.27,0.0,C802921475,0.0,0.0
446,CASH_OUT,171878.27,C1056720143,171878.27,0.0,C1846017772,217898.19,389776.45
446,TRANSFER,311487.14,C1728700338,311487.14,0.0,C1489729408,0.0,0.0
446,CASH_OUT,311487.14,C171655471,311487.14,0.0,C73957643,753508.71,1064995.85
446,TRANSFER,2720647.79,C1998926306,2720647.79,0.0,C619524298,0.0,0.0
446,CASH_OUT,2720647.79,C398909840,2720647.79,0.0,C1072954107,22803.08,2743450.86
446,TRANSFER,398041.98,C1674336510,398041.98,0.0,C31094949,0.0,0.0
446,CASH_OUT,398041.98,C771336671,398041.98,0.0,C2075775339,422191.28,820233.26
446,TRANSFER,239095.53,C1938630563,239095.53,0.0,C138592034,0.0,0.0
446,CASH_OUT,239095.53,C1399296547,239095.53,0.0,C1447642335,65367.32,304462.85
