step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
262,CASH_IN,129655.14,C561913902,21109.0,150764.14,C1569367239,367228.76,237573.61
262,PAYMENT,1379.96,C929051594,243.0,0.0,M1970508015,0.0,0.0
262,DEBIT,6480.18,C1846238736,0.0,0.0,C295331758,809652.05,816132.22
262,DEBIT,2352.7,C1042574511,0.0,0.0,C315684756,2453290.8,2455643.5
262,DEBIT,14475.35,C149743298,0.0,0.0,C124148816,37486.21,51961.56
262,DEBIT,4567.03,C1634855896,0.0,0.0,C596787267,3.045165577E7,3.04562228E7
262,DEBIT,5415.36,C1430180408,0.0,0.0,C511409655,29122.26,34537.62
262,DEBIT,4836.5,C1222806820,0.0,0.0,C1270163844,3570359.78,3575196.28
262,DEBIT,2237.31,C668448780,0.0,0.0,C314718079,1987059.59,1989296.9
262,DEBIT,49.9,C1234614277,0.0,0.0,C43823921,2514339.92,2514389.82
262,DEBIT,3720.59,C1788480541,0.0,0.0,C161447768,1700469.0,1704189.59
262,DEBIT,5135.35,C919418823,0.0,0.0,C1539543764,679645.24,684780.6
262,DEBIT,12394.28,C742457034,0.0,0.0,C1329949011,15535.17,27929.45
262,DEBIT,936.3,C1357524439,0.0,0.0,C72199284,805194.66,806130.97
262,DEBIT,2287.13,C1781152051,0.0,0.0,C130476490,301459.99,303747.13
262,DEBIT,277.62,C889604286,0.0,0.0,C2002605035,99536.68,99814.3
262,DEBIT,1542.66,C505108090,0.0,0.0,C1964832114,2281713.96,2283256.62
262,DEBIT,244979.95,C530470139,0.0,0.0,C1890417681,5096248.46,5341228.41
262,PAYMENT,16356.88,C608568730,14707.0,0.0,M587393556,0.0,0.0
262,TRANSFER,3530.25,C1743704200,0.0,0.0,C1094339172,1409058.88,1412589.13
262,PAYMENT,5331.79,C179992834,2844.0,0.0,M507827994,0.0,0.0
262,PAYMENT,3085.32,C715312268,0.0,0.0,M995697600,0.0,0.0
262,PAYMENT,5513.12,C1651654592,479.0,0.0,M1521928339,0.0,0.0
262,PAYMENT,52.26,C1724688869,0.0,0.0,M343527903,0.0,0.0
262,PAYMENT,1427.5,C1728471215,0.0,0.0,M186179212,0.0,0.0
262,CASH_OUT,24023.41,C135847307,50226.0,26202.59,C2065647322,0.0,24023.41
262,PAYMENT,5394.42,C1379209854,19703.0,14308.58,M115475343,0.0,0.0
262,TRANSFER,201281.36,C1271087457,201281.36,0.0,C1017401472,0.0,0.0
262,CASH_OUT,201281.36,C91830551,201281.36,0.0,C1577387180,1337.64,202619.0
262,CASH_OUT,106366.93,C2133163300,45626.0,0.0,C229152573,0.0,106366.93
262,PAYMENT,6652.52,C1766713140,10946.0,4293.48,M953445173,0.0,0.0
262,PAYMENT,7238.62,C1957256377,30879.0,23640.38,M548524885,0.0,0.0
262,CASH_OUT,43066.06,C650372144,108214.0,65147.94,C367831267,3154274.58,3197340.65
