step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
704,TRANSFER,8813323.11,C1044721452,8813323.11,0.0,C61841056,0.0,0.0
704,CASH_OUT,8813323.11,C748275134,8813323.11,0.0,C118248248,0.0,8813323.11
704,TRANSFER,1722892.9,C538400340,1722892.9,0.0,C1674262851,0.0,0.0
704,CASH_OUT,1722892.9,C664688196,1722892.9,0.0,C14014864,91562.28,1814455.18
704,TRANSFER,339152.24,C354542931,339152.24,0.0,C144148136,0.0,0.0
704,CASH_OUT,339152.24,C1701872761,339152.24,0.0,C1343819307,0.0,339152.24
704,TRANSFER,1820864.64,C2135939957,1820864.64,0.0,C2116903748,0.0,0.0
704,CASH_OUT,1820864.64,C708222638,1820864.64,0.0,C106425191,1116665.47,2937530.11
704,TRANSFER,672812.53,C816315846,672812.53,0.0,C1817291086,0.0,0.0
704,CASH_OUT,672812.53,C1360389351,672812.53,0.0,C1009791419,0.0,672812.53
704,TRANSFER,158788.32,C1342183875,158788.32,0.0,C86858954,0.0,0.0
704,CASH_OUT,158788.32,C1323122307,158788.32,0.0,C171435126,4995950.14,5154738.46
704,TRANSFER,1593189.25,C1100723027,1593189.25,0.0,C37939872,0.0,0.0
704,CASH_OUT,1593189.25,C1071076699,1593189.25,0.0,C1913721465,30324.58,1623513.83
704,TRANSFER,391855.44,C1867095395,391855.44,0.0,C520753561,0.0,0.0
704,CASH_OUT,391855.44,C1221041967,391855.44,0.0,C2055287072,236228.52,628083.96
