step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
178,CASH_OUT,60088.21,C695367323,243463.0,183374.79,C2104740467,0.0,60088.21
178,CASH_OUT,262287.94,C631047709,16598.0,0.0,C925396148,22179.4,284467.33
178,PAYMENT,2535.1,C733012857,20109.0,17573.9,M914422551,0.0,0.0
178,CASH_OUT,161547.55,C217880050,50185.0,0.0,C1115614887,216078.58,377626.13
178,PAYMENT,13306.26,C1100793758,0.0,0.0,M1838895103,0.0,0.0
178,CASH_OUT,324885.0,C1559382296,21056.0,0.0,C1940381736,3211.7,328096.7
178,PAYMENT,16940.65,C885589105,0.0,0.0,M332301633,0.0,0.0
178,CASH_IN,136093.85,C605934704,1484.0,137577.85,C768935705,3426707.67,3290613.82
178,CASH_IN,69602.65,C1793712994,0.0,69602.65,C39520970,293695.19,224092.54
178,PAYMENT,17591.39,C385845442,69602.65,52011.26,M1904014289,0.0,0.0
178,PAYMENT,3493.36,C990382042,52011.26,48517.9,M517931306,0.0,0.0
178,CASH_IN,155608.16,C1946952619,4597.0,160205.16,C346294523,437313.23,281705.07
178,CASH_OUT,34310.21,C1660466304,20955.0,0.0,C138850596,132234.34,405625.1
178,CASH_OUT,194124.4,C431315410,0.0,0.0,C1863593828,1676787.91,1870912.31
178,CASH_IN,16868.91,C2139479455,495.0,17363.91,C1070579034,0.0,0.0
178,PAYMENT,16559.42,C1786882239,25072.0,8512.58,M1299865051,0.0,0.0
178,PAYMENT,5452.39,C2125653615,111273.0,105820.61,M789230851,0.0,0.0
178,CASH_OUT,243491.58,C1210655757,48262.0,0.0,C1061483904,268197.3,511688.88
178,PAYMENT,25585.45,C1461857366,0.0,0.0,M1053440323,0.0,0.0
178,CASH_OUT,212427.98,C1142042932,49115.0,0.0,C384008366,0.0,212427.98
178,TRANSFER,2809112.93,C1167752439,20780.0,0.0,C1139020163,408527.24,3217640.17
178,TRANSFER,256458.55,C60602510,0.0,0.0,C896625823,1285007.26,1541465.81
178,CASH_IN,235432.05,C1827899807,304.0,235736.05,C967075652,0.0,0.0
178,PAYMENT,20690.33,C968728228,235736.05,215045.72,M802562208,0.0,0.0
178,CASH_OUT,332518.63,C1239987484,20843.0,0.0,C1404456209,40216.06,372734.69
178,DEBIT,8462.72,C958886607,20820.0,12357.28,C227029959,897110.2,905572.91
178,CASH_OUT,116214.28,C1824162801,45842.0,0.0,C949212572,15337.26,131551.54
178,TRANSFER,897099.05,C1928818150,95294.0,0.0,C987217260,0.0,897099.05
178,CASH_OUT,24913.81,C2126214897,181138.0,156224.19,C1690101868,720542.23,745456.04
178,PAYMENT,13077.58,C2080948963,781828.0,768750.42,M1150641048,0.0,0.0
178,PAYMENT,15442.88,C230993585,45102.0,29659.12,M678251782,0.0,0.0
178,CASH_OUT,25307.88,C306744626,101711.0,76403.12,C158828624,108542.38,133850.26
178,PAYMENT,9331.78,C2100208960,20201.0,10869.22,M1429679474,0.0,0.0
178,PAYMENT,17774.38,C393240495,10869.22,0.0,M1091002734,0.0,0.0
178,CASH_OUT,197234.08,C1233897643,123286.0,0.0,C1580249761,435562.05,531967.32
178,CASH_IN,87098.36,C624635989,1478.0,88576.36,C78326989,57297.55,0.0
178,PAYMENT,13144.14,C807640698,88576.36,75432.22,M1247122689,0.0,0.0
178,PAYMENT,17106.6,C1561121392,24746.0,7639.4,M558495772,0.0,0.0
178,CASH_IN,139440.61,C221606401,45919.0,185359.61,C310924335,0.0,0.0
178,PAYMENT,5720.02,C1806570299,69613.0,63892.98,M1342886764,0.0,0.0
178,TRANSFER,3126521.94,C1047349353,3027.0,0.0,C338760636,6985375.14,1.011189708E7
178,CASH_OUT,155013.66,C409895135,10917.0,0.0,C2009423819,433558.7,588572.35
178,CASH_OUT,354414.13,C54689570,700347.0,345932.87,C2132781443,1096597.11,1451011.24
178,CASH_OUT,159954.15,C97869205,345932.87,185978.72,C274040844,1634863.49,1794817.64
178,CASH_IN,129281.23,C1362064198,60108.0,189389.23,C1959493905,0.0,0.0
178,CASH_OUT,55427.35,C1026259396,189389.23,133961.88,C641966343,364877.51,420304.86
178,CASH_OUT,181563.78,C763410988,91844.0,0.0,C616398461,0.0,181563.78
178,PAYMENT,2021.52,C35021820,714228.0,712206.48,M671716795,0.0,0.0
178,PAYMENT,12732.09,C1309293607,52964.0,40231.91,M1727249936,0.0,0.0
178,PAYMENT,12009.64,C1464543409,162.0,0.0,M856411054,0.0,0.0
178,CASH_OUT,60143.83,C754922220,0.0,0.0,C1100767002,6366245.18,6426389.01
178,CASH_OUT,9019.32,C1468471901,105701.0,96681.68,C2063990727,11196.31,20215.64
