step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
498,TRANSFER,95064.86,C1691381242,95064.86,0.0,C2147250733,0.0,0.0
498,CASH_OUT,95064.86,C1633870313,95064.86,0.0,C623604516,261235.49,356300.35
498,TRANSFER,142791.28,C2091936123,142791.28,0.0,C843542552,0.0,0.0
498,CASH_OUT,142791.28,C1386219117,142791.28,0.0,C1444718945,724053.13,866844.41
498,TRANSFER,1028515.56,C905449086,1028515.56,0.0,C1254399120,0.0,0.0
498,CASH_OUT,1028515.56,C1139006593,1028515.56,0.0,C116028327,0.0,1028515.56
498,TRANSFER,207261.07,C1013419575,207261.07,0.0,C1389517539,0.0,0.0
498,CASH_OUT,207261.07,C1856398520,207261.07,0.0,C1898820013,48221.7,255482.77
498,TRANSFER,1.0E7,C1764331146,1.959383863E7,9593838.63,C458755308,0.0,0.0
498,CASH_OUT,1.0E7,C1016892734,1.0E7,0.0,C634337503,302854.73,1.030285473E7
498,TRANSFER,9593838.63,C1050497545,9593838.63,0.0,C457890781,0.0,0.0
498,CASH_OUT,9593838.63,C1463520187,9593838.63,0.0,C1508969508,0.0,9593838.63
