step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
651,TRANSFER,130777.09,C527353912,130777.09,0.0,C99611102,0.0,0.0
651,CASH_OUT,130777.09,C1641644327,130777.09,0.0,C1447531864,0.0,130777.09
651,TRANSFER,2935952.76,C135132555,2935952.76,0.0,C409217818,0.0,0.0
651,CASH_OUT,2935952.76,C1884318665,2935952.76,0.0,C687662145,113270.41,3049223.17
651,TRANSFER,9996886.64,C429282035,9996886.64,0.0,C1318460385,0.0,0.0
651,CASH_OUT,9996886.64,C887830623,9996886.64,0.0,C1319987164,20429.76,1.00173164E7
651,TRANSFER,595558.89,C554735206,595558.89,0.0,C1403855588,0.0,0.0
651,CASH_OUT,595558.89,C917298078,595558.89,0.0,C979963361,5346086.17,5941645.06
651,TRANSFER,65494.78,C504273308,65494.78,0.0,C1723740840,0.0,0.0
651,CASH_OUT,65494.78,C1340594574,65494.78,0.0,C1088639142,422252.51,487747.29
