step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
204,CASH_IN,95506.19,C1602698934,68.0,95574.19,C1743101379,287895.77,192389.58
204,PAYMENT,700.45,C1226437272,19188.0,18487.55,M2076430765,0.0,0.0
204,PAYMENT,6859.1,C1177217456,510983.0,504123.9,M540937549,0.0,0.0
204,CASH_IN,58955.71,C641050336,504123.9,563079.61,C1968999382,280330.97,221375.26
204,CASH_IN,83467.76,C1134449970,143.0,83610.76,C1063642149,20838.23,0.0
204,CASH_OUT,11113.22,C1382564760,283454.0,272340.78,C1134863450,715620.32,726733.54
204,CASH_OUT,37002.25,C40663293,21314.0,0.0,C308393608,296483.14,337878.56
204,CASH_OUT,227586.04,C166059254,23758.0,0.0,C718021589,0.0,227586.04
204,PAYMENT,23433.65,C954416957,0.0,0.0,M679993146,0.0,0.0
204,PAYMENT,18565.45,C1229844807,15126.0,0.0,M1860732660,0.0,0.0
204,PAYMENT,18396.54,C1330857667,0.0,0.0,M1505439260,0.0,0.0
204,PAYMENT,16703.76,C2145004453,0.0,0.0,M1429196172,0.0,0.0
204,PAYMENT,7256.95,C2092212,3785.0,0.0,M5568869,0.0,0.0
204,PAYMENT,282.1,C788364745,9277.0,8994.9,M85300791,0.0,0.0
204,CASH_IN,168395.53,C2047914093,196758.0,365153.53,C1481604236,0.0,0.0
204,CASH_OUT,278636.12,C1562960283,45464.0,0.0,C1196375286,433284.52,711920.64
204,CASH_OUT,7531.23,C419351746,82590.0,75058.77,C2012829524,149407.78,156939.01
204,PAYMENT,4657.74,C829642180,75058.77,70401.04,M1319045215,0.0,0.0
204,PAYMENT,2374.78,C1419840558,70401.04,68026.25,M978801316,0.0,0.0
204,PAYMENT,1838.12,C295824735,68026.25,66188.13,M659215044,0.0,0.0
204,PAYMENT,8814.82,C2069265023,66188.13,57373.32,M2073347523,0.0,0.0
204,PAYMENT,8479.57,C1707152635,57373.32,48893.75,M351020661,0.0,0.0
204,PAYMENT,1903.33,C1554064149,48893.75,46990.42,M29777823,0.0,0.0
204,PAYMENT,2258.24,C1817048464,46990.42,44732.18,M434616802,0.0,0.0
204,PAYMENT,5538.2,C1284216896,44732.18,39193.98,M2139229417,0.0,0.0
204,PAYMENT,2054.95,C2095093756,39193.98,37139.04,M1483475243,0.0,0.0
204,PAYMENT,6885.82,C1211487230,37139.04,30253.22,M666860373,0.0,0.0
204,PAYMENT,2332.66,C1595430697,30253.22,27920.55,M1728395440,0.0,0.0
204,PAYMENT,15752.68,C21605773,27920.55,12167.88,M1576016674,0.0,0.0
204,PAYMENT,57758.13,C1078771370,12167.88,0.0,M239263403,0.0,0.0
204,PAYMENT,41462.27,C1110130475,0.0,0.0,M526325063,0.0,0.0
204,CASH_IN,324284.21,C977486312,31347.0,355631.21,C1920983971,0.0,0.0
204,CASH_OUT,382149.22,C585918349,70019.0,0.0,C79949980,299700.68,681849.9
204,PAYMENT,4326.06,C958776988,5627.0,1300.94,M1580665298,0.0,0.0
204,CASH_IN,448540.88,C2128302077,31369.0,479909.88,C598649559,0.0,0.0
204,CASH_OUT,32985.87,C1070239652,285.0,0.0,C658296476,206603.38,239589.25
204,TRANSFER,1127845.01,C676118503,0.0,0.0,C1417693296,2184312.88,3312157.89
204,TRANSFER,34536.45,C1322470053,0.0,0.0,C727099944,1826616.14,1861152.59
204,TRANSFER,947830.07,C1783840805,0.0,0.0,C1735856236,1324551.13,2272381.2
204,TRANSFER,200601.16,C26170724,0.0,0.0,C2019320105,1361176.59,1561777.76
204,TRANSFER,307475.08,C1290887477,0.0,0.0,C418964192,1507697.43,1815172.51
204,TRANSFER,484459.23,C413375596,0.0,0.0,C1475810936,1612755.45,2097214.69
204,TRANSFER,174978.02,C1744938293,0.0,0.0,C451835265,502149.2,677127.23
204,TRANSFER,371497.28,C324987172,0.0,0.0,C1882863866,8085445.8,8456943.08
204,TRANSFER,178729.46,C1424083635,0.0,0.0,C2091358494,7284629.79,7463359.25
204,TRANSFER,289135.6,C1353018559,0.0,0.0,C1085688400,8640018.66,8929154.26
204,TRANSFER,624617.74,C896029587,0.0,0.0,C1851989639,661917.06,1286534.8
204,TRANSFER,554264.1,C1360759763,0.0,0.0,C457055521,1564437.13,2118701.24
204,TRANSFER,1445590.12,C192243473,0.0,0.0,C2029196272,1752824.58,3198414.7
204,TRANSFER,2490948.19,C1884168788,0.0,0.0,C116230221,2875947.95,5366896.14
204,TRANSFER,2261297.2,C130880261,0.0,0.0,C624576766,4910282.05,7171579.25
204,TRANSFER,231497.3,C168117564,0.0,0.0,C449914145,1805802.21,2037299.51
204,TRANSFER,916682.88,C711521922,0.0,0.0,C1750718192,3603277.75,4365945.42
204,TRANSFER,168231.98,C724909337,0.0,0.0,C41163670,382823.72,551055.69
204,TRANSFER,654859.15,C1141851713,0.0,0.0,C1202292933,689184.9,1344044.05
204,TRANSFER,427109.31,C1686361945,0.0,0.0,C1817526721,913475.43,1340584.74
204,TRANSFER,36778.01,C162718125,0.0,0.0,C1799580309,1666728.44,1703506.46
204,TRANSFER,697102.99,C191748215,0.0,0.0,C890805757,1412578.56,2109681.56
204,TRANSFER,1928587.29,C904837653,0.0,0.0,C575058174,3957575.95,5886163.24
204,TRANSFER,430962.88,C1336777454,0.0,0.0,C1030781919,2457134.4,2888097.28
204,CASH_IN,523491.39,C1359783231,20800.0,544291.39,C1504510427,5743823.08,5220331.69
204,CASH_IN,38695.75,C877093129,544291.39,582987.14,C381688161,1810143.02,1771447.27
204,CASH_IN,121932.67,C1949916038,582987.14,704919.81,C1178351431,935920.66,813987.98
204,CASH_IN,365856.5,C1465963781,704919.81,1070776.31,C450908066,1333846.04,967989.54
204,CASH_IN,194124.33,C1668396939,1070776.31,1264900.64,C293857006,1415674.75,1221550.42
204,CASH_IN,158569.02,C1823591877,1264900.64,1423469.66,C423350771,5744108.73,5585539.71
204,CASH_IN,270335.93,C1382698686,1423469.66,1693805.59,C1421263836,554796.77,284460.84
204,CASH_IN,197439.1,C57897227,1693805.59,1891244.69,C1059764047,4516466.1,4319027.0
204,CASH_IN,107888.01,C1842365185,1891244.69,1999132.7,C698476020,633651.02,525763.01
204,CASH_IN,25395.8,C267216027,1999132.7,2024528.5,C1743137377,222253.03,196857.23
204,CASH_IN,92233.99,C267568230,2024528.5,2116762.49,C469778398,238922.47,146688.48
204,CASH_IN,197456.69,C386996154,2116762.49,2314219.18,C1293802799,1810863.12,2167679.86
204,CASH_IN,131262.26,C2025231890,2314219.18,2445481.43,C442356373,187453.0,56190.75
204,CASH_IN,158514.7,C471591971,2445481.43,2603996.13,C1318163084,283168.52,124653.82
204,CASH_IN,38964.53,C89377330,2603996.13,2642960.66,C2058421156,1851075.12,1812110.6
204,CASH_IN,112194.42,C442544613,2642960.66,2755155.08,C218599067,160038.38,47843.96
204,CASH_IN,268880.54,C1454027453,2755155.08,3024035.62,C1006643900,1243363.1,974482.56
204,CASH_IN,145593.95,C353576639,3024035.62,3169629.57,C1330039904,324711.14,179117.19
204,CASH_IN,214170.54,C235568245,3169629.57,3383800.11,C392918106,359514.13,145343.59
204,CASH_IN,284497.61,C301599688,3383800.11,3668297.72,C528190495,1040904.58,756406.96
204,CASH_IN,231366.85,C306605072,3668297.72,3899664.57,C1775951327,410131.07,178764.21
204,CASH_IN,161889.39,C518817337,3899664.57,4061553.96,C1078776868,1951849.31,1789959.92
204,CASH_IN,193562.17,C1129887813,4061553.96,4255116.14,C921205589,2528659.79,2335097.61
204,CASH_IN,84653.36,C37576621,4255116.14,4339769.5,C1039129706,340886.95,256233.59
204,CASH_IN,143392.32,C599426326,4339769.5,4483161.81,C356546023,931602.19,788209.87
204,CASH_IN,259542.08,C1495077398,4483161.81,4742703.9,C2032225678,275046.11,55741.01
204,CASH_IN,180951.4,C1593906144,4742703.9,4923655.3,C1771969870,261553.12,142135.07
204,CASH_IN,255618.63,C933887898,4923655.3,5179273.93,C363433002,410481.89,154863.26
204,CASH_IN,180431.29,C1087131212,5179273.93,5359705.21,C1516228613,1292746.88,1112315.6
204,CASH_IN,119357.65,C1911581153,50225.0,169582.65,C832854381,0.0,0.0
204,CASH_OUT,295310.54,C649722412,9096.0,0.0,C1640508858,1632648.35,1927958.89
204,CASH_OUT,218531.12,C1578402894,1636.0,0.0,C224706871,326966.07,545497.19
204,CASH_OUT,30334.92,C2089291758,2142.0,0.0,C1575852252,101078.58,131413.5
204,CASH_OUT,225372.2,C239455999,0.0,0.0,C1138585601,246935.17,472307.37
204,PAYMENT,9361.85,C1740909953,94317.0,84955.15,M495510467,0.0,0.0
204,CASH_OUT,224185.12,C566454499,11040.0,0.0,C1213994567,167398.46,391583.58
204,PAYMENT,4073.28,C22116370,0.0,0.0,M1203762588,0.0,0.0
204,CASH_IN,17176.26,C494112851,63510.0,80686.26,C22888419,0.0,0.0
204,CASH_IN,2599.16,C659384174,11238.0,13837.16,C17965770,0.0,0.0
204,PAYMENT,6729.92,C760613501,303991.0,297261.08,M368904542,0.0,0.0
204,PAYMENT,13265.25,C344842938,297261.08,283995.83,M1480032594,0.0,0.0
204,CASH_IN,245794.14,C1169128907,8531.0,254325.14,C842600412,236249.3,0.0
204,CASH_OUT,172163.76,C946158553,254325.14,82161.38,C1726015363,203537.34,375701.1
204,CASH_OUT,252060.85,C1132893789,106138.0,0.0,C857953605,0.0,252060.85
