step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
303,CASH_OUT,119681.38,C644991992,26780.0,0.0,C523627227,928774.31,1048455.7
303,CASH_OUT,247661.68,C1055847420,153521.0,0.0,C480888931,989021.89,1236683.56
303,PAYMENT,70915.59,C1452122601,21021.0,0.0,M200275826,0.0,0.0
303,CASH_IN,300381.05,C594134012,51213.0,351594.05,C1870027905,3105334.25,2804953.21
303,PAYMENT,9301.1,C1783735678,19524.0,10222.9,M1374208820,0.0,0.0
303,PAYMENT,19636.06,C625539612,10222.9,0.0,M1213447018,0.0,0.0
303,PAYMENT,4781.67,C802065739,0.0,0.0,M942152421,0.0,0.0
303,CASH_OUT,46858.58,C1515364326,74659.0,27800.42,C771717959,0.0,46858.58
303,PAYMENT,20016.81,C261089069,27800.42,7783.61,M1416660802,0.0,0.0
303,PAYMENT,56484.72,C754405403,816.0,0.0,M1645496268,0.0,0.0
303,PAYMENT,32101.03,C307388972,70.0,0.0,M1112063411,0.0,0.0
303,CASH_OUT,168857.98,C1411992169,130529.0,0.0,C685440582,117990.93,286848.91
303,PAYMENT,15003.64,C339954951,0.0,0.0,M360779425,0.0,0.0
303,PAYMENT,31165.97,C304323719,0.0,0.0,M206042792,0.0,0.0
303,PAYMENT,10625.7,C40024402,0.0,0.0,M520838073,0.0,0.0
303,PAYMENT,8727.11,C289553275,0.0,0.0,M570649933,0.0,0.0
303,PAYMENT,4251.5,C893184118,0.0,0.0,M1890565115,0.0,0.0
303,PAYMENT,20645.11,C1891032950,0.0,0.0,M1239858472,0.0,0.0
303,PAYMENT,20687.08,C466326330,0.0,0.0,M372671451,0.0,0.0
303,PAYMENT,11252.74,C1354609412,0.0,0.0,M751717318,0.0,0.0
303,PAYMENT,18200.38,C1809538854,0.0,0.0,M1238442461,0.0,0.0
303,PAYMENT,25328.56,C1950981744,0.0,0.0,M713517892,0.0,0.0
303,PAYMENT,2863.46,C454308701,0.0,0.0,M1527457323,0.0,0.0
303,PAYMENT,35763.09,C1661573412,0.0,0.0,M1917125450,0.0,0.0
303,PAYMENT,13457.47,C1215383684,0.0,0.0,M1254688223,0.0,0.0
303,PAYMENT,3500.15,C1697015067,0.0,0.0,M1067677094,0.0,0.0
303,PAYMENT,45950.85,C2102669246,0.0,0.0,M2133928502,0.0,0.0
303,PAYMENT,34814.96,C703174262,0.0,0.0,M230934696,0.0,0.0
303,PAYMENT,22241.21,C1370894193,0.0,0.0,M656461803,0.0,0.0
303,PAYMENT,13725.28,C1117763423,20059.0,6333.72,M1368039724,0.0,0.0
303,CASH_OUT,671337.38,C824689099,21177.0,0.0,C253978485,0.0,671337.38
303,PAYMENT,10770.17,C274272147,0.0,0.0,M792946568,0.0,0.0
303,PAYMENT,53935.65,C734273677,42231.0,0.0,M618829223,0.0,0.0
303,CASH_OUT,141896.35,C2082415423,0.0,0.0,C1965537319,2513940.66,2655837.02
303,CASH_IN,49449.9,C1213490195,25154.0,74603.9,C1160238611,408555.73,359105.83
303,CASH_IN,408109.33,C1117713884,411588.0,819697.33,C1667167091,40774.77,0.0
303,CASH_OUT,467720.3,C1927352197,819697.33,351977.03,C1395238610,3953423.33,4421143.62
303,CASH_OUT,321342.41,C2011352125,351977.03,30634.63,C590333606,4158466.45,4479808.86
303,CASH_OUT,259715.59,C486365742,30634.63,0.0,C1017705585,840101.1,1099816.69
303,CASH_OUT,118830.59,C704146552,0.0,0.0,C2060908747,210415.34,329245.93
303,CASH_OUT,253203.92,C1402979301,484273.0,231069.08,C498372341,372628.98,625832.9
303,PAYMENT,8379.24,C855469711,19018.0,10638.76,M1151827668,0.0,0.0
303,PAYMENT,34762.26,C777408916,21740.0,0.0,M58404688,0.0,0.0
303,PAYMENT,37472.73,C1521201318,0.0,0.0,M621098233,0.0,0.0
303,CASH_OUT,256358.79,C969083708,20607.0,0.0,C923622754,79374.42,335733.21
303,PAYMENT,2326.56,C1662563067,0.0,0.0,M1680937150,0.0,0.0
303,TRANSFER,60712.07,C1746879037,24125.0,0.0,C767329720,1164796.9,1225508.98
303,CASH_IN,161586.75,C1227108073,20486.0,182072.75,C711486991,281397.93,119811.18
303,PAYMENT,45655.98,C1863172700,10372.0,0.0,M55938019,0.0,0.0
303,CASH_OUT,184529.82,C290008862,11700.0,0.0,C445555402,32184.1,216713.92
303,CASH_IN,183402.62,C2037520568,24713.0,208115.62,C1948558238,4.867779834E7,4.849439572E7
303,CASH_IN,282329.48,C2028743400,10427.0,292756.48,C1810089809,140218.71,0.0
303,PAYMENT,16496.5,C1464446085,292756.48,276259.98,M253773997,0.0,0.0
303,PAYMENT,7491.47,C1719543337,276259.98,268768.51,M2136796004,0.0,0.0
303,TRANSFER,1055670.01,C1701531022,289.0,0.0,C909138411,79695.02,1135365.03
303,CASH_OUT,208044.57,C1745028270,0.0,0.0,C154519010,5789116.51,5997161.08
303,CASH_OUT,253725.4,C2136680681,156263.0,0.0,C401334762,587960.65,841686.05
303,PAYMENT,27921.38,C1740958637,3302.0,0.0,M1492962790,0.0,0.0
303,CASH_IN,47510.68,C682263587,102193.0,149703.68,C981265217,12734.46,0.0
303,CASH_OUT,44084.21,C235990463,205.0,0.0,C822406532,112.0,0.0
