step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
264,PAYMENT,6485.78,C1369742072,102734.0,96248.22,M288548197,0.0,0.0
264,PAYMENT,2739.21,C44784209,100172.0,97432.79,M1734116610,0.0,0.0
264,CASH_OUT,118386.54,C316317771,97432.79,0.0,C1068543577,2875463.79,2993850.32
264,PAYMENT,7875.06,C348481208,580.0,0.0,M1281679267,0.0,0.0
264,PAYMENT,8824.38,C1335048120,0.0,0.0,M135007993,0.0,0.0
264,PAYMENT,4253.18,C927156710,7739.0,3485.82,M1571819882,0.0,0.0
264,PAYMENT,5432.28,C197706643,3560.0,0.0,M1666940885,0.0,0.0
264,PAYMENT,720.4,C1316623905,6252.0,5531.6,M329020869,0.0,0.0
264,PAYMENT,5713.57,C1577449598,5531.6,0.0,M1721270716,0.0,0.0
264,PAYMENT,984.18,C2018334800,21684.0,20699.82,M143603905,0.0,0.0
264,PAYMENT,4838.05,C2033772454,20665.0,15826.95,M1527712860,0.0,0.0
264,TRANSFER,164527.89,C1234325685,28549.0,0.0,C1561545750,0.0,164527.89
264,PAYMENT,1066.6,C942284918,456102.0,455035.4,M101836034,0.0,0.0
264,TRANSFER,224700.02,C627012720,455035.4,230335.39,C261800449,3411584.37,3636284.38
264,PAYMENT,1000.45,C2123599766,12867.0,11866.55,M391330210,0.0,0.0
264,PAYMENT,5572.7,C509863871,30004.0,24431.3,M1086455031,0.0,0.0
264,PAYMENT,146.27,C583808070,204583.0,204436.73,M744261524,0.0,0.0
264,PAYMENT,7913.4,C763610047,204436.73,196523.32,M1651160252,0.0,0.0
264,PAYMENT,4384.03,C558355123,151575.0,147190.97,M1777307944,0.0,0.0
264,CASH_OUT,262978.96,C1522674065,147190.97,0.0,C161349047,1.530450155E7,1.556748051E7
264,PAYMENT,7010.97,C1832565025,48435.0,41424.03,M1928801407,0.0,0.0
264,CASH_OUT,218941.1,C1728353752,41424.03,0.0,C1730755597,376950.86,595891.96
264,CASH_OUT,73628.5,C750888456,0.0,0.0,C326417437,2188452.88,2262081.39
264,CASH_OUT,75925.73,C344649984,0.0,0.0,C788595281,333354.23,409279.96
264,CASH_OUT,3118.91,C1607840570,0.0,0.0,C1678875569,1344009.22,1347128.13
264,CASH_OUT,193830.73,C482105165,0.0,0.0,C1947092540,298578.9,492409.63
264,CASH_OUT,4717.11,C1038893876,0.0,0.0,C795133854,1583351.02,1588068.12
264,CASH_OUT,100842.3,C2125309816,0.0,0.0,C1892748193,394394.79,495237.09
264,CASH_OUT,205879.99,C210999284,0.0,0.0,C834672015,272585.94,478465.94
264,CASH_OUT,138136.86,C1919663892,0.0,0.0,C976198218,596331.23,734468.09
264,PAYMENT,1698.17,C759277454,8410.0,6711.83,M1044661049,0.0,0.0
264,PAYMENT,927.17,C779640626,3049.0,2121.83,M29677302,0.0,0.0
264,PAYMENT,3155.64,C555318423,2121.83,0.0,M1029225990,0.0,0.0
264,CASH_OUT,108410.07,C1362487120,951043.0,842632.93,C1572747234,6608.57,115018.64
264,PAYMENT,9707.27,C1986132198,842632.93,832925.66,M485937017,0.0,0.0
264,PAYMENT,3870.72,C1680271983,49837.0,45966.28,M450334428,0.0,0.0
264,PAYMENT,4798.96,C1661531048,10351.0,5552.04,M1227842999,0.0,0.0
264,CASH_OUT,198722.54,C436833135,5552.04,0.0,C776253559,4682587.97,4881310.51
264,PAYMENT,6148.13,C1015957404,219.0,0.0,M415196694,0.0,0.0
264,PAYMENT,4229.71,C714058347,17923.0,13693.29,M2089492134,0.0,0.0
264,CASH_OUT,131776.77,C846664716,18237.0,0.0,C71730199,0.0,131776.77
264,PAYMENT,6364.46,C1369136002,50077.0,43712.54,M110128936,0.0,0.0
264,TRANSFER,696873.69,C575291250,28967.0,0.0,C1576355311,0.0,696873.69
264,CASH_OUT,265511.05,C681019459,0.0,0.0,C376354768,1993134.18,2258645.22
264,PAYMENT,5891.14,C601592216,3491.0,0.0,M649544676,0.0,0.0
264,PAYMENT,3384.42,C1442142703,6036.0,2651.58,M1093928578,0.0,0.0
264,PAYMENT,7707.24,C1042028653,242311.0,234603.76,M573097001,0.0,0.0
264,CASH_OUT,166036.78,C1567480738,234603.76,68566.98,C495917162,353545.53,519582.32
264,DEBIT,1077.42,C1007470235,143520.0,142442.58,C52256577,2370234.24,2371311.65
264,PAYMENT,3223.82,C1653435911,40627.0,37403.18,M115402739,0.0,0.0
264,PAYMENT,1692.63,C895720518,58562.0,56869.37,M1862384751,0.0,0.0
264,PAYMENT,3302.44,C1727339230,99287.0,95984.56,M1730918028,0.0,0.0
264,PAYMENT,1311.76,C1317246851,18.0,0.0,M738441464,0.0,0.0
264,PAYMENT,4072.02,C1659794508,40749.0,36676.98,M1481318731,0.0,0.0
264,TRANSFER,69471.71,C170297934,36676.98,0.0,C934576991,933404.53,1002876.23
264,TRANSFER,758084.17,C1003693962,0.0,0.0,C414229726,1547550.79,2305634.96
264,TRANSFER,174791.35,C705587368,0.0,0.0,C343477816,216084.78,390876.13
264,TRANSFER,425349.23,C734942683,0.0,0.0,C51452319,658006.76,1083355.99
264,TRANSFER,120829.99,C352636438,0.0,0.0,C641717235,324040.34,444870.33
264,TRANSFER,557137.04,C935941195,0.0,0.0,C1258243127,1157968.56,1715105.59
264,TRANSFER,187016.65,C1859858738,0.0,0.0,C1169665782,272955.95,459972.59
264,TRANSFER,636444.68,C929223103,0.0,0.0,C464053036,781923.51,1418368.19
264,TRANSFER,569023.38,C69586235,0.0,0.0,C537033502,2992505.34,3561528.72
264,TRANSFER,103551.37,C2033433336,0.0,0.0,C1589601150,2260407.12,2363958.49
264,TRANSFER,21222.69,C1322669645,0.0,0.0,C1278442884,55983.1,77205.79
264,PAYMENT,1005.58,C1872271617,12715.0,11709.42,M1165942236,0.0,0.0
264,PAYMENT,1673.43,C570313713,14564.0,12890.57,M1566971325,0.0,0.0
264,PAYMENT,3625.91,C1981665153,5165.0,1539.09,M1161723043,0.0,0.0
