step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
648,TRANSFER,468638.03,C313989858,468638.03,0.0,C969680632,0.0,0.0
648,CASH_OUT,468638.03,C1409902854,468638.03,0.0,C1543232665,3070090.72,3538728.75
648,TRANSFER,774868.1,C174708557,774868.1,0.0,C1964948476,0.0,0.0
648,CASH_OUT,774868.1,C1516959235,774868.1,0.0,C1812639726,131877.41,906745.51
648,TRANSFER,1086227.44,C1889568678,1086227.44,0.0,C1906681343,0.0,0.0
648,CASH_OUT,1086227.44,C1878954477,1086227.44,0.0,C1745741148,1017455.87,2103683.3
648,TRANSFER,27584.17,C728363232,27584.17,0.0,C2023858069,0.0,0.0
648,CASH_OUT,27584.17,C641646944,27584.17,0.0,C951980885,0.0,27584.17
648,TRANSFER,398045.73,C1389887414,398045.73,0.0,C452478400,0.0,0.0
648,CASH_OUT,398045.73,C1228762616,398045.73,0.0,C596041250,0.0,398045.73
648,TRANSFER,17733.57,C766999247,17733.57,0.0,C1200809974,0.0,0.0
648,CASH_OUT,17733.57,C2110950360,17733.57,0.0,C1146126166,4802659.6,4820393.17
648,TRANSFER,1005346.72,C278258075,1005346.72,0.0,C28830193,0.0,0.0
648,CASH_OUT,1005346.72,C845487324,1005346.72,0.0,C1150675695,227.11,1005573.83
