step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
565,PAYMENT,9073.15,C331136597,1013.0,0.0,M1577984124,0.0,0.0
565,CASH_OUT,392150.94,C574060748,25923.0,0.0,C682070847,6985.84,399136.79
565,CASH_OUT,46622.75,C938490504,0.0,0.0,C1755316852,570280.73,616903.48
565,CASH_OUT,9432.64,C1095263285,0.0,0.0,C1179115152,33872.95,43305.59
565,PAYMENT,12461.58,C1860874656,5193.0,0.0,M2005030313,0.0,0.0
565,CASH_IN,262972.25,C1091573163,27236.0,290208.25,C151269481,0.0,0.0
565,CASH_OUT,250183.38,C1140570224,290208.25,40024.87,C389170865,284971.91,535155.28
565,CASH_OUT,114516.34,C2024240670,363586.0,249069.66,C616690152,0.0,114516.34
565,TRANSFER,979803.45,C493706174,33824.0,0.0,C1955167222,1151664.5,2131467.95
565,CASH_OUT,288087.66,C1544661237,0.0,0.0,C239556293,1.22356873E7,1.252377496E7
565,PAYMENT,13508.82,C1110946623,73118.0,59609.18,M31668961,0.0,0.0
565,PAYMENT,38766.31,C1982079432,59609.18,20842.87,M656636409,0.0,0.0
565,CASH_OUT,39659.69,C1492293737,20893.0,0.0,C2122325125,154202.99,193862.68
565,PAYMENT,28684.21,C1088329124,0.0,0.0,M396613142,0.0,0.0
565,PAYMENT,11012.76,C728992170,0.0,0.0,M1737387389,0.0,0.0
565,PAYMENT,5151.45,C1397340061,0.0,0.0,M1515440260,0.0,0.0
565,PAYMENT,8149.1,C1843012797,0.0,0.0,M2041272830,0.0,0.0
565,PAYMENT,17991.95,C1732312073,0.0,0.0,M596840333,0.0,0.0
565,PAYMENT,13169.47,C525346958,0.0,0.0,M1008203315,0.0,0.0
565,PAYMENT,3307.67,C1557656844,0.0,0.0,M1728276092,0.0,0.0
565,PAYMENT,9128.39,C2030646858,0.0,0.0,M2058150198,0.0,0.0
565,PAYMENT,25.83,C430970106,0.0,0.0,M1702670646,0.0,0.0
565,PAYMENT,68.7,C1433886901,0.0,0.0,M1213173372,0.0,0.0
565,PAYMENT,1349.21,C1363235915,0.0,0.0,M1362405972,0.0,0.0
565,PAYMENT,20453.38,C1059588623,0.0,0.0,M186667000,0.0,0.0
565,PAYMENT,35945.67,C1352184283,0.0,0.0,M613074838,0.0,0.0
565,PAYMENT,18175.71,C1527634298,0.0,0.0,M1390084716,0.0,0.0
565,PAYMENT,14650.65,C1205364613,0.0,0.0,M899464863,0.0,0.0
565,PAYMENT,17478.15,C7305055,4893.0,0.0,M179166556,0.0,0.0
565,PAYMENT,52505.52,C239957955,0.0,0.0,M1593137363,0.0,0.0
565,PAYMENT,26076.18,C626727389,0.0,0.0,M1098413847,0.0,0.0
565,PAYMENT,11826.12,C619639700,0.0,0.0,M1353258010,0.0,0.0
565,PAYMENT,10842.57,C759261731,0.0,0.0,M797143123,0.0,0.0
565,PAYMENT,7631.21,C2082620516,0.0,0.0,M1689486910,0.0,0.0
565,PAYMENT,10806.74,C1107687673,0.0,0.0,M1991252226,0.0,0.0
565,PAYMENT,7128.61,C417293012,0.0,0.0,M1613071751,0.0,0.0
565,PAYMENT,5404.76,C227175242,0.0,0.0,M2072251376,0.0,0.0
565,PAYMENT,9530.0,C405675926,0.0,0.0,M1424734377,0.0,0.0
565,PAYMENT,7428.49,C182802757,0.0,0.0,M1373968482,0.0,0.0
565,PAYMENT,12785.48,C970944359,0.0,0.0,M821601797,0.0,0.0
565,PAYMENT,15609.04,C276295214,0.0,0.0,M1764278858,0.0,0.0
565,PAYMENT,11277.12,C734936159,0.0,0.0,M1584627629,0.0,0.0
565,PAYMENT,8638.55,C1910172883,0.0,0.0,M1590647344,0.0,0.0
565,PAYMENT,22130.81,C79276402,0.0,0.0,M1106387039,0.0,0.0
565,PAYMENT,6050.15,C1734926534,0.0,0.0,M1137846465,0.0,0.0
565,PAYMENT,9748.62,C174717936,0.0,0.0,M1514783290,0.0,0.0
565,PAYMENT,1175.78,C2047309669,0.0,0.0,M683789508,0.0,0.0
565,PAYMENT,10610.09,C1840383063,0.0,0.0,M2046710729,0.0,0.0
565,PAYMENT,7088.52,C939765708,0.0,0.0,M511898596,0.0,0.0
565,PAYMENT,1277.55,C1668271327,0.0,0.0,M1745136480,0.0,0.0
565,PAYMENT,5743.15,C1306264675,0.0,0.0,M1145619439,0.0,0.0
565,PAYMENT,6190.24,C1507649165,0.0,0.0,M340662653,0.0,0.0
565,CASH_OUT,319110.96,C958195851,22509.0,0.0,C1759445625,462526.24,781637.19
