step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
670,CASH_OUT,326347.85,C1167511036,17752.0,0.0,C1136989052,161744.36,488092.2
670,PAYMENT,8913.7,C1017504815,98124.0,89210.3,M1815503947,0.0,0.0
670,TRANSFER,132901.48,C1349547558,1448.0,0.0,C1840794654,43635.33,176536.81
670,CASH_OUT,29469.5,C595245305,133261.0,103791.5,C1779536200,449415.44,478884.94
670,PAYMENT,14637.87,C820880421,23735.0,9097.13,M1864796751,0.0,0.0
670,CASH_OUT,2344.2,C1018433739,12966.0,10621.8,C815588132,213030.39,215374.58
670,PAYMENT,8549.9,C1258277588,11596.0,3046.1,M393118498,0.0,0.0
670,DEBIT,1358.34,C1287718770,256349.0,254990.66,C66766373,1615289.62,1616647.95
670,CASH_OUT,236122.66,C1357866089,254990.66,18868.0,C2066058750,890402.59,1126525.25
670,PAYMENT,2161.57,C1693629898,19090.0,16928.43,M132535781,0.0,0.0
670,PAYMENT,4399.58,C1138243836,11314.0,6914.42,M1757397186,0.0,0.0
670,CASH_OUT,412379.09,C424819954,6914.42,0.0,C785035078,859941.14,1272320.23
670,PAYMENT,3.65,C741219136,59974.0,59970.35,M775145953,0.0,0.0
670,PAYMENT,2142.36,C941405493,5931.0,3788.64,M815901544,0.0,0.0
670,TRANSFER,234789.63,C1820934695,11357.0,0.0,C1406038217,4118.43,238908.06
670,PAYMENT,6639.8,C1556472470,873606.0,866966.2,M28135718,0.0,0.0
670,PAYMENT,7486.43,C1013596304,10006.0,2519.57,M441754944,0.0,0.0
670,PAYMENT,7081.74,C1769354702,223.0,0.0,M37322151,0.0,0.0
670,PAYMENT,16491.8,C1815729072,324062.0,307570.2,M1400374738,0.0,0.0
670,CASH_IN,65387.85,C192451126,53076.0,118463.85,C1027815685,1.203059851E7,1.196521066E7
670,PAYMENT,2558.63,C1113920187,118463.85,115905.22,M1617161492,0.0,0.0
670,PAYMENT,8297.0,C1940271711,182.0,0.0,M1006696255,0.0,0.0
670,PAYMENT,3897.2,C1452985038,0.0,0.0,M695109188,0.0,0.0
670,TRANSFER,61438.78,C1796763132,154789.0,93350.22,C896921890,0.0,61438.78
670,PAYMENT,399.61,C1352320687,21849.0,21449.39,M1356245704,0.0,0.0
670,PAYMENT,5959.46,C223828528,54.0,0.0,M621326827,0.0,0.0
670,PAYMENT,9179.93,C597800027,5664.0,0.0,M1187301901,0.0,0.0
670,CASH_IN,46745.93,C1903533631,6432.0,53177.93,C813090330,409268.91,362522.98
670,PAYMENT,595.18,C286457363,7096.0,6500.82,M1069515526,0.0,0.0
670,PAYMENT,9851.59,C1598796382,1047.0,0.0,M34757614,0.0,0.0
670,PAYMENT,1722.76,C83283929,131.0,0.0,M1200802802,0.0,0.0
670,PAYMENT,10566.24,C1162434588,0.0,0.0,M1435809392,0.0,0.0
670,PAYMENT,24697.16,C1731080988,0.0,0.0,M909289808,0.0,0.0
670,DEBIT,1517.69,C968134194,65874.0,64356.31,C806332008,1570623.14,1572140.84
670,PAYMENT,5923.85,C1231259714,99140.0,93216.15,M1606673569,0.0,0.0
670,CASH_IN,142667.29,C2090384928,93216.15,235883.44,C1635323877,164195.6,21528.31
670,CASH_IN,261353.11,C1631611551,235883.44,497236.54,C1745862963,1576951.07,1315597.96
670,CASH_IN,405244.03,C875880301,497236.54,902480.57,C1011476276,1131913.22,726669.2
670,CASH_IN,195101.26,C1955779494,902480.57,1097581.83,C691328903,725750.02,530648.76
670,CASH_IN,129019.88,C1296173738,1097581.83,1226601.71,C19505178,553714.09,424694.21
670,CASH_IN,111928.86,C791975183,1226601.71,1338530.57,C737025658,169427.44,57498.58
670,CASH_IN,19142.74,C1030354995,1338530.57,1357673.31,C1787865449,614169.83,595027.09
670,CASH_IN,257038.59,C1602491355,1357673.31,1614711.9,C356824415,376851.06,119812.47
670,CASH_IN,118675.98,C38684123,1614711.9,1733387.88,C832714563,1164418.63,1045742.65
670,CASH_IN,46708.56,C165229680,1733387.88,1780096.44,C1427543591,75769.11,29060.55
670,CASH_IN,117472.76,C2063858968,1780096.44,1897569.19,C1869624991,1325986.41,1208513.66
670,CASH_IN,73832.6,C82191208,1897569.19,1971401.79,C1290895292,3508490.31,3434657.7
670,CASH_IN,191101.84,C1962331826,1971401.79,2162503.63,C445824408,1366652.87,1175551.03
670,CASH_IN,93505.97,C877403880,2162503.63,2256009.6,C1400453122,1233540.91,1140034.95
670,CASH_IN,101258.08,C1355009604,2256009.6,2357267.68,C946072488,4014990.41,3913732.33
670,CASH_IN,75310.84,C1703631447,2357267.68,2432578.53,C1594764409,295450.21,220139.37
670,CASH_IN,5674.92,C659200778,2432578.53,2438253.45,C1713293069,375920.82,370245.9
670,CASH_IN,171509.04,C1940220501,2438253.45,2609762.49,C551295003,2540562.04,2369053.0
670,CASH_IN,232754.76,C1029319563,2609762.49,2842517.25,C575180795,338383.25,105628.5
670,CASH_IN,79471.51,C45909909,2842517.25,2921988.76,C939299536,1084443.22,1004971.71
670,CASH_IN,123748.8,C1910365699,2921988.76,3045737.56,C158298894,215132.16,91383.37
670,CASH_IN,164498.05,C703788463,3045737.56,3210235.6,C1720026335,308726.75,144228.71
670,CASH_IN,22362.09,C1167623529,3210235.6,3232597.7,C1754484304,998331.21,975969.12
