step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
278,CASH_OUT,246337.09,C2101729222,30210.0,0.0,C326138432,133610.15,379947.23
278,CASH_OUT,11251.13,C277358765,42604.0,31352.87,C625618164,364511.08,375762.21
278,CASH_IN,104312.53,C668412260,100818.0,205130.53,C2072028687,0.0,0.0
278,PAYMENT,9590.01,C1097935911,30110.0,20519.99,M316225576,0.0,0.0
278,CASH_OUT,109294.82,C1128642462,3048.0,0.0,C653390905,0.0,109294.82
278,TRANSFER,77862.01,C1573333659,0.0,0.0,C486226375,3624409.82,3702271.83
278,TRANSFER,79240.25,C354362640,0.0,0.0,C123804540,558713.45,637953.7
278,TRANSFER,547461.71,C1323063267,0.0,0.0,C96817606,1371239.82,1918701.53
278,TRANSFER,69697.42,C541843681,0.0,0.0,C1402607695,236092.39,328645.47
278,TRANSFER,235209.24,C1153205633,0.0,0.0,C1752170374,8290436.94,8525646.17
278,CASH_IN,4168.58,C686235555,31402.0,35570.58,C1030811404,53367.51,49198.93
278,PAYMENT,5772.28,C69744147,15114.0,9341.72,M2065400479,0.0,0.0
278,CASH_OUT,100291.41,C1529577712,9341.72,0.0,C131344301,2779909.04,2880200.46
278,CASH_OUT,5175.67,C1260492337,31423.0,26247.33,C1271702941,0.0,5175.67
278,CASH_OUT,155785.4,C243050984,51.0,0.0,C574236667,4757023.96,4912809.35
278,PAYMENT,1690.6,C693423554,0.0,0.0,M780137496,0.0,0.0
278,PAYMENT,7656.05,C1772646392,0.0,0.0,M49326284,0.0,0.0
278,CASH_IN,219005.28,C231038861,14834.0,233839.28,C131989541,242485.29,23480.01
278,CASH_OUT,189813.12,C1548461337,233839.28,44026.16,C1427931895,1344479.74,1534292.86
278,PAYMENT,12780.52,C1983301319,24877.0,12096.48,M1904719365,0.0,0.0
278,CASH_IN,158607.31,C1444525711,29955.0,188562.31,C1227549638,2673180.48,2514573.18
278,CASH_OUT,347972.24,C1476108856,188562.31,0.0,C379867425,782280.83,1130253.07
278,CASH_OUT,62169.88,C389764862,11980.0,0.0,C1036614205,528741.84,590911.73
278,CASH_OUT,6247.58,C1530981762,302143.0,295895.42,C338404749,69338.01,75585.59
278,PAYMENT,1665.03,C1089901995,295895.42,294230.4,M1251345903,0.0,0.0
278,PAYMENT,1989.2,C123152101,11479.0,9489.8,M1537734512,0.0,0.0
278,CASH_OUT,25538.21,C797473378,210542.0,185003.79,C288291191,319464.33,345002.54
278,PAYMENT,5930.42,C1439410945,185003.79,179073.36,M1796591443,0.0,0.0
278,PAYMENT,8932.16,C267237686,70468.0,61535.84,M1666877891,0.0,0.0
278,PAYMENT,2851.18,C1807852810,61535.84,58684.66,M787185782,0.0,0.0
