step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
705,CASH_IN,21262.07,C1415228495,630.0,21892.07,C2066314246,177215.25,155953.18
705,CASH_OUT,43261.26,C1369593362,82146.0,38884.74,C452438968,4450423.73,4493684.99
705,CASH_OUT,56658.76,C1914923968,8637.0,0.0,C779484929,0.0,56658.76
705,PAYMENT,4823.3,C115977292,10127.0,5303.7,M122699786,0.0,0.0
705,PAYMENT,5473.15,C1149338676,5303.7,0.0,M756390415,0.0,0.0
705,CASH_OUT,294414.11,C1725286445,6024.0,0.0,C1957902809,0.0,294414.11
705,PAYMENT,1415.58,C1669371117,41317.0,39901.42,M728239245,0.0,0.0
705,TRANSFER,315116.53,C715931149,262614.0,0.0,C884847493,1015787.97,1330904.5
705,PAYMENT,4245.29,C1651515349,0.0,0.0,M95475850,0.0,0.0
705,PAYMENT,4819.38,C1851240661,2650.0,0.0,M633382724,0.0,0.0
705,CASH_IN,55150.48,C1194105502,1851.0,57001.48,C682583436,1188845.02,1133694.54
705,CASH_OUT,110309.16,C1155231353,151035.0,40725.84,C414600554,1735464.69,1845773.85
705,CASH_IN,45254.59,C391757615,20982.0,66236.59,C107009047,0.0,0.0
705,PAYMENT,723.68,C931385351,10107.0,9383.32,M341332995,0.0,0.0
705,PAYMENT,9838.45,C200230999,11976.0,2137.55,M1360346818,0.0,0.0
705,CASH_IN,217607.81,C2025836303,11237.0,228844.81,C439088350,345371.59,127763.77
705,PAYMENT,7722.51,C772895831,21093.0,13370.49,M1598893106,0.0,0.0
705,PAYMENT,5673.65,C668400183,13370.49,7696.83,M563584629,0.0,0.0
705,CASH_IN,70446.68,C75621852,49983.0,120429.68,C1238087722,385739.25,315292.57
705,CASH_OUT,257966.34,C840656322,11246.0,0.0,C809660040,0.0,257966.34
705,TRANSFER,65140.71,C571221748,0.0,0.0,C1060825047,104131.88,169272.6
705,CASH_IN,133642.33,C1073049846,11307.0,144949.33,C425145870,191630.76,57988.43
705,PAYMENT,14901.69,C886164945,51895.0,36993.31,M1561168892,0.0,0.0
705,TRANSFER,490803.66,C510995759,11115.0,0.0,C1805281646,2628951.9,3119755.56
705,TRANSFER,1128557.28,C169053399,10155.0,0.0,C1051815514,118416.83,1246974.11
705,PAYMENT,17564.59,C806774529,51569.0,34004.41,M32856212,0.0,0.0
705,CASH_OUT,93922.81,C920519120,21346.0,0.0,C33203004,0.0,93922.81
705,CASH_OUT,83698.14,C549279464,0.0,0.0,C739042260,992989.88,1076688.03
705,CASH_IN,54739.06,C588252049,101776.0,156515.06,C220342644,0.0,0.0
705,PAYMENT,22939.4,C134925983,8456.0,0.0,M1318887119,0.0,0.0
705,PAYMENT,5340.69,C81562594,0.0,0.0,M661851235,0.0,0.0
705,CASH_OUT,57251.49,C2035503140,421473.0,364221.51,C333128853,8539.44,65790.93
705,PAYMENT,10096.91,C1402192679,49462.0,39365.09,M871420204,0.0,0.0
705,CASH_OUT,232725.37,C215991077,10219.0,0.0,C1968455221,935720.77,1168446.15
705,PAYMENT,13090.0,C1869508842,0.0,0.0,M573119707,0.0,0.0
705,CASH_OUT,120389.07,C392548355,540879.0,420489.93,C2110166058,3024843.19,3145232.26
705,PAYMENT,11245.1,C1708261153,822.0,0.0,M2040805969,0.0,0.0
705,DEBIT,9745.31,C318844538,60415.0,50669.69,C1837471247,5569807.11,5579552.42
705,TRANSFER,737547.9,C719131089,391266.0,0.0,C1624455220,5728130.06,6465677.96
705,PAYMENT,5847.46,C1075829596,0.0,0.0,M414259132,0.0,0.0
705,PAYMENT,15107.6,C39421998,0.0,0.0,M1078477357,0.0,0.0
705,CASH_OUT,561048.54,C2117317699,22466.0,0.0,C1953138447,916885.32,1477933.86
705,CASH_IN,200866.76,C1848594638,50440.0,251306.76,C1134800972,2227640.39,2026773.64
705,PAYMENT,5708.06,C553233885,251306.76,245598.69,M581098181,0.0,0.0
705,PAYMENT,19045.94,C1095820158,245598.69,226552.75,M1433232058,0.0,0.0
705,CASH_OUT,84135.83,C941075087,28753.0,0.0,C1738583088,0.0,84135.83
705,PAYMENT,3707.78,C207039418,60536.0,56828.22,M1255830109,0.0,0.0
705,TRANSFER,105269.81,C1948033294,105269.81,0.0,C19292778,0.0,0.0
705,CASH_OUT,105269.81,C1910128336,105269.81,0.0,C1345723287,1131176.09,1236445.9
705,CASH_IN,390197.41,C1147523498,20438.0,410635.41,C1230534857,0.0,0.0
705,PAYMENT,15190.38,C1563692001,33047.0,17856.62,M1286718872,0.0,0.0
705,CASH_OUT,12930.88,C1824345696,129.0,0.0,C2037869542,0.0,12930.88
705,CASH_IN,285781.27,C104807132,59766.0,345547.27,C697900858,0.0,0.0
705,PAYMENT,10744.18,C2074690297,345547.27,334803.08,M964089105,0.0,0.0
705,CASH_IN,165617.58,C1069437457,107390.0,273007.58,C1051801986,0.0,0.0
705,PAYMENT,2577.99,C1076389600,49808.0,47230.01,M1906793110,0.0,0.0
705,CASH_OUT,388055.22,C2130106350,47230.01,0.0,C1940064519,744883.06,1132938.28
705,CASH_IN,63403.63,C857029883,241692.0,305095.63,C1226745025,0.0,0.0
705,CASH_OUT,113019.4,C805913375,305095.63,192076.23,C1677266333,171912.79,284932.19
705,CASH_OUT,302381.07,C2066865250,192076.23,0.0,C1046720284,1321444.15,1623825.22
705,PAYMENT,1834.02,C858799437,22096.0,20261.98,M693644596,0.0,0.0
705,PAYMENT,905.74,C1395888827,20261.98,19356.24,M638883443,0.0,0.0
705,PAYMENT,23851.96,C343678377,19566.0,0.0,M2082845599,0.0,0.0
705,TRANSFER,302156.58,C869023978,0.0,0.0,C1760264878,7915034.16,8217190.74
705,CASH_OUT,100033.08,C837418990,40829.0,0.0,C1810354823,440812.0,540845.07
705,TRANSFER,330338.8,C1158429999,41262.0,0.0,C120650839,0.0,330338.8
705,CASH_OUT,28445.71,C342148954,125607.0,97161.29,C1507379966,433392.49,461838.2
705,PAYMENT,12045.5,C1165889068,31674.0,19628.5,M991338466,0.0,0.0
705,CASH_OUT,36126.0,C534198506,817.0,0.0,C90193269,420517.85,456643.84
705,PAYMENT,20702.5,C758870621,0.0,0.0,M411109048,0.0,0.0
705,TRANSFER,3259143.46,C401040325,150951.0,0.0,C1013369800,2.869795243E7,3.195709589E7
705,CASH_IN,296035.81,C827394491,28419.0,324454.81,C177391062,867082.49,571046.68
705,CASH_OUT,286935.97,C1200503894,142944.0,0.0,C66071242,5698.43,292634.4
705,CASH_IN,68582.6,C1462388441,15356.0,83938.6,C1170043557,46573.42,0.0
705,CASH_OUT,124615.78,C2071985842,4033.0,0.0,C391995504,55830.35,180446.14
705,PAYMENT,16849.41,C1121594551,5437.0,0.0,M1954595894,0.0,0.0
705,CASH_OUT,230087.29,C1905875185,20130.0,0.0,C1500150151,359251.28,589338.57
705,PAYMENT,4161.88,C1964487198,0.0,0.0,M1715181471,0.0,0.0
705,CASH_OUT,89662.91,C350772762,31327.0,0.0,C338500161,130272.07,219934.98
705,CASH_IN,257831.75,C789430950,159.0,257990.75,C751827152,0.0,0.0
705,PAYMENT,2754.18,C1732379163,128530.0,125775.82,M1577055747,0.0,0.0
705,CASH_OUT,329174.2,C187792168,125775.82,0.0,C72248159,538502.41,867676.61
705,CASH_OUT,4287.98,C1248366618,11411.0,7123.02,C275891988,0.0,4287.98
705,PAYMENT,4209.83,C1036849558,7123.02,2913.19,M530622402,0.0,0.0
705,PAYMENT,11606.87,C533227301,282105.0,270498.13,M288279686,0.0,0.0
705,PAYMENT,9132.76,C1153052308,20342.0,11209.24,M1589518198,0.0,0.0
705,CASH_IN,67229.6,C34843339,20109.0,87338.6,C2135126705,1740332.04,1673102.44
705,CASH_IN,70835.22,C1698569459,21.0,70856.22,C1656980035,3343909.05,3273073.83
705,PAYMENT,24014.72,C1894076494,15385.0,0.0,M1578022027,0.0,0.0
705,PAYMENT,11135.54,C1104418931,0.0,0.0,M1419267390,0.0,0.0
705,PAYMENT,11098.64,C245698755,17315.0,6216.36,M631523184,0.0,0.0
705,PAYMENT,26316.26,C1146278967,258300.0,231983.74,M1387626558,0.0,0.0
705,CASH_OUT,196902.9,C1949348259,25180.0,0.0,C580114757,368845.44,565748.35
705,PAYMENT,1312.51,C1940449170,0.0,0.0,M554268348,0.0,0.0
705,PAYMENT,16056.17,C1606661843,0.0,0.0,M781166881,0.0,0.0
705,CASH_OUT,296303.96,C439312149,99393.0,0.0,C791484267,122276.01,418579.97
705,CASH_OUT,112471.33,C1895392890,31662.0,0.0,C579685002,0.0,112471.33
705,CASH_IN,164498.42,C852370328,128.0,164626.42,C695120148,28866.37,0.0
705,CASH_IN,114540.89,C1641763393,103885.0,218425.89,C631623567,73042.96,0.0
705,CASH_OUT,135459.4,C32276120,10247.0,0.0,C1619904143,4601552.35,4737011.74
705,TRANSFER,212789.89,C974983785,0.0,0.0,C1062383698,3269353.18,3482143.07
705,CASH_OUT,317693.72,C2030842961,7405.0,0.0,C641477049,0.0,317693.72
705,PAYMENT,4020.63,C1123952747,0.0,0.0,M537171474,0.0,0.0
705,CASH_OUT,48437.98,C1926776353,318992.0,270554.02,C409532480,0.0,48437.98
705,CASH_OUT,279677.81,C1785617047,54962.0,0.0,C590273323,1686890.32,1966568.13
705,CASH_IN,73233.33,C1507891905,0.0,73233.33,C518217751,131096.07,57862.74
705,CASH_IN,164839.77,C1565533161,73233.33,238073.1,C1348324550,224439.95,59600.18
705,CASH_IN,244267.17,C1829343020,238073.1,482340.26,C783570978,5738602.92,5494335.76
705,CASH_IN,259285.87,C1974192888,482340.26,741626.13,C358702165,317665.12,58379.25
705,CASH_IN,327564.7,C683700254,741626.13,1069190.83,C1579745447,1199686.8,872122.1
705,CASH_IN,331846.24,C1951613316,1069190.83,1401037.07,C729923599,1512876.28,1181030.04
705,CASH_IN,236171.94,C1434636493,1401037.07,1637209.01,C820731324,681100.34,444928.4
705,CASH_IN,211102.89,C2127903887,1637209.01,1848311.9,C1019222656,719134.71,508031.82
705,CASH_IN,178376.57,C1430189003,1848311.9,2026688.47,C323178505,1030171.06,851794.49
705,CASH_IN,131057.48,C999282569,2026688.47,2157745.95,C1699624885,3042183.33,2911125.85
705,CASH_IN,53400.77,C2018012301,2157745.95,2211146.72,C1825382575,606314.08,552913.31
705,PAYMENT,41101.31,C799934031,100063.0,58961.69,M220989658,0.0,0.0
705,DEBIT,17652.07,C1213900137,305625.0,287972.93,C1282088328,430343.46,447995.52
705,CASH_OUT,450127.08,C1942848747,287972.93,0.0,C1024435307,1.239763565E7,1.284776274E7
705,CASH_OUT,8223.16,C739145891,0.0,0.0,C1466740142,381309.66,389532.82
705,CASH_OUT,16230.45,C1091165984,0.0,0.0,C1411721608,200942.78,217173.23
705,CASH_OUT,30756.9,C1558535045,0.0,0.0,C690524441,442101.67,472858.56
705,CASH_OUT,209679.21,C1133536814,0.0,0.0,C219844954,1668505.26,1878184.47
705,CASH_OUT,102931.77,C478467487,0.0,0.0,C684613527,126896.96,229828.73
705,CASH_OUT,339322.51,C335280624,0.0,0.0,C1915115162,1198157.79,1537480.3
705,CASH_OUT,102156.31,C1706336633,0.0,0.0,C485105833,288199.62,390355.93
705,CASH_OUT,67839.36,C626330359,0.0,0.0,C1933418344,765887.76,833727.12
705,CASH_OUT,203023.29,C524753903,0.0,0.0,C1396705699,7541200.76,7744224.05
705,CASH_IN,24495.58,C1396655502,309927.0,334422.58,C290491531,121817.11,97321.53
705,PAYMENT,23232.17,C331385337,11357.0,0.0,M516893636,0.0,0.0
705,PAYMENT,7745.63,C972080017,0.0,0.0,M281731604,0.0,0.0
705,PAYMENT,29317.27,C131215029,19981.0,0.0,M1621402752,0.0,0.0
705,CASH_IN,339932.76,C1610026830,160458.0,500390.76,C1918013560,239720.46,0.0
705,PAYMENT,10612.02,C409636070,500390.76,489778.73,M249282264,0.0,0.0
705,PAYMENT,12676.11,C1260292903,489778.73,477102.62,M754212981,0.0,0.0
705,PAYMENT,3197.69,C1614136497,477102.62,473904.93,M860592913,0.0,0.0
705,PAYMENT,6244.51,C204696044,473904.93,467660.42,M63657943,0.0,0.0
705,PAYMENT,12288.54,C1293224787,467660.42,455371.88,M585732851,0.0,0.0
705,PAYMENT,9577.35,C889385803,455371.88,445794.52,M1814982611,0.0,0.0
705,PAYMENT,10253.92,C151305878,445794.52,435540.6,M1737804623,0.0,0.0
