step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
405,CASH_IN,65443.38,C907232714,53613.0,119056.38,C1173469530,703890.09,638446.7
405,CASH_OUT,1200.19,C1929231861,119056.38,117856.2,C935811705,19048.64,20248.83
405,PAYMENT,21509.41,C698137680,69962.0,48452.59,M1561097420,0.0,0.0
405,PAYMENT,29418.23,C1897744306,22268.0,0.0,M1846566513,0.0,0.0
405,CASH_IN,60234.54,C572654047,569618.0,629852.54,C976703169,713047.75,652813.21
405,PAYMENT,4352.48,C473344835,100602.0,96249.52,M118316960,0.0,0.0
405,PAYMENT,12427.01,C1803709158,96249.52,83822.51,M1495052976,0.0,0.0
405,TRANSFER,24672.12,C1893299811,28835.0,4162.88,C922579836,4753586.16,4778258.28
405,CASH_OUT,149964.18,C491050887,837745.0,687780.82,C1495196178,0.0,149964.18
405,CASH_IN,34126.97,C1709792147,53244.0,87370.97,C2128584461,155599.01,121472.05
405,PAYMENT,21849.03,C1499262124,158277.0,136427.97,M1653465994,0.0,0.0
405,CASH_OUT,155710.79,C1498343603,6184.0,0.0,C137284291,27137.86,182848.65
405,PAYMENT,16721.71,C1985217994,1446.0,0.0,M1221832224,0.0,0.0
405,PAYMENT,7849.12,C1171227907,0.0,0.0,M1802167929,0.0,0.0
405,PAYMENT,9650.46,C1028048011,94738.0,85087.54,M1748094893,0.0,0.0
405,PAYMENT,8910.29,C1366272053,49951.0,41040.71,M1829426511,0.0,0.0
405,PAYMENT,11717.09,C1717774073,36939.0,25221.91,M4833599,0.0,0.0
405,PAYMENT,10096.23,C743173891,25221.91,15125.68,M399566696,0.0,0.0
405,PAYMENT,11299.74,C1761304453,9096.0,0.0,M653601692,0.0,0.0
405,PAYMENT,3575.42,C1437985718,10454.0,6878.58,M1171172815,0.0,0.0
405,PAYMENT,9356.71,C2004600196,10544.0,1187.29,M2019404092,0.0,0.0
405,TRANSFER,277719.35,C38733274,345664.0,67944.65,C1054941382,242305.35,520024.71
405,PAYMENT,5589.29,C845115529,188.0,0.0,M463590563,0.0,0.0
405,PAYMENT,16916.81,C245402274,103070.0,86153.19,M1958428537,0.0,0.0
405,CASH_OUT,58794.95,C1026151007,24601.0,0.0,C1690295855,130403.99,189198.93
405,PAYMENT,3943.44,C674766229,0.0,0.0,M583497642,0.0,0.0
405,CASH_OUT,81966.56,C254461052,29736.0,0.0,C1728657039,10719.91,92686.48
405,PAYMENT,4511.48,C2095203564,14141.0,9629.52,M350108240,0.0,0.0
405,PAYMENT,41794.04,C230516038,9629.52,0.0,M1416448425,0.0,0.0
