step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
139,CASH_OUT,150548.71,C998910236,43833.0,0.0,C998786183,0.0,150548.71
139,PAYMENT,3251.94,C1723895144,201047.0,197795.06,M653433451,0.0,0.0
139,PAYMENT,5474.66,C318993867,30365.0,24890.34,M2032888958,0.0,0.0
139,PAYMENT,42823.66,C467797502,10482.0,0.0,M703718699,0.0,0.0
139,PAYMENT,2956.74,C567566579,0.0,0.0,M62824491,0.0,0.0
139,PAYMENT,22731.17,C142116951,153304.0,130572.83,M772209870,0.0,0.0
139,CASH_OUT,143755.84,C752341509,42266.0,0.0,C196752333,0.0,143755.84
139,CASH_OUT,131124.1,C1511952460,0.0,0.0,C160992551,958566.13,1089690.23
139,PAYMENT,1949.89,C375951720,5546.0,3596.11,M261226471,0.0,0.0
139,CASH_OUT,128604.75,C491013098,3596.11,0.0,C920647373,201771.58,330376.33
139,CASH_OUT,112408.74,C863386878,0.0,0.0,C2121659522,809941.75,922350.49
139,CASH_OUT,157817.54,C1640433705,0.0,0.0,C1127049440,6455478.04,6613295.58
139,CASH_OUT,230519.18,C1630121265,0.0,0.0,C839218732,8020583.6,8251102.78
139,CASH_OUT,411049.85,C1590557165,0.0,0.0,C471600119,1.003590948E7,1.044695933E7
139,CASH_OUT,363082.12,C1558097670,0.0,0.0,C918885995,455920.6,819002.72
139,CASH_OUT,441048.53,C83981044,0.0,0.0,C328462619,716120.96,1157169.49
139,CASH_OUT,215861.66,C703399744,0.0,0.0,C1722338636,977732.75,1193594.4
139,CASH_OUT,65837.75,C417239297,0.0,0.0,C118695434,2648623.36,2857521.39
139,CASH_OUT,46674.43,C827435907,0.0,0.0,C1647365815,367230.65,413905.08
139,CASH_OUT,389747.18,C1061808527,2192.0,0.0,C507538622,5062478.6,5452225.78
139,TRANSFER,8633.7,C2128555553,50261.0,41627.3,C1261427404,0.0,8633.7
139,PAYMENT,30478.78,C308674146,27406.0,0.0,M785662494,0.0,0.0
139,TRANSFER,406889.94,C1579271130,0.0,0.0,C1705736465,5253646.3,5757757.5
139,CASH_OUT,330414.82,C1502101529,346706.0,16291.18,C208187790,0.0,330414.82
139,PAYMENT,3182.53,C1680028580,16291.18,13108.65,M1760250252,0.0,0.0
139,PAYMENT,1095.97,C948201560,101796.0,100700.03,M588738521,0.0,0.0
139,CASH_OUT,141198.35,C1591002636,30367.0,0.0,C248862493,2242453.39,2383651.74
139,PAYMENT,16418.75,C1816216435,0.0,0.0,M2006720523,0.0,0.0
139,CASH_OUT,230363.6,C1869471878,20425.0,0.0,C1118079890,45956.82,276320.42
139,PAYMENT,10266.38,C393330625,21284.0,11017.62,M1900887175,0.0,0.0
139,PAYMENT,21423.61,C1732761309,11017.62,0.0,M1739486051,0.0,0.0
139,PAYMENT,4667.46,C2109425632,0.0,0.0,M1695217108,0.0,0.0
139,PAYMENT,3349.41,C1008871062,0.0,0.0,M671317786,0.0,0.0
139,PAYMENT,388.33,C262191549,0.0,0.0,M1035356616,0.0,0.0
139,CASH_OUT,120326.46,C277732990,185.0,0.0,C1000322805,96274.62,216601.08
139,PAYMENT,9694.42,C591763674,158.0,0.0,M690139230,0.0,0.0
139,CASH_OUT,79001.76,C651515067,50693.0,0.0,C1253793047,2003691.66,2082693.42
139,CASH_IN,165475.2,C1481969713,139886.0,305361.2,C1069392964,3732946.92,3567471.72
139,CASH_OUT,31621.69,C1465503913,21371.0,0.0,C663427045,1427986.74,1459608.43
139,CASH_OUT,136195.44,C1799694940,61618.0,0.0,C1582091140,1289710.3,1477353.12
139,PAYMENT,11596.18,C1731844867,0.0,0.0,M387816269,0.0,0.0
139,PAYMENT,9358.4,C249089439,0.0,0.0,M1284309458,0.0,0.0
139,CASH_OUT,160781.27,C1707424387,31831.0,0.0,C1961113411,276037.55,436818.82
139,CASH_OUT,52247.12,C511246981,105995.0,53747.88,C1899369186,1051699.53,1103946.65
139,CASH_OUT,147113.3,C1451589856,2625.0,0.0,C974825713,3101043.26,3248156.56
139,CASH_IN,121792.71,C1923258483,9926.0,131718.71,C1228249065,24946.87,0.0
139,CASH_OUT,82525.3,C1056945542,20787.0,0.0,C1348246868,2072137.11,2154662.4
139,CASH_OUT,156427.6,C1749345782,1098.0,0.0,C1376962808,92813.0,249240.6
139,CASH_OUT,133686.56,C314370718,12323.25,0.0,C1435804085,7207412.65,7341099.21
139,PAYMENT,12394.63,C1950058938,0.0,0.0,M925581630,0.0,0.0
139,CASH_IN,213150.24,C2014275960,41470.0,254620.24,C1388406907,0.0,0.0
139,CASH_OUT,249726.71,C219317501,8043.0,0.0,C1748648937,39631.31,289358.02
139,CASH_OUT,44253.1,C625781436,59647.0,15393.9,C761069599,8183896.52,8130819.22
139,PAYMENT,37785.95,C1216560538,106144.3,68358.36,M1262799195,0.0,0.0
139,PAYMENT,12500.36,C1390975394,68358.36,55857.99,M313643017,0.0,0.0
139,CASH_IN,11574.28,C1125072936,981.0,12555.28,C1782685082,2896803.0,3003182.38
139,CASH_OUT,174310.91,C778852099,69610.0,0.0,C536829516,59313.71,233624.63
139,CASH_OUT,164615.77,C954203877,54625.0,0.0,C24519786,0.0,164615.77
139,CASH_OUT,356909.87,C619855983,0.0,0.0,C1726292371,1847142.79,2204052.66
139,PAYMENT,15842.64,C499473113,14010.0,0.0,M1365103149,0.0,0.0
139,PAYMENT,32940.39,C372389429,105933.0,72992.61,M552988068,0.0,0.0
139,PAYMENT,14975.07,C391215345,72992.61,58017.54,M681708684,0.0,0.0
139,CASH_IN,269338.61,C791024691,338454.0,607792.61,C1336598838,2419301.79,2149963.18
139,PAYMENT,2209.69,C548488382,607792.61,605582.92,M1018898089,0.0,0.0
139,PAYMENT,7071.33,C71670750,605582.92,598511.58,M467501289,0.0,0.0
139,PAYMENT,2155.2,C837006232,598511.58,596356.38,M1409832291,0.0,0.0
139,PAYMENT,7007.43,C2084286295,596356.38,589348.95,M194421489,0.0,0.0
139,PAYMENT,21582.32,C667271016,589348.95,567766.63,M829441470,0.0,0.0
139,PAYMENT,7443.85,C269485520,567766.63,560322.78,M783268873,0.0,0.0
139,PAYMENT,8519.92,C605775947,560322.78,551802.86,M393577667,0.0,0.0
139,PAYMENT,27464.92,C123420024,551802.86,524337.94,M1422362222,0.0,0.0
139,PAYMENT,108.73,C727840141,524337.94,524229.21,M277430206,0.0,0.0
139,PAYMENT,15495.01,C1323786282,524229.21,508734.2,M654011246,0.0,0.0
139,PAYMENT,12413.42,C34746273,508734.2,496320.79,M1539277970,0.0,0.0
139,PAYMENT,14236.03,C774658559,496320.79,482084.76,M1408362319,0.0,0.0
139,PAYMENT,7467.16,C1083024823,482084.76,474617.6,M1739661856,0.0,0.0
139,CASH_OUT,163104.62,C723418248,108501.0,0.0,C1708694695,16171.52,179276.13
139,CASH_OUT,19802.97,C1997094203,30325.0,10522.03,C2023258107,464089.67,483892.64
139,TRANSFER,764062.89,C1518636656,293.0,0.0,C459721690,0.0,764062.89
