step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
555,PAYMENT,2856.8,C1567983827,79445.0,76588.2,M825777056,0.0,0.0
555,PAYMENT,5543.79,C721150239,14270.0,8726.21,M1109840445,0.0,0.0
555,PAYMENT,3153.54,C862251450,158846.0,155692.46,M1081229613,0.0,0.0
555,CASH_OUT,278821.28,C896836389,155692.46,0.0,C1418316681,1204099.65,1482920.93
555,PAYMENT,2213.96,C1094137996,19832.0,17618.04,M1435115561,0.0,0.0
555,PAYMENT,8980.92,C119761052,17618.04,8637.12,M392072918,0.0,0.0
555,PAYMENT,1771.49,C1867851753,8637.12,6865.63,M1801115970,0.0,0.0
555,PAYMENT,3828.08,C1998666557,84676.0,80847.92,M350888753,0.0,0.0
555,PAYMENT,885.2,C1388721194,80847.92,79962.72,M1877702649,0.0,0.0
555,PAYMENT,1251.16,C292377066,140.0,0.0,M1415252829,0.0,0.0
555,CASH_OUT,78558.97,C937366168,0.0,0.0,C579521632,2165287.51,2243846.48
555,PAYMENT,3751.61,C62914341,20292.0,16540.39,M2015763641,0.0,0.0
555,CASH_OUT,137650.63,C1949036803,16540.39,0.0,C1774148386,316395.96,454046.59
555,DEBIT,980.49,C1001350860,42734.0,41753.51,C1789635012,4322777.05,4323757.54
555,PAYMENT,8836.87,C1192616011,41753.51,32916.65,M262078404,0.0,0.0
555,PAYMENT,6765.18,C605467869,32916.65,26151.47,M1682911125,0.0,0.0
555,PAYMENT,1642.93,C212901103,5525.0,3882.07,M1948787298,0.0,0.0
555,TRANSFER,1235544.92,C1695141990,1235544.92,0.0,C1558094676,0.0,0.0
555,CASH_OUT,1235544.92,C2024237269,1235544.92,0.0,C239895183,1981608.99,3217153.91
555,TRANSFER,24352.57,C1886962890,640.0,0.0,C569807647,4207994.58,4232347.15
555,PAYMENT,3327.16,C1173799829,39736.0,36408.84,M1851240877,0.0,0.0
555,PAYMENT,10086.9,C762678642,36408.84,26321.93,M463291010,0.0,0.0
555,PAYMENT,586.61,C1745145871,223.0,0.0,M999149179,0.0,0.0
555,PAYMENT,1356.34,C974314085,20725.0,19368.66,M1273628407,0.0,0.0
555,PAYMENT,1288.83,C94380845,206677.0,205388.17,M1351343092,0.0,0.0
555,TRANSFER,2375178.33,C2095506034,205388.17,0.0,C809526173,4284617.63,6659795.97
555,TRANSFER,94899.89,C1730191015,0.0,0.0,C1899054211,1966106.96,2061006.86
555,TRANSFER,313199.44,C1662873637,0.0,0.0,C2128492285,751713.03,1064912.46
