step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
284,CASH_OUT,127727.75,C2066312405,11012.0,0.0,C980220290,166046.83,293774.58
284,PAYMENT,4572.62,C1483849145,0.0,0.0,M381081048,0.0,0.0
284,PAYMENT,24314.72,C217036323,117634.0,93319.28,M1016081583,0.0,0.0
284,CASH_OUT,26755.8,C1767494385,11680.0,0.0,C171060737,86114.74,112870.53
284,CASH_OUT,261238.89,C1231143447,35639.0,0.0,C1066777761,261096.05,522334.94
284,TRANSFER,166293.1,C953035702,244624.0,78330.9,C568327537,1808787.65,1975080.75
284,CASH_OUT,82434.54,C84315476,1546.0,0.0,C797367060,410512.03,492946.57
284,PAYMENT,13014.52,C586094943,20212.0,7197.48,M1700337263,0.0,0.0
284,PAYMENT,2065.37,C746783465,883222.0,881156.63,M501110272,0.0,0.0
284,CASH_IN,122663.45,C1201766661,11289.0,133952.45,C667140364,0.0,0.0
284,PAYMENT,4915.06,C1785077232,20427.0,15511.94,M1581702687,0.0,0.0
284,CASH_OUT,29060.87,C826797441,137.0,0.0,C1391434475,1198757.97,1227818.84
284,PAYMENT,4055.83,C2049305349,0.0,0.0,M544661548,0.0,0.0
284,PAYMENT,3668.49,C1218999323,0.0,0.0,M1183691626,0.0,0.0
284,PAYMENT,28577.68,C321193341,0.0,0.0,M80076981,0.0,0.0
284,PAYMENT,5929.84,C264651930,0.0,0.0,M620474603,0.0,0.0
284,PAYMENT,13628.19,C525228004,0.0,0.0,M883281136,0.0,0.0
284,PAYMENT,55560.33,C159034474,0.0,0.0,M1895770438,0.0,0.0
284,PAYMENT,49313.24,C501457354,0.0,0.0,M129711306,0.0,0.0
284,PAYMENT,16676.05,C1543428523,0.0,0.0,M1388478091,0.0,0.0
284,PAYMENT,21224.07,C1387231464,0.0,0.0,M204227355,0.0,0.0
284,PAYMENT,60515.37,C565371060,0.0,0.0,M1615197231,0.0,0.0
284,PAYMENT,4286.37,C1225046263,0.0,0.0,M668864087,0.0,0.0
284,PAYMENT,2388.42,C299892056,406.0,0.0,M1593083840,0.0,0.0
284,CASH_OUT,73050.56,C853233641,160919.0,87868.44,C293594839,419263.19,492313.75
284,PAYMENT,1471.49,C1705001811,87868.44,86396.95,M201017218,0.0,0.0
284,PAYMENT,13635.82,C1909132218,29932.0,16296.18,M419935853,0.0,0.0
284,CASH_OUT,192473.01,C2128266437,20238.0,0.0,C656607576,4713194.26,4905667.26
284,PAYMENT,2968.22,C801917899,0.0,0.0,M116589395,0.0,0.0
284,PAYMENT,5594.5,C585333054,42012.0,36417.5,M171404619,0.0,0.0
284,PAYMENT,89.51,C1206447573,5923.0,5833.49,M1495242720,0.0,0.0
284,PAYMENT,16215.4,C1611415412,30594.0,14378.6,M1373657867,0.0,0.0
284,CASH_OUT,68467.41,C1365672615,14378.6,0.0,C209184224,1060081.88,1128549.29
284,CASH_OUT,110956.06,C1952690172,0.0,0.0,C1507894094,384962.91,495918.97
284,CASH_OUT,348479.0,C1972750747,0.0,0.0,C537037958,2440417.38,2788896.38
284,CASH_OUT,563086.23,C645856289,0.0,0.0,C351501147,6944612.61,7507698.84
284,CASH_OUT,39187.76,C1139286515,0.0,0.0,C1111673593,757406.76,796594.52
284,CASH_OUT,507151.12,C714963517,0.0,0.0,C490966498,869427.75,1376578.86
284,CASH_OUT,351346.98,C1906292708,0.0,0.0,C832281809,3070634.18,3421981.16
284,CASH_OUT,53202.53,C542228994,0.0,0.0,C2097997720,83452.92,136655.45
284,CASH_OUT,234027.7,C582256706,0.0,0.0,C534386607,3783160.94,4017188.64
284,CASH_OUT,383911.19,C1664697019,0.0,0.0,C1983395211,3431105.69,3815016.89
284,CASH_OUT,34347.26,C1863711151,0.0,0.0,C2021496760,257419.52,291766.78
284,CASH_OUT,368931.25,C1098540957,0.0,0.0,C888611088,3527355.95,3896287.2
284,CASH_OUT,352070.87,C1200226664,0.0,0.0,C13980288,801754.6,1153825.47
284,CASH_OUT,133749.84,C1846525880,0.0,0.0,C1530952958,1372893.96,1506643.8
284,CASH_OUT,141878.41,C773323607,0.0,0.0,C1531783420,301896.92,443775.33
284,CASH_OUT,181232.76,C1019426695,0.0,0.0,C92544740,558382.99,739615.74
284,CASH_OUT,138629.55,C727048246,0.0,0.0,C598406316,930771.92,1069401.47
284,CASH_OUT,260279.83,C942962843,0.0,0.0,C321549128,1345602.59,1605882.42
284,CASH_OUT,193912.41,C694743433,20812.0,0.0,C2125296509,590230.37,784142.79
284,PAYMENT,4810.96,C213029932,0.0,0.0,M149066204,0.0,0.0
284,PAYMENT,18169.21,C327794939,0.0,0.0,M2105774010,0.0,0.0
284,CASH_OUT,108583.01,C1695049682,59601.0,0.0,C1420317095,2422603.91,2531186.92
284,TRANSFER,353053.63,C2037933790,0.0,0.0,C826652649,2346461.4,2699515.03
284,CASH_OUT,24114.12,C606859026,861.0,0.0,C2051316709,100390.47,124504.59
284,CASH_OUT,48492.5,C1169443442,50056.0,1563.5,C367842868,274137.02,322629.51
284,PAYMENT,27407.89,C1663337441,21330.0,0.0,M1498433485,0.0,0.0
284,TRANSFER,293092.96,C578318474,33350.0,0.0,C1568323943,2963215.33,3256308.28
284,CASH_OUT,115148.0,C1165515117,156249.0,41101.0,C1967516197,719802.43,834950.42
284,CASH_OUT,46415.11,C42262952,41101.0,0.0,C1979208056,224174.61,270589.72
284,PAYMENT,16265.7,C1504817178,21168.0,4902.3,M942438278,0.0,0.0
284,CASH_IN,131753.16,C1058595551,40817.0,172570.16,C1167681604,14703.61,0.0
