step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
470,TRANSFER,913684.05,C182934676,913684.05,0.0,C1568271281,0.0,0.0
470,CASH_OUT,913684.05,C1959891582,913684.05,0.0,C1804810309,410443.03,1324127.08
470,TRANSFER,8177.04,C1053675722,8177.04,0.0,C503599136,0.0,0.0
470,CASH_OUT,8177.04,C1664997307,8177.04,0.0,C1806348809,842143.06,850320.1
470,TRANSFER,2198220.97,C1393439924,2198220.97,0.0,C851338379,0.0,0.0
470,CASH_OUT,2198220.97,C733220553,2198220.97,0.0,C362029597,3319056.61,5517277.58
470,TRANSFER,2859010.61,C2075115765,2859010.61,0.0,C2025150574,0.0,0.0
470,CASH_OUT,2859010.61,C1981956148,2859010.61,0.0,C289828816,0.0,2859010.61
470,TRANSFER,864994.24,C504859386,864994.24,0.0,C1412133328,0.0,0.0
470,CASH_OUT,864994.24,C676427076,864994.24,0.0,C1523524779,266074.0,1028020.38
470,TRANSFER,120843.94,C1360860736,120843.94,0.0,C832749526,0.0,0.0
470,CASH_OUT,120843.94,C2122237253,120843.94,0.0,C1217175630,1710553.99,1831397.93
