step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
502,PAYMENT,6629.25,C1950576887,74911.0,68281.75,M10737732,0.0,0.0
502,CASH_IN,204919.85,C881162450,16836.0,221755.85,C1861089542,3647273.45,3442353.59
502,TRANSFER,158366.75,C2142440179,42713.0,0.0,C1899660905,0.0,158366.75
502,TRANSFER,53447.71,C278399290,61783.0,8335.29,C1033709350,0.0,53447.71
502,PAYMENT,10112.84,C250053269,103617.0,93504.16,M289093747,0.0,0.0
502,PAYMENT,16188.36,C1983401013,21307.0,5118.64,M649681425,0.0,0.0
502,CASH_IN,105315.78,C351836025,29505.0,134820.78,C1518075547,698934.61,593618.83
502,PAYMENT,7360.86,C1556663605,9977.0,2616.14,M1755671421,0.0,0.0
502,PAYMENT,1908.44,C77647274,2616.14,707.7,M1412677912,0.0,0.0
502,PAYMENT,13481.16,C1309151182,2339.0,0.0,M221604849,0.0,0.0
502,CASH_OUT,86888.51,C259668576,1719.0,0.0,C1134210332,0.0,86888.51
502,PAYMENT,4757.74,C1166741910,0.0,0.0,M1265832086,0.0,0.0
502,PAYMENT,15774.31,C1841266922,689332.0,673557.69,M860364295,0.0,0.0
502,PAYMENT,7975.15,C777174617,3153.0,0.0,M2113334437,0.0,0.0
502,PAYMENT,5612.38,C1826589473,34003.0,28390.62,M521406619,0.0,0.0
502,PAYMENT,3791.09,C605015382,8.0,0.0,M1851170486,0.0,0.0
502,PAYMENT,14218.5,C2126546654,30630.0,16411.5,M1101994317,0.0,0.0
502,PAYMENT,14501.57,C462428499,21317.0,6815.43,M1097435065,0.0,0.0
502,PAYMENT,8828.47,C996482876,105.0,0.0,M45681772,0.0,0.0
502,PAYMENT,18688.18,C435734505,89324.0,70635.82,M337760032,0.0,0.0
502,CASH_IN,20138.99,C128888423,41615.0,61753.99,C2091877687,0.0,0.0
502,PAYMENT,7455.71,C1295915154,61753.99,54298.28,M312891731,0.0,0.0
502,PAYMENT,11341.2,C149212392,15629.0,4287.8,M2051769861,0.0,0.0
502,CASH_OUT,237827.56,C1192033110,4287.8,0.0,C1644443356,369211.3,607038.86
502,CASH_IN,148237.11,C1732267557,106343.0,254580.11,C1217719684,0.0,0.0
502,PAYMENT,16590.63,C1240292777,896.0,0.0,M1873842495,0.0,0.0
