step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
439,PAYMENT,212.56,C1357838215,2080.0,1867.44,M1228657563,0.0,0.0
439,PAYMENT,814.11,C1444370024,104510.0,103695.89,M830959586,0.0,0.0
439,DEBIT,3810.55,C385016986,602.0,0.0,C298252701,2451213.22,2455023.77
439,PAYMENT,2685.49,C29514452,21201.0,18515.51,M1829431442,0.0,0.0
439,PAYMENT,3335.67,C1735942830,21142.0,17806.33,M1722785007,0.0,0.0
439,PAYMENT,521.15,C1973972500,633.0,111.85,M1339835979,0.0,0.0
439,PAYMENT,7470.74,C1804935180,111.85,0.0,M1900515701,0.0,0.0
439,PAYMENT,18821.52,C1193904519,0.0,0.0,M1793745207,0.0,0.0
439,PAYMENT,3860.76,C675129638,0.0,0.0,M1706838381,0.0,0.0
439,PAYMENT,931.52,C1850900972,0.0,0.0,M1460188872,0.0,0.0
439,PAYMENT,3605.5,C305742230,0.0,0.0,M365528477,0.0,0.0
439,PAYMENT,18471.48,C1869490985,0.0,0.0,M2101505786,0.0,0.0
439,PAYMENT,19932.43,C623883573,0.0,0.0,M2081630560,0.0,0.0
439,PAYMENT,6493.25,C1647997608,0.0,0.0,M216135083,0.0,0.0
439,PAYMENT,10284.06,C1421836063,0.0,0.0,M822215873,0.0,0.0
439,PAYMENT,22068.67,C1871739,0.0,0.0,M64188030,0.0,0.0
439,PAYMENT,11053.46,C742112924,0.0,0.0,M230593494,0.0,0.0
439,PAYMENT,20992.09,C1765651021,0.0,0.0,M1904574858,0.0,0.0
439,PAYMENT,13035.1,C12263032,0.0,0.0,M2044857754,0.0,0.0
439,PAYMENT,8803.8,C2110351153,0.0,0.0,M538783955,0.0,0.0
439,PAYMENT,12939.19,C2014159478,0.0,0.0,M292224560,0.0,0.0
439,PAYMENT,6452.31,C665646019,0.0,0.0,M1862194253,0.0,0.0
439,PAYMENT,2134.11,C2079708662,0.0,0.0,M1034436550,0.0,0.0
439,PAYMENT,12822.85,C2103112027,0.0,0.0,M1704861185,0.0,0.0
439,PAYMENT,1854.64,C806436129,0.0,0.0,M1287348970,0.0,0.0
439,PAYMENT,8258.05,C1723957775,0.0,0.0,M1941632704,0.0,0.0
439,PAYMENT,11691.16,C1257977251,0.0,0.0,M1564520996,0.0,0.0
439,PAYMENT,116.52,C939229817,42270.0,42153.48,M324234928,0.0,0.0
439,PAYMENT,11983.96,C1447764,42079.0,30095.04,M1478448352,0.0,0.0
439,PAYMENT,1947.89,C865922512,30095.04,28147.15,M993145853,0.0,0.0
439,PAYMENT,1589.22,C187576184,10480.0,8890.78,M699716265,0.0,0.0
439,PAYMENT,1186.76,C2098354210,8487.0,7300.24,M1461006758,0.0,0.0
439,PAYMENT,1550.48,C767197651,20182.0,18631.52,M580136791,0.0,0.0
439,TRANSFER,203119.08,C1294508143,203119.08,0.0,C1542262415,0.0,0.0
439,CASH_OUT,203119.08,C860758125,203119.08,0.0,C998349190,1163234.67,1366353.75
439,PAYMENT,7461.49,C1250134990,20892.0,13430.51,M1232010078,0.0,0.0
439,PAYMENT,4104.71,C1103954372,141.0,0.0,M63053016,0.0,0.0
439,PAYMENT,24524.6,C1430858389,0.0,0.0,M1807978345,0.0,0.0
439,PAYMENT,34035.9,C1118400756,0.0,0.0,M1360953509,0.0,0.0
439,PAYMENT,1379.02,C1302267281,10592.0,9212.98,M986739596,0.0,0.0
439,PAYMENT,6660.46,C871865074,124575.0,117914.54,M382287745,0.0,0.0
439,PAYMENT,24805.33,C600773444,117914.54,93109.21,M448415906,0.0,0.0
439,PAYMENT,1031.46,C362111245,440.0,0.0,M1249861897,0.0,0.0
439,TRANSFER,273848.44,C292625969,304.0,0.0,C782763015,533685.81,807534.25
439,PAYMENT,1554.31,C1497803749,0.0,0.0,M1734685897,0.0,0.0
439,PAYMENT,6649.82,C1445164549,322325.0,315675.18,M1337621094,0.0,0.0
439,PAYMENT,666.7,C600832503,6554.0,5887.3,M1841451579,0.0,0.0
439,PAYMENT,4987.07,C547132120,22168.0,17180.93,M1021945319,0.0,0.0
439,PAYMENT,14501.49,C1614148556,17180.93,2679.44,M521741947,0.0,0.0
439,PAYMENT,637.35,C1532460306,2268.0,1630.65,M710946050,0.0,0.0
