step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
476,PAYMENT,22757.94,C2140863808,132766.0,110008.06,M305878198,0.0,0.0
476,CASH_OUT,47599.73,C178921368,10704.0,0.0,C1664001416,0.0,47599.73
476,CASH_OUT,33623.28,C1760871058,0.0,0.0,C1778520449,5801924.94,5835548.22
476,CASH_OUT,221009.0,C1076646449,0.0,0.0,C1035754046,6377889.54,6598898.53
476,CASH_OUT,254044.32,C142221414,0.0,0.0,C940250916,949615.11,1203659.43
476,CASH_OUT,107014.57,C1391900718,0.0,0.0,C483337713,130021.04,237035.61
476,CASH_OUT,114074.59,C475529392,0.0,0.0,C1688946443,4079882.62,4193957.21
476,CASH_OUT,69466.39,C1053254864,0.0,0.0,C1873099533,1.466786751E7,1.47373339E7
476,CASH_OUT,357285.26,C1743194750,0.0,0.0,C1807450040,3989099.27,4346384.54
476,CASH_OUT,102911.52,C3668324,0.0,0.0,C423632834,2287244.39,2390155.91
476,CASH_OUT,66106.16,C1555444818,0.0,0.0,C1631863174,3385535.98,3451642.14
476,CASH_OUT,165023.19,C1498561264,0.0,0.0,C1496332958,3985018.52,4150041.71
476,CASH_OUT,111431.48,C112820062,0.0,0.0,C424895287,3019722.84,3131154.32
476,CASH_OUT,167617.19,C964319796,0.0,0.0,C610284093,9984087.75,1.015170495E7
476,CASH_OUT,182470.32,C1417932269,0.0,0.0,C698512649,4574135.9,4756606.22
476,CASH_OUT,9682.68,C483313719,0.0,0.0,C369383684,163658.75,173341.42
476,CASH_OUT,539182.38,C1363150719,0.0,0.0,C1486220040,606894.76,1146077.13
476,CASH_OUT,67073.49,C973098137,0.0,0.0,C485853345,129389.75,196463.25
476,CASH_OUT,60912.87,C1898390193,0.0,0.0,C1219501994,3205675.1,3266587.97
476,CASH_OUT,203410.22,C465748946,0.0,0.0,C279263716,1392295.07,1595705.29
476,CASH_OUT,61907.15,C1248351274,0.0,0.0,C1000527360,1560405.14,1622312.29
476,CASH_OUT,41377.6,C1916059002,0.0,0.0,C209753767,328364.79,369742.39
476,CASH_OUT,9966.5,C986589991,0.0,0.0,C1225876337,551303.19,561269.69
476,CASH_OUT,203155.57,C933213183,0.0,0.0,C1684776894,1.35625986E7,1.376575416E7
476,CASH_OUT,120957.56,C1063155746,0.0,0.0,C496378530,194353.23,315310.79
476,CASH_OUT,118248.35,C1750519262,121946.0,3697.65,C418586692,0.0,118248.35
476,TRANSFER,710788.96,C587879648,1397.0,0.0,C1751817601,2057862.95,2768651.91
476,CASH_OUT,50719.33,C1774197557,110232.0,59512.67,C962797064,2235056.03,2285775.37
476,CASH_OUT,46042.82,C630452551,378006.0,331963.18,C20065041,18407.16,64449.97
476,CASH_OUT,71163.25,C2079715350,312652.0,241488.75,C1343558838,0.0,71163.25
476,PAYMENT,8217.06,C170460892,204835.0,196617.94,M1675210015,0.0,0.0
476,CASH_OUT,53720.21,C1501192682,450.0,0.0,C1509894527,22071.12,75791.34
476,CASH_IN,16230.57,C232480659,136394.0,152624.57,C713374626,428408.84,412178.27
476,PAYMENT,4984.8,C1334228754,22519.0,17534.2,M1629047464,0.0,0.0
476,CASH_OUT,179844.81,C1810240080,24950.0,0.0,C1420450821,104152.2,283997.02
476,PAYMENT,8253.97,C1016528760,0.0,0.0,M1179836895,0.0,0.0
476,PAYMENT,14521.04,C1832239031,0.0,0.0,M907691219,0.0,0.0
476,PAYMENT,7730.4,C1039925335,3629.0,0.0,M1827750446,0.0,0.0
476,CASH_IN,67362.96,C746160128,0.0,67362.96,C1093201839,2.716358951E7,2.709622655E7
476,CASH_IN,184652.28,C1210148224,67362.96,252015.25,C1269981909,994570.26,809917.97
476,CASH_IN,59909.74,C352463467,252015.25,311924.99,C1020738359,1132728.89,1072819.15
476,CASH_IN,106318.51,C1929702103,311924.99,418243.5,C698814730,1467286.08,1360967.57
476,CASH_IN,588156.19,C329063735,418243.5,1006399.69,C685820014,1157722.28,569566.09
476,CASH_IN,90673.7,C1356031905,1006399.69,1097073.39,C711900408,622572.29,531898.59
476,CASH_IN,136291.42,C1409703586,1097073.39,1233364.81,C1760616758,1.047046605E7,1.033417463E7
476,CASH_IN,40961.01,C21671,1233364.81,1274325.82,C883570724,247309.25,206348.24
476,CASH_IN,214398.25,C2064614709,1274325.82,1488724.07,C1464289617,616403.51,402005.26
476,CASH_IN,138254.76,C816450458,1488724.07,1626978.83,C1500405798,4595653.31,4457398.56
476,CASH_IN,31141.86,C1447014499,1626978.83,1658120.69,C828714410,148733.28,117591.42
476,CASH_IN,106350.9,C1419277167,1658120.69,1764471.59,C1000904576,418970.98,312620.08
476,CASH_IN,150050.83,C1404662500,1764471.59,1914522.42,C2015530162,3169124.54,3019073.71
476,CASH_IN,62784.75,C858740178,1914522.42,1977307.17,C1026319416,216169.39,153384.64
476,CASH_IN,45061.65,C406341500,1977307.17,2022368.83,C587309510,265681.78,220620.13
476,CASH_IN,6336.61,C262954015,2022368.83,2028705.44,C323505094,1724215.21,1717878.61
476,CASH_IN,347044.32,C387588444,2028705.44,2375749.75,C1676206013,514447.76,167403.44
476,PAYMENT,11712.73,C1590851496,178696.0,166983.27,M76269737,0.0,0.0
476,PAYMENT,916.37,C1772761219,166983.27,166066.9,M805108779,0.0,0.0
476,PAYMENT,26040.56,C1658761547,166066.9,140026.34,M952820537,0.0,0.0
476,PAYMENT,22220.22,C6087307,140026.34,117806.12,M1208568591,0.0,0.0
476,CASH_OUT,48863.25,C1598746540,344.0,0.0,C1167150905,0.0,48863.25
476,PAYMENT,1205.11,C821431383,464450.0,463244.89,M1473898616,0.0,0.0
476,PAYMENT,2197.16,C1426755775,463244.89,461047.73,M1572151869,0.0,0.0
476,CASH_OUT,102126.91,C1562450280,4070.0,0.0,C1268288192,143294.61,245421.52
476,PAYMENT,2516.84,C1168355484,0.0,0.0,M1143820287,0.0,0.0
476,CASH_OUT,102476.63,C821901709,22430.0,0.0,C1666691481,6923324.48,7025801.11
476,CASH_OUT,42070.4,C1707252899,0.0,0.0,C2018995354,312236.25,354306.65
476,CASH_IN,248823.23,C1027467223,217764.0,466587.23,C1432345356,2249432.41,2000609.18
476,PAYMENT,10094.98,C331420984,466587.23,456492.25,M1252620188,0.0,0.0
476,CASH_OUT,64194.09,C1006624238,6496.0,0.0,C1490917476,1183066.41,1247260.51
476,PAYMENT,16507.07,C1773045273,479.0,0.0,M1927100097,0.0,0.0
476,PAYMENT,12723.49,C1942600337,214420.0,201696.51,M907807147,0.0,0.0
476,PAYMENT,10466.57,C731893567,101965.0,91498.43,M812617651,0.0,0.0
476,PAYMENT,10220.89,C239904285,91498.43,81277.54,M1481353006,0.0,0.0
476,PAYMENT,22733.29,C234388783,81277.54,58544.25,M1101429044,0.0,0.0
476,PAYMENT,6442.86,C716260179,58544.25,52101.39,M801563644,0.0,0.0
476,PAYMENT,11893.76,C1629090350,52101.39,40207.63,M319052000,0.0,0.0
476,PAYMENT,2270.54,C856635912,40207.63,37937.09,M734979734,0.0,0.0
476,PAYMENT,31677.51,C90761539,37937.09,6259.58,M874148438,0.0,0.0
476,PAYMENT,8343.42,C2123350439,6259.58,0.0,M573141686,0.0,0.0
476,PAYMENT,3354.26,C1615443265,0.0,0.0,M128377820,0.0,0.0
476,PAYMENT,57836.48,C128223350,0.0,0.0,M1861351158,0.0,0.0
476,PAYMENT,4756.46,C1136637396,0.0,0.0,M1941374588,0.0,0.0
476,PAYMENT,14189.32,C1349764932,0.0,0.0,M827645434,0.0,0.0
476,PAYMENT,5720.59,C268160785,0.0,0.0,M1144302708,0.0,0.0
476,PAYMENT,19832.26,C171117137,0.0,0.0,M497008096,0.0,0.0
476,PAYMENT,4321.92,C1288534533,0.0,0.0,M763050212,0.0,0.0
476,CASH_IN,428893.19,C1065934488,606219.0,1035112.19,C96134712,6459085.93,6030192.74
476,CASH_IN,132518.62,C1595409460,416.0,132934.62,C1079580032,3.502469636E7,3.489217774E7
476,PAYMENT,13238.63,C2023899264,31472.0,18233.37,M216726376,0.0,0.0
476,CASH_OUT,67986.32,C1970247795,18233.37,0.0,C1128116636,1167100.3,1235086.61
476,TRANSFER,888438.08,C1791564622,10623.0,0.0,C76739044,0.0,888438.08
476,TRANSFER,821240.97,C8777943,0.0,0.0,C461157772,4142944.87,4964185.83
476,TRANSFER,391792.34,C1542416916,0.0,0.0,C1123775351,1688651.18,2080443.52
476,CASH_IN,259904.24,C1389026586,42410.0,302314.24,C55405109,4680515.01,4420610.77
476,CASH_OUT,24729.52,C1895542630,2030.0,0.0,C2095681185,0.0,24729.52
476,CASH_OUT,241610.34,C1599597286,99646.0,0.0,C345089268,596337.9,837948.23
476,PAYMENT,8819.57,C2135459026,168526.0,159706.43,M2070848556,0.0,0.0
476,CASH_OUT,165832.41,C1447277752,19990.0,0.0,C702336321,3209624.15,3375456.56
476,CASH_OUT,198838.26,C908293196,10858.0,0.0,C404461074,8446026.08,8644864.34
476,PAYMENT,5193.69,C225843278,0.0,0.0,M53969416,0.0,0.0
476,CASH_OUT,207769.84,C1209663650,5216.0,0.0,C70282627,0.0,207769.84
476,PAYMENT,26001.27,C1698077945,624785.0,598783.73,M1488936057,0.0,0.0
476,CASH_OUT,247290.34,C1739039396,70196.0,0.0,C2073037518,33705.4,280995.74
476,PAYMENT,18747.82,C2132849122,5502.0,0.0,M782252971,0.0,0.0
476,CASH_OUT,60233.55,C215938706,8639.0,0.0,C757002315,3086553.01,3146786.56
476,CASH_OUT,86212.53,C1454819119,184202.0,97989.47,C1651384453,1065563.9,1151776.43
476,TRANSFER,331584.22,C744739770,97989.47,0.0,C398119937,1728363.6,2059947.83
476,PAYMENT,6826.07,C53598462,305071.0,298244.93,M2023801964,0.0,0.0
476,CASH_IN,200901.96,C407895016,289.0,201190.96,C1448640775,0.0,0.0
476,CASH_OUT,229456.09,C704841048,201190.96,0.0,C853349447,3570397.92,3799854.01
476,CASH_OUT,52573.43,C670617294,9963.0,0.0,C1848015235,6457657.59,6510231.02
476,PAYMENT,16218.97,C1493564921,126.0,0.0,M1056099722,0.0,0.0
476,PAYMENT,8327.28,C208221897,2181.0,0.0,M1837500212,0.0,0.0
476,PAYMENT,23472.87,C463131976,6153.0,0.0,M858572076,0.0,0.0
476,CASH_IN,350281.31,C1991668478,0.0,350281.31,C1798083017,2731352.77,2381071.46
476,CASH_IN,17245.94,C726955195,350281.31,367527.25,C1257521002,684256.34,667010.4
476,CASH_IN,138752.49,C1714013196,367527.25,506279.73,C235316567,1801097.37,1662344.88
476,CASH_IN,220600.83,C871987264,506279.73,726880.56,C825760818,357988.66,137387.84
476,CASH_IN,14747.14,C1990057283,726880.56,741627.7,C438815292,3662255.31,3647508.17
476,CASH_IN,202819.77,C2120519303,741627.7,944447.48,C810251744,2257113.23,2054293.45
476,CASH_IN,34406.45,C1455762659,944447.48,978853.92,C2073006545,2045481.13,2011074.69
476,CASH_IN,22101.06,C772175107,978853.92,1000954.98,C1719133700,409168.42,387067.36
476,CASH_IN,59412.66,C921289285,1000954.98,1060367.64,C94631975,121370.34,61957.68
476,CASH_IN,384938.84,C1822651049,1060367.64,1445306.48,C1677494346,1289189.3,904250.46
476,CASH_IN,231002.26,C335477226,1445306.48,1676308.74,C458856461,293387.57,62385.31
476,CASH_IN,90716.3,C239941883,1676308.74,1767025.04,C1015415004,7842906.41,7752190.11
476,CASH_IN,150876.73,C1984833693,1767025.04,1917901.77,C1910661347,176742.25,25865.52
476,CASH_IN,52395.9,C26163911,1917901.77,1970297.67,C1606707499,423288.23,370892.33
476,CASH_IN,124077.06,C1700438709,1970297.67,2094374.73,C1092908196,4400682.45,4276605.39
476,CASH_IN,316207.59,C45601797,2094374.73,2410582.32,C284350022,1283031.95,966824.36
476,CASH_IN,194782.5,C87690766,2410582.32,2605364.82,C178321564,6102785.03,5908002.53
476,CASH_IN,281450.47,C2098943340,2605364.82,2886815.29,C1880149332,1253524.94,972074.48
476,CASH_IN,217874.42,C1298407280,2886815.29,3104689.7,C2122535228,1684894.09,1467019.68
476,CASH_IN,336661.59,C1901067557,3104689.7,3441351.29,C2128351426,1151351.46,814689.88
476,CASH_IN,32043.67,C617662332,3441351.29,3473394.96,C234862613,121816.64,89772.97
476,CASH_IN,163548.56,C63395519,3473394.96,3636943.52,C636873309,1358974.62,1195426.06
476,CASH_IN,444935.65,C1848989224,3636943.52,4081879.17,C1819166129,933240.51,488304.87
476,CASH_IN,246003.81,C1620912158,4081879.17,4327882.97,C1411878149,3907673.06,3661669.26
476,CASH_IN,295407.76,C1112860758,4327882.97,4623290.74,C1069622518,1870846.86,1575439.1
476,CASH_IN,255553.69,C2065644557,4623290.74,4878844.43,C2123122269,7158961.2,6903407.5
476,CASH_IN,61553.64,C1063231824,4878844.43,4940398.07,C1032521403,124965.01,63411.37
476,CASH_IN,238831.08,C906736509,4940398.07,5179229.15,C1603592499,1191690.23,952859.15
476,CASH_IN,39940.94,C1408826290,5179229.15,5219170.09,C499606189,185433.51,145492.56
476,CASH_IN,185601.22,C1367689876,5219170.09,5404771.31,C335924031,9938445.36,9752844.14
476,CASH_IN,182335.98,C328348885,5404771.31,5587107.29,C1400344815,4586579.54,4404243.56
476,CASH_IN,45851.87,C2020212097,5587107.29,5632959.16,C827308096,61041.48,15189.6
476,CASH_OUT,71476.07,C1817754709,19843.0,0.0,C1501256847,20238.12,91714.19
476,PAYMENT,17130.81,C401771168,22276.0,5145.19,M356786199,0.0,0.0
476,CASH_OUT,128323.61,C586564299,30654.0,0.0,C2147204501,2447685.56,2576009.16
476,PAYMENT,5725.69,C199620820,0.0,0.0,M146920578,0.0,0.0
476,CASH_OUT,97002.55,C1009850645,636277.0,539274.45,C1244727194,4478957.02,4575959.57
476,PAYMENT,370.91,C750904386,539274.45,538903.54,M147233366,0.0,0.0
476,PAYMENT,48682.84,C237320712,538903.54,490220.69,M979919720,0.0,0.0
476,CASH_IN,255486.93,C430470035,31421.0,286907.93,C2039390350,0.0,0.0
476,CASH_OUT,230942.12,C629165786,286907.93,55965.81,C345330137,6725389.87,6956331.99
476,CASH_OUT,309323.84,C47367448,100505.0,0.0,C979216614,69116.43,378440.28
476,CASH_OUT,35888.61,C2077787401,226.0,0.0,C135115864,0.0,35888.61
476,PAYMENT,6339.22,C565593354,0.0,0.0,M107428216,0.0,0.0
476,PAYMENT,3074.54,C311023273,12060.0,8985.46,M759626044,0.0,0.0
476,PAYMENT,1101.82,C1053517707,9057.0,7955.18,M30942675,0.0,0.0
476,CASH_OUT,214411.3,C1563985887,51070.0,0.0,C1259410360,6809162.74,7023574.04
476,PAYMENT,22305.21,C1194134109,22175.0,0.0,M574605836,0.0,0.0
476,CASH_OUT,1099.24,C1644795173,49964.0,48864.76,C210877498,10277.13,11376.37
476,CASH_OUT,224390.27,C2065096900,48864.76,0.0,C905193679,422987.92,647378.18
476,CASH_OUT,23604.14,C1413902873,0.0,0.0,C267001916,157440.74,181044.88
476,CASH_OUT,88127.98,C141933879,11305.0,0.0,C2070814866,452541.33,540669.31
476,CASH_IN,465803.57,C654025121,868.0,466671.57,C304507271,0.0,0.0
476,CASH_OUT,11971.43,C1780970874,106710.0,94738.57,C801910951,0.0,11971.43
476,CASH_IN,203984.76,C227935389,31382.0,235366.76,C477578126,691116.82,487132.06
476,CASH_OUT,59591.21,C682593309,93514.0,33922.79,C255910359,81476.18,141067.38
476,CASH_OUT,124526.99,C1403180544,129287.0,4760.01,C1802021192,0.0,124526.99
476,TRANSFER,7217.15,C50324907,432505.0,425287.85,C283758427,1177390.88,1184608.03
476,PAYMENT,548.08,C1064352645,425287.85,424739.77,M1810568978,0.0,0.0
476,CASH_OUT,103300.49,C775741113,847.0,0.0,C1885072651,754029.32,857329.82
476,CASH_IN,666321.68,C1393796200,91979.0,758300.68,C1823156981,1195292.67,528970.98
476,CASH_OUT,74128.92,C1761972508,6682.0,0.0,C714753984,2030343.76,2104472.69
476,CASH_OUT,78545.05,C1516591273,157077.0,78531.95,C1890830127,0.0,78545.05
476,PAYMENT,10498.37,C316972106,25653.0,15154.63,M1545231002,0.0,0.0
476,PAYMENT,4290.17,C424848756,15653.0,11362.83,M1761742567,0.0,0.0
476,CASH_IN,277029.52,C1605552449,30938.0,307967.52,C1830655834,0.0,0.0
476,PAYMENT,17045.74,C1374852775,307967.52,290921.78,M1573365984,0.0,0.0
476,CASH_OUT,29641.57,C617341065,57179.0,27537.43,C742413140,0.0,29641.57
476,CASH_OUT,57694.83,C1836768656,168169.0,110474.17,C935305166,2145358.95,2203053.78
476,PAYMENT,3187.06,C687356214,10305.0,7117.94,M1209533537,0.0,0.0
476,PAYMENT,8483.06,C866941507,615.0,0.0,M142714875,0.0,0.0
476,PAYMENT,4909.46,C1641619028,100234.0,95324.54,M1776952578,0.0,0.0
476,CASH_IN,64904.69,C960771102,33015.0,97919.69,C103814275,0.0,0.0
476,TRANSFER,468599.79,C1023402674,468599.79,0.0,C1914393339,0.0,0.0
476,CASH_OUT,468599.79,C360538311,468599.79,0.0,C1834951696,37278.5,505878.3
476,TRANSFER,110435.64,C763860319,2324.0,0.0,C85430277,6768073.66,6878509.3
476,CASH_OUT,15431.37,C905687093,160343.0,144911.63,C2012598449,0.0,15431.37
476,PAYMENT,9410.97,C1985101386,144911.63,135500.66,M148308767,0.0,0.0
476,PAYMENT,7145.43,C434848311,135500.66,128355.22,M1912152871,0.0,0.0
476,CASH_IN,240357.98,C373220156,105701.0,346058.98,C1912947643,0.0,0.0
476,DEBIT,2088.26,C641848607,105134.0,103045.74,C715497518,8354139.95,8356228.21
476,PAYMENT,24073.88,C1710801178,21023.0,0.0,M1570776729,0.0,0.0
476,PAYMENT,6539.4,C1013319954,47715.0,41175.6,M338156204,0.0,0.0
476,CASH_OUT,202617.66,C938752291,41175.6,0.0,C898587669,5525706.79,5728324.44
476,PAYMENT,9522.19,C1799112106,10171.0,648.81,M1738473286,0.0,0.0
476,PAYMENT,24632.21,C1296477091,41461.0,16828.79,M1542303241,0.0,0.0
476,CASH_OUT,134496.45,C1383440843,53083.0,0.0,C255200416,18178.64,152675.09
476,PAYMENT,8372.91,C1107365900,1190.0,0.0,M987930716,0.0,0.0
476,TRANSFER,137481.08,C206167279,6132.0,0.0,C1345287497,3530084.76,3667565.83
476,PAYMENT,19372.62,C1934450516,21111.0,1738.38,M956735553,0.0,0.0
476,PAYMENT,7829.36,C382277501,1738.38,0.0,M1411715055,0.0,0.0
476,CASH_OUT,198890.82,C1300979136,253.0,0.0,C1252422462,550959.01,749849.83
476,CASH_IN,320441.99,C1090775192,195346.0,515787.99,C977923705,2428766.0,2108324.0
476,PAYMENT,3906.01,C531590458,23512.0,19605.99,M1661555543,0.0,0.0
476,PAYMENT,8244.16,C1962633131,19605.99,11361.82,M719459972,0.0,0.0
476,CASH_OUT,88730.45,C1321236575,85926.0,0.0,C680715902,17295.02,106025.48
476,PAYMENT,2551.97,C1736051003,62287.0,59735.03,M1217657920,0.0,0.0
476,CASH_IN,193494.88,C1920964064,84173.0,277667.88,C2128684816,3.076378931E7,3.057029443E7
476,CASH_OUT,237664.48,C1060112752,321208.0,83543.52,C1968900616,1979330.44,2216994.92
476,CASH_OUT,40233.94,C146078844,83543.52,43309.57,C705322179,595558.54,635792.48
476,CASH_OUT,6492.5,C1595044054,178.0,0.0,C2035851418,0.0,6492.5
476,PAYMENT,3105.9,C1372335681,100630.0,97524.1,M1854457473,0.0,0.0
476,CASH_OUT,94516.29,C1097895984,39763.0,0.0,C58040781,0.0,94516.29
476,CASH_OUT,56308.2,C229166088,0.0,0.0,C790674170,288554.75,344862.95
476,CASH_IN,189762.95,C1034311130,16745.0,206507.95,C1230840776,1066008.54,876245.59
476,CASH_OUT,196944.44,C363999265,61691.0,0.0,C414512095,3831543.21,4028487.65
476,PAYMENT,4255.99,C1351013303,0.0,0.0,M453348643,0.0,0.0
476,PAYMENT,10189.31,C344068892,0.0,0.0,M271915669,0.0,0.0
476,CASH_OUT,30602.75,C1992849487,10750.0,0.0,C1933977547,250018.02,280620.77
476,PAYMENT,3355.85,C1091800864,94026.0,90670.15,M1158512365,0.0,0.0
476,CASH_OUT,112322.11,C2111059307,1814.0,0.0,C146283370,0.0,112322.11
476,CASH_IN,279657.59,C1223368862,1213.0,280870.59,C2124900966,707260.02,427602.43
476,PAYMENT,7023.48,C366795820,108915.0,101891.52,M998777452,0.0,0.0
476,CASH_OUT,57956.79,C1739274011,58688.0,731.21,C1603237678,0.0,57956.79
476,CASH_IN,179767.0,C1993671840,1070.0,180837.0,C1585307581,0.0,0.0
476,PAYMENT,5016.21,C94084074,191385.0,186368.79,M2138722935,0.0,0.0
476,CASH_OUT,106174.95,C1096266092,186368.79,80193.84,C169783069,117639.81,223814.76
476,TRANSFER,546818.33,C536436194,30269.0,0.0,C207855832,1560515.09,2107333.42
476,PAYMENT,5038.89,C1189396796,0.0,0.0,M1797315197,0.0,0.0
476,PAYMENT,45366.02,C394316452,0.0,0.0,M1120109563,0.0,0.0
476,CASH_OUT,84455.15,C583948222,9918.0,0.0,C1154198819,0.0,84455.15
476,CASH_OUT,153478.3,C1339069096,0.0,0.0,C740831806,245134.9,398613.2
476,CASH_IN,128648.85,C1586803740,451885.0,580533.85,C861803455,5968192.53,5839543.68
476,PAYMENT,9124.2,C9844846,580533.85,571409.66,M1354103909,0.0,0.0
476,PAYMENT,5455.9,C465269001,15740.0,10284.1,M1618215478,0.0,0.0
476,DEBIT,2714.93,C1360007966,21208.0,18493.07,C861539341,15950.24,18665.16
476,PAYMENT,7095.92,C775527309,18493.07,11397.15,M1850381434,0.0,0.0
476,CASH_OUT,144355.81,C787435063,5197.0,0.0,C1369139260,0.0,144355.81
476,CASH_OUT,147896.43,C2142646295,0.0,0.0,C1556233230,4168494.18,4316390.61
476,CASH_OUT,65522.92,C498149791,35572.0,0.0,C1457610284,0.0,65522.92
476,TRANSFER,1323039.91,C660772631,0.0,0.0,C942326156,5778896.42,7101936.34
476,CASH_OUT,82516.34,C1932061498,92583.0,10066.66,C1727341455,159278.23,241794.57
476,CASH_IN,41872.4,C1037065152,44292.0,86164.4,C2063449485,347894.52,306022.13
476,PAYMENT,21084.19,C691626036,40054.0,18969.81,M441483307,0.0,0.0
476,CASH_IN,68322.48,C773179744,18969.81,87292.29,C118846160,140342.66,72020.18
476,CASH_IN,208616.25,C287611193,87292.29,295908.54,C1500498730,1132508.55,923892.3
476,CASH_IN,123823.25,C1937662953,295908.54,419731.79,C905707289,1014147.3,890324.05
476,CASH_IN,441845.17,C1840374901,419731.79,861576.96,C331276682,3337576.84,2895731.67
476,CASH_IN,199294.84,C1836019306,861576.96,1060871.8,C1843544006,1655581.09,1456286.24
476,CASH_IN,242420.77,C1488445359,1060871.8,1303292.57,C1828097933,747106.4,504685.63
476,CASH_IN,17516.34,C1482071675,1303292.57,1320808.91,C119902587,126644.39,109128.05
476,CASH_IN,69157.2,C983980872,1320808.91,1389966.12,C1952959781,1056363.33,987206.13
476,CASH_IN,503977.46,C749497928,1389966.12,1893943.58,C1038745693,2298258.83,1794281.37
476,CASH_IN,235187.46,C1241552597,1893943.58,2129131.04,C667493143,8008931.74,7773744.28
476,CASH_IN,8371.78,C650738856,2129131.04,2137502.82,C776623058,2058965.46,2050593.68
476,CASH_IN,303509.69,C775757602,2137502.82,2441012.52,C2052313986,2238181.24,1934671.55
476,CASH_IN,3742.75,C1630337667,2441012.52,2444755.27,C1811936386,152907.1,149164.35
476,CASH_IN,70818.94,C802455117,2444755.27,2515574.21,C1476871891,7987073.74,7916254.8
476,CASH_IN,212141.73,C1117088547,2515574.21,2727715.94,C107693133,652127.94,439986.21
476,CASH_IN,35586.09,C68659292,2727715.94,2763302.03,C1690984089,2.875798553E7,2.872239944E7
476,CASH_IN,161714.86,C48870079,2763302.03,2925016.89,C2133800472,169199.95,7485.08
476,CASH_IN,133340.68,C239305401,2925016.89,3058357.58,C2065305336,409220.59,275879.91
476,CASH_IN,216013.25,C1734749217,3058357.58,3274370.83,C896169462,412666.11,196652.86
476,CASH_IN,158220.68,C1586118105,3274370.83,3432591.5,C444675211,1918572.89,1760352.22
476,CASH_IN,206507.6,C297341181,3432591.5,3639099.1,C927603551,224796.72,18289.12
476,CASH_IN,108295.29,C58531385,3639099.1,3747394.39,C74444237,1687954.12,1579658.83
476,CASH_IN,3039.68,C1428962643,3747394.39,3750434.07,C766822406,3728901.33,3725861.65
476,CASH_IN,235403.38,C1523033818,3750434.07,3985837.45,C509240693,2759168.64,2523765.26
476,CASH_IN,133107.64,C60849031,3985837.45,4118945.09,C741499519,140289.98,7182.34
476,CASH_IN,216105.28,C1757884700,4118945.09,4335050.37,C1121585886,1180332.05,964226.77
476,CASH_IN,115089.59,C1547001842,4335050.37,4450139.97,C125662602,328014.37,212924.78
476,CASH_IN,44854.13,C992203736,4450139.97,4494994.1,C426088291,4675503.9,4630649.77
476,CASH_IN,92339.34,C1004534648,4494994.1,4587333.44,C1895663884,3864233.72,3771894.38
