step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
250,PAYMENT,24135.05,C678855662,11327.0,0.0,M1732497519,0.0,0.0
250,CASH_OUT,42189.23,C415317244,875.0,0.0,C375665423,35288.09,77477.32
250,CASH_OUT,84010.29,C1376510460,20081.0,0.0,C656830306,831825.93,915836.22
250,TRANSFER,1504023.99,C1325293984,535.0,0.0,C1042031111,0.0,1504023.99
250,CASH_OUT,298620.28,C927400120,253718.0,0.0,C375125836,1851763.72,2150384.0
250,CASH_IN,158191.83,C644938864,21510.0,179701.83,C635059558,579130.13,420938.31
250,PAYMENT,6294.07,C737803587,252.0,0.0,M381123325,0.0,0.0
250,CASH_OUT,156639.7,C435878483,300226.0,143586.3,C1854841307,482.73,157122.43
250,CASH_OUT,335875.9,C952637024,236.0,0.0,C994233901,54307.02,390182.92
250,CASH_OUT,179834.33,C1556084703,50209.0,0.0,C1738583699,2195274.08,2375108.42
250,CASH_OUT,408950.74,C1903304231,2236.0,0.0,C686511811,0.0,408950.74
250,CASH_IN,47459.07,C1066687032,21892.0,69351.07,C515872900,422150.31,374691.23
250,PAYMENT,6686.25,C1192698044,69351.07,62664.82,M1681204878,0.0,0.0
250,PAYMENT,72965.18,C89624329,62664.82,0.0,M403652609,0.0,0.0
250,TRANSFER,1721425.44,C1726185852,32207.0,0.0,C1400754455,7831144.23,9552569.67
250,CASH_IN,446113.75,C724556408,39727.0,485840.75,C1844125077,0.0,0.0
250,PAYMENT,11752.75,C305735635,20415.0,8662.25,M1892971229,0.0,0.0
250,PAYMENT,25246.99,C172422618,21066.0,0.0,M1601114864,0.0,0.0
250,PAYMENT,41097.02,C70496625,0.0,0.0,M1470265776,0.0,0.0
250,CASH_OUT,92928.94,C1786232507,21075.0,0.0,C124658194,259988.63,352917.57
250,CASH_IN,201404.97,C1294522775,11621.0,213025.97,C435904251,0.0,0.0
250,CASH_IN,174019.59,C1418281338,50580.0,224599.59,C927542845,2405193.95,2231174.36
250,TRANSFER,174683.34,C279104930,174683.34,0.0,C1291302412,0.0,0.0
250,CASH_OUT,174683.34,C1207384939,174683.34,0.0,C1335051776,449036.7,623720.04
250,PAYMENT,22967.67,C1285076579,23813.0,845.33,M1384430619,0.0,0.0
250,PAYMENT,2218.96,C1422763060,845.33,0.0,M706736549,0.0,0.0
250,PAYMENT,42285.19,C591229227,0.0,0.0,M1412330803,0.0,0.0
250,PAYMENT,2669.2,C1836816262,0.0,0.0,M943505749,0.0,0.0
250,PAYMENT,36094.64,C1883265872,0.0,0.0,M1474310022,0.0,0.0
250,PAYMENT,9828.13,C1712739675,0.0,0.0,M956176037,0.0,0.0
250,PAYMENT,25953.77,C1251364913,0.0,0.0,M484231930,0.0,0.0
250,PAYMENT,1899.8,C1211431095,0.0,0.0,M12026922,0.0,0.0
250,PAYMENT,10036.4,C2027445205,0.0,0.0,M44684590,0.0,0.0
250,PAYMENT,20738.42,C1840735372,58053.0,37314.58,M1360870340,0.0,0.0
250,CASH_OUT,535076.04,C1797379265,4003.0,0.0,C1699168366,167181.25,702257.29
250,CASH_OUT,120732.3,C661482542,20366.0,0.0,C144012447,0.0,120732.3
250,PAYMENT,30992.13,C1906896715,18169.0,0.0,M1230186913,0.0,0.0
250,CASH_OUT,21902.91,C741436310,0.0,0.0,C879980074,36758.0,58660.91
250,CASH_OUT,101651.51,C1626439202,0.0,0.0,C226190798,1756132.2,1857783.71
250,CASH_OUT,263483.7,C1452607424,0.0,0.0,C224801227,4001201.18,4264684.88
250,CASH_OUT,192962.8,C115028626,0.0,0.0,C784926373,869286.6,1062249.4
250,CASH_OUT,340985.81,C554796036,0.0,0.0,C1706845527,738758.85,1079744.66
250,CASH_OUT,401561.01,C1249574506,0.0,0.0,C2021120565,982713.98,1384274.99
250,CASH_OUT,179107.16,C875514850,0.0,0.0,C915970367,517564.28,696671.44
250,CASH_OUT,121637.26,C1807720535,0.0,0.0,C332127601,1182263.0,1303900.26
250,CASH_OUT,76388.65,C1185097856,0.0,0.0,C1444548920,447932.16,524320.81
250,CASH_OUT,169059.87,C1530337168,0.0,0.0,C716927014,292212.95,461272.82
250,CASH_OUT,284633.83,C352921423,0.0,0.0,C481416943,3470126.86,3754760.69
250,PAYMENT,35239.53,C60985505,1.0,0.0,M1553616765,0.0,0.0
250,PAYMENT,32160.04,C1064458473,7259.0,0.0,M1671246615,0.0,0.0
250,TRANSFER,1189848.86,C1949143133,102756.0,0.0,C1549938265,300220.37,1490069.24
250,CASH_OUT,399451.81,C2051201026,19852.0,0.0,C1025258792,0.0,399451.81
250,CASH_OUT,133117.96,C1465541299,10804.0,0.0,C1036563795,95431.11,228549.07
250,PAYMENT,9389.49,C1565910724,28810.0,19420.51,M1172453963,0.0,0.0
250,CASH_IN,95260.01,C697071677,5749.0,101009.01,C1666974024,56915.78,0.0
250,CASH_IN,308067.29,C759683141,416869.0,724936.29,C98643438,534202.31,226135.01
250,CASH_OUT,500952.63,C1607891183,31036.0,0.0,C169314849,433648.28,934600.91
250,PAYMENT,3680.75,C196227388,12679.0,8998.25,M1094057447,0.0,0.0
250,PAYMENT,2832.29,C1386446964,199984.0,197151.71,M1054776271,0.0,0.0
250,PAYMENT,39644.21,C620721913,15392.0,0.0,M1254845764,0.0,0.0
250,PAYMENT,27701.2,C69596233,11681.0,0.0,M1324287969,0.0,0.0
250,CASH_OUT,406170.23,C293140603,0.0,0.0,C1431453076,3880510.32,4286680.55
250,CASH_IN,188399.02,C4720221,139.0,188538.02,C350884502,43284.26,0.0
250,CASH_OUT,151278.88,C727989665,21496.0,0.0,C1894185515,0.0,151278.88
250,CASH_OUT,550406.21,C495122211,11733.0,0.0,C980169582,2336356.7,2886762.91
250,TRANSFER,907710.5,C1265598408,0.0,0.0,C893516489,1842805.27,2750515.77
250,PAYMENT,35526.83,C190181910,21885.0,0.0,M22437864,0.0,0.0
250,PAYMENT,30580.97,C199723790,33357.0,2776.03,M1002845317,0.0,0.0
250,CASH_OUT,480978.89,C522695849,3057.0,0.0,C1861440060,120823.19,601802.08
250,CASH_OUT,42701.7,C742195642,15452.0,0.0,C5976887,0.0,42701.7
250,CASH_OUT,252562.25,C456478920,109292.0,0.0,C824112819,1950182.32,2202744.56
250,PAYMENT,10413.38,C291319095,0.0,0.0,M872239433,0.0,0.0
250,CASH_IN,215072.5,C2005513821,24900.0,239972.5,C1374656343,103468.62,0.0
250,CASH_IN,171972.08,C1183521652,10825.0,182797.08,C936825049,216022.13,44050.05
250,CASH_OUT,41806.35,C1044881927,90643.0,48836.65,C665007216,0.0,41806.35
250,CASH_OUT,202147.09,C1743375263,48836.65,0.0,C774105902,346795.39,548942.48
250,CASH_OUT,193772.7,C1575531105,0.0,0.0,C703932221,706960.3,900733.0
250,CASH_IN,275665.64,C1126580755,51318.0,326983.64,C724273843,2289711.79,2014046.15
250,PAYMENT,35328.24,C1081247722,19875.0,0.0,M1768819016,0.0,0.0
