step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
143,TRANSFER,399094.97,C650796371,186.0,0.0,C1583517850,94609.11,493704.07
143,TRANSFER,150627.72,C2107621337,105178.0,0.0,C1216496708,262941.48,413569.2
143,CASH_OUT,160146.75,C1562804583,0.0,0.0,C1795049567,1290946.42,1451093.17
143,PAYMENT,4201.03,C1868115241,495432.0,491230.97,M462275924,0.0,0.0
143,PAYMENT,1516.03,C468500619,491230.97,489714.94,M1923630888,0.0,0.0
143,TRANSFER,303396.18,C1413352497,28277.0,0.0,C183980330,3617051.75,3920447.93
143,PAYMENT,1626.23,C560776327,20599.0,18972.77,M1551474873,0.0,0.0
143,CASH_OUT,178826.12,C1817722137,51041.0,0.0,C823989579,0.0,178826.12
143,PAYMENT,5840.51,C1218706215,10285.0,4444.49,M254559816,0.0,0.0
143,TRANSFER,180447.14,C515982204,81460.0,0.0,C1033329834,438270.6,618717.74
143,PAYMENT,3486.97,C861668680,408.0,0.0,M1685174983,0.0,0.0
143,PAYMENT,11404.95,C159559175,229.0,0.0,M491570920,0.0,0.0
143,CASH_OUT,518230.63,C1323951692,0.0,0.0,C2107533917,2861536.55,3379767.18
143,TRANSFER,633131.11,C665307860,70837.0,0.0,C1040369236,55783.82,779340.0
143,PAYMENT,2233.03,C1003076273,13752.0,11518.97,M1078542502,0.0,0.0
143,TRANSFER,493713.18,C1100154213,11569.0,0.0,C408826397,2229943.51,2723656.69
143,PAYMENT,9831.38,C1492879081,28886.0,19054.62,M781296501,0.0,0.0
143,CASH_OUT,22645.31,C609720945,19054.62,0.0,C1794890795,351479.89,374125.19
143,CASH_IN,67751.14,C2109086643,15621.0,83372.14,C1224471942,0.0,0.0
143,PAYMENT,16651.81,C2046690850,83372.14,66720.33,M1524074595,0.0,0.0
143,PAYMENT,2861.41,C1112212826,5100.0,2238.59,M258864419,0.0,0.0
143,PAYMENT,21649.14,C103497210,2238.59,0.0,M1624848844,0.0,0.0
143,PAYMENT,191.76,C2049081688,0.0,0.0,M436647890,0.0,0.0
143,PAYMENT,21374.42,C1167957381,0.0,0.0,M1814289315,0.0,0.0
143,PAYMENT,30219.95,C48607038,0.0,0.0,M762458263,0.0,0.0
143,PAYMENT,15532.74,C78311689,0.0,0.0,M1990647036,0.0,0.0
143,PAYMENT,2050.41,C1494552905,0.0,0.0,M1700750452,0.0,0.0
143,PAYMENT,33464.89,C917431151,0.0,0.0,M1991219322,0.0,0.0
143,PAYMENT,13175.12,C130109631,0.0,0.0,M430176503,0.0,0.0
143,PAYMENT,4604.63,C1482147127,0.0,0.0,M1379006991,0.0,0.0
143,PAYMENT,3631.81,C1610091614,0.0,0.0,M1494885142,0.0,0.0
143,PAYMENT,6100.62,C1057110911,0.0,0.0,M1656639250,0.0,0.0
143,PAYMENT,12228.07,C2109421031,0.0,0.0,M1974578133,0.0,0.0
143,PAYMENT,11877.73,C1539751903,0.0,0.0,M1259388266,0.0,0.0
143,PAYMENT,19175.68,C1872805346,0.0,0.0,M397892800,0.0,0.0
143,PAYMENT,8977.32,C2036412846,0.0,0.0,M936650757,0.0,0.0
143,PAYMENT,180.04,C1576127664,0.0,0.0,M1888340626,0.0,0.0
143,PAYMENT,12617.32,C1141100,9407.0,0.0,M370408811,0.0,0.0
143,CASH_OUT,353413.25,C1163147093,0.0,0.0,C539076969,681792.19,1035205.44
143,PAYMENT,17419.64,C1536408631,22030.0,4610.36,M1346561056,0.0,0.0
143,PAYMENT,4178.54,C1504945126,52723.0,48544.46,M1035585818,0.0,0.0
143,PAYMENT,759.13,C2064496798,10726.0,9966.87,M1017716795,0.0,0.0
143,PAYMENT,154.83,C2017532123,9966.87,9812.04,M189005776,0.0,0.0
143,PAYMENT,12896.88,C488402798,39647.0,26750.12,M1757494286,0.0,0.0
143,CASH_OUT,123518.11,C406222349,26750.12,0.0,C1380747352,1120331.6,1243849.71
143,PAYMENT,10135.31,C203405220,39885.0,29749.69,M1921441366,0.0,0.0
143,PAYMENT,1599.12,C331791684,62439.0,60839.88,M954935087,0.0,0.0
143,PAYMENT,13399.44,C1228408065,32425.0,19025.56,M218629662,0.0,0.0
143,TRANSFER,324599.97,C721593958,756048.0,431448.03,C268784004,2223776.51,2548376.48
143,PAYMENT,8574.58,C1244741238,95035.0,86460.42,M1126705724,0.0,0.0
143,PAYMENT,7657.43,C249425073,10890.0,3232.57,M810703514,0.0,0.0
143,PAYMENT,6484.6,C1934823528,300212.0,293727.4,M1898495476,0.0,0.0
143,PAYMENT,10139.85,C284262148,293727.4,283587.55,M852844810,0.0,0.0
143,PAYMENT,1039.17,C1500440424,283587.55,282548.39,M1830631084,0.0,0.0
143,PAYMENT,7732.27,C1980726612,324.0,0.0,M1867222958,0.0,0.0
143,CASH_OUT,79467.88,C1093693576,0.0,0.0,C96899531,108655.63,188123.51
143,PAYMENT,8217.9,C1167885908,11281.0,3063.1,M1223997038,0.0,0.0
143,PAYMENT,478.0,C2079417889,172.0,0.0,M965213671,0.0,0.0
143,PAYMENT,4196.04,C411595429,18307.0,14110.96,M1973608476,0.0,0.0
143,PAYMENT,10211.25,C85086439,10748.0,536.75,M58518887,0.0,0.0
143,CASH_IN,294227.37,C1488632567,536.75,294764.12,C1033595707,308918.12,14690.75
143,CASH_IN,139238.2,C989467644,294764.12,434002.32,C839286867,1236665.47,1097427.26
143,CASH_IN,463652.18,C762902828,434002.32,897654.5,C645329966,3611520.22,3147868.04
143,CASH_IN,302003.2,C1225469489,897654.5,1199657.7,C1217378991,4551893.97,4249890.77
143,CASH_IN,73436.41,C1156274405,1199657.7,1273094.11,C1628494807,1175272.55,1101836.14
143,CASH_IN,356717.75,C786744951,1273094.11,1629811.86,C596299019,2018338.08,1661620.33
143,CASH_IN,176985.26,C1145039646,1629811.86,1806797.12,C1486529239,317360.67,140375.41
143,CASH_IN,38606.43,C1423261454,1806797.12,1845403.55,C708523727,1078621.95,1040015.52
143,CASH_IN,165578.54,C1256683777,1845403.55,2010982.09,C1051264339,234179.43,68600.88
143,CASH_IN,142346.13,C1111017812,2010982.09,2153328.22,C575058775,1563503.61,1421157.48
143,CASH_IN,208692.98,C2045029654,2153328.22,2362021.2,C333333211,224229.14,15536.17
143,CASH_IN,113753.76,C78954603,2362021.2,2475774.96,C1311598284,2059260.84,1945507.08
143,CASH_IN,133556.18,C1969921677,2475774.96,2609331.13,C644269639,1437993.47,1304437.29
143,CASH_IN,157245.59,C1897700125,2609331.13,2766576.72,C1756087354,2107808.18,1950562.59
143,CASH_IN,320128.68,C768349237,2766576.72,3086705.4,C236273512,882391.88,562263.2
143,PAYMENT,502.75,C265891455,72722.0,72219.25,M786843647,0.0,0.0
143,CASH_OUT,62294.7,C993518925,72219.25,9924.55,C2018418548,365721.7,428016.41
143,CASH_OUT,13077.64,C1989616546,9924.55,0.0,C657808526,303351.33,316428.97
