step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
448,PAYMENT,1461.24,C1401131415,11512.0,10050.76,M524224708,0.0,0.0
448,CASH_IN,125091.12,C251672297,169.0,125260.12,C1305229374,101760.82,0.0
448,CASH_OUT,212290.44,C1091885068,615120.0,402829.56,C879524955,371669.1,583959.54
448,CASH_OUT,37585.03,C248833680,147079.0,109493.97,C2076715564,269.18,37854.21
448,CASH_IN,38170.91,C1766504102,67405.0,105575.91,C273876042,0.0,0.0
448,TRANSFER,173464.35,C1735615000,101795.0,0.0,C1250848340,358892.5,532356.86
448,PAYMENT,10333.8,C12583490,256495.0,246161.2,M696878252,0.0,0.0
448,TRANSFER,248483.16,C365619389,19219.0,0.0,C554540238,1072457.97,1320941.14
448,CASH_OUT,27448.73,C1767189438,168207.0,140758.27,C1561247967,0.0,27448.73
448,PAYMENT,9297.14,C1770518212,140758.27,131461.13,M214868924,0.0,0.0
448,PAYMENT,6185.58,C1308831128,131461.13,125275.56,M239859517,0.0,0.0
448,PAYMENT,24444.65,C1487671782,18064.0,0.0,M554080780,0.0,0.0
448,CASH_OUT,77285.15,C1983777881,32008.0,0.0,C1270295840,194506.9,271792.05
448,PAYMENT,9487.62,C664666044,20962.0,11474.38,M520546696,0.0,0.0
448,PAYMENT,16793.78,C172344990,5072.0,0.0,M203378507,0.0,0.0
448,TRANSFER,478455.67,C1144463723,11436.0,0.0,C1710763100,0.0,478455.67
448,PAYMENT,17259.76,C1817565900,0.0,0.0,M1216381166,0.0,0.0
448,PAYMENT,2745.85,C1049885602,0.0,0.0,M1137883490,0.0,0.0
448,PAYMENT,13610.83,C18057326,0.0,0.0,M1306066770,0.0,0.0
448,CASH_OUT,355333.09,C1815565216,1694.0,0.0,C1111704774,0.0,355333.09
448,PAYMENT,14941.2,C989396717,301966.0,287024.8,M657805604,0.0,0.0
448,CASH_OUT,54915.06,C765266175,39630.0,0.0,C503243214,1.097541697E7,1.103033203E7
448,PAYMENT,13437.84,C2070017215,193325.0,179887.16,M110322344,0.0,0.0
448,PAYMENT,10969.6,C186826543,34499.0,23529.4,M1312654404,0.0,0.0
448,PAYMENT,29184.58,C982336816,23529.4,0.0,M655812331,0.0,0.0
448,CASH_OUT,46304.07,C961806049,107950.0,61645.93,C995439171,156065.51,202369.58
448,CASH_IN,29935.61,C468603435,20573.0,50508.61,C1623132066,923676.06,893740.44
448,PAYMENT,13919.5,C1260007587,129437.0,115517.5,M1537975957,0.0,0.0
448,PAYMENT,10128.73,C2099900407,115517.5,105388.78,M339707251,0.0,0.0
448,PAYMENT,10201.39,C238690431,44086.0,33884.61,M136556579,0.0,0.0
448,PAYMENT,16521.58,C986161287,33884.61,17363.03,M1388031665,0.0,0.0
448,CASH_OUT,149670.83,C224216385,113127.0,0.0,C124364118,369641.03,519311.86
448,PAYMENT,11874.93,C409624161,3054.0,0.0,M531498611,0.0,0.0
448,CASH_OUT,221612.28,C284159249,49846.0,0.0,C1193194257,328643.05,550255.33
448,CASH_OUT,4339.18,C2013250816,691.0,0.0,C801724351,1603158.75,1607497.93
448,CASH_IN,182652.14,C1026299080,11593.0,194245.14,C1197720147,698915.77,516263.63
448,PAYMENT,16450.56,C1390280832,21.0,0.0,M1035401391,0.0,0.0
448,CASH_OUT,89033.63,C879291868,259.0,0.0,C2041627930,285139.82,374173.45
448,CASH_OUT,254296.51,C1765750221,79872.0,0.0,C354062318,1553968.05,1808264.56
448,CASH_OUT,117071.42,C1271394922,80040.0,0.0,C1426801412,0.0,117071.42
448,CASH_OUT,136823.55,C1094588477,5401.0,0.0,C1852318397,2.417091151E7,2.430773506E7
448,CASH_OUT,295178.02,C843783115,2091.0,0.0,C1605256064,0.0,295178.02
448,PAYMENT,2353.97,C583717138,500.0,0.0,M1449796483,0.0,0.0
448,CASH_OUT,106567.37,C1730426499,5047.0,0.0,C1964524565,0.0,106567.37
448,TRANSFER,37943.71,C232516847,315700.0,277756.29,C1292862605,20438.88,58382.59
448,CASH_IN,141261.49,C2045636103,40939.0,182200.49,C878795430,0.0,0.0
448,CASH_IN,128770.06,C2115808386,179047.0,307817.06,C671874902,60426.67,0.0
448,PAYMENT,21316.57,C952765932,25853.0,4536.43,M1789145742,0.0,0.0
448,PAYMENT,26838.08,C2083484683,45621.0,18782.92,M1733083056,0.0,0.0
448,CASH_OUT,71932.82,C251755480,99647.0,27714.18,C1410909317,0.0,71932.82
448,PAYMENT,16659.9,C1148852468,2937.0,0.0,M1139975004,0.0,0.0
448,PAYMENT,702.17,C1094792621,0.0,0.0,M1159350758,0.0,0.0
448,PAYMENT,6872.13,C1370702857,0.0,0.0,M118351136,0.0,0.0
448,TRANSFER,366213.11,C1328108593,20794.0,0.0,C1211862781,0.0,366213.11
448,PAYMENT,19463.54,C1491820875,0.0,0.0,M330560851,0.0,0.0
448,PAYMENT,37764.43,C2080319200,42111.0,4346.57,M2129816946,0.0,0.0
448,CASH_IN,117050.76,C2098248414,166064.0,283114.76,C486554627,0.0,0.0
448,CASH_OUT,119828.95,C1896202562,15436.0,0.0,C1576619634,1052076.12,1171905.07
448,CASH_OUT,37832.18,C1942954404,51663.0,13830.82,C269030234,204669.38,242501.56
448,PAYMENT,4721.99,C515590994,13830.82,9108.83,M1720046609,0.0,0.0
448,PAYMENT,4118.44,C970262098,30104.0,25985.56,M857588429,0.0,0.0
448,CASH_OUT,42701.4,C2008612391,94.0,0.0,C123310462,0.0,42701.4
448,CASH_IN,51198.85,C1070959005,169.0,51367.85,C1203867002,1012058.6,960859.75
448,PAYMENT,10115.89,C782499747,7306.0,0.0,M1937066768,0.0,0.0
448,PAYMENT,887.57,C1133300383,10749.0,9861.43,M1350969874,0.0,0.0
448,TRANSFER,14133.69,C1634310470,14133.69,0.0,C826378920,0.0,0.0
448,CASH_OUT,14133.69,C949838768,14133.69,0.0,C392215840,2634011.66,2648145.35
448,CASH_OUT,65891.81,C501255694,21459.0,0.0,C1278749461,1073274.68,1139166.49
448,CASH_IN,156417.76,C2086138138,3227.0,159644.76,C1703468515,146767.95,0.0
448,CASH_OUT,344691.11,C1364845695,159644.76,0.0,C1245322194,1478782.49,1823473.6
448,PAYMENT,18420.43,C34245895,21555.0,3134.57,M453243830,0.0,0.0
448,CASH_OUT,327245.62,C1486819053,3134.57,0.0,C1413754065,1271831.61,1599077.23
448,PAYMENT,28266.12,C1182491549,51638.0,23371.88,M282045664,0.0,0.0
448,PAYMENT,28782.49,C341144332,454269.0,425486.51,M874381069,0.0,0.0
448,PAYMENT,620.42,C694617496,495905.0,495284.58,M1151472888,0.0,0.0
448,CASH_IN,132568.34,C2077282931,26621.0,159189.34,C98239323,6590.88,0.0
448,PAYMENT,10361.9,C544124819,159189.34,148827.44,M833889731,0.0,0.0
448,CASH_OUT,103317.2,C1701176025,23878.0,0.0,C1788444346,4328572.47,4431889.68
448,PAYMENT,5749.65,C417064780,35328.0,29578.35,M1302122995,0.0,0.0
448,PAYMENT,22859.35,C1561751486,29483.0,6623.65,M388967919,0.0,0.0
448,PAYMENT,14740.41,C1351178689,10043.0,0.0,M2075203946,0.0,0.0
448,CASH_OUT,119449.3,C364180029,153221.0,33771.7,C1266601271,436602.43,556051.73
448,CASH_OUT,172335.47,C2065364273,106857.0,0.0,C25597034,640210.28,812545.75
448,TRANSFER,515045.79,C1640492226,286421.0,0.0,C145207354,0.0,515045.79
448,PAYMENT,9961.63,C315540441,757.0,0.0,M551153319,0.0,0.0
448,PAYMENT,25741.18,C214316272,31702.0,5960.82,M1387882582,0.0,0.0
448,PAYMENT,3232.22,C915253715,475.0,0.0,M1498338675,0.0,0.0
448,PAYMENT,3617.79,C1678904094,10706.0,7088.21,M2112889874,0.0,0.0
448,PAYMENT,6241.62,C644405582,117217.0,110975.38,M161641917,0.0,0.0
448,PAYMENT,5061.6,C2099037548,680.0,0.0,M19971689,0.0,0.0
448,CASH_OUT,396418.72,C1643296168,70035.0,0.0,C1367651635,227754.68,624173.4
