step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
582,PAYMENT,6307.31,C1209515700,66796.0,60488.69,M1532866267,0.0,0.0
582,PAYMENT,2396.55,C1365358720,60776.0,58379.45,M17183211,0.0,0.0
582,PAYMENT,2569.31,C1947327841,25346.0,22776.69,M1108119118,0.0,0.0
582,PAYMENT,7241.0,C511023927,7312.0,71.0,M776759419,0.0,0.0
582,PAYMENT,20204.53,C1414283782,50326.0,30121.47,M1913968703,0.0,0.0
582,PAYMENT,1079.68,C1082804585,30121.47,29041.79,M231272115,0.0,0.0
582,PAYMENT,1699.07,C992137598,29041.79,27342.72,M1872962309,0.0,0.0
582,PAYMENT,9638.27,C2112941721,27342.72,17704.45,M931609314,0.0,0.0
582,PAYMENT,19052.86,C436450381,17704.45,0.0,M1825441539,0.0,0.0
582,PAYMENT,5834.66,C372287525,0.0,0.0,M409915435,0.0,0.0
582,PAYMENT,585.55,C533245623,0.0,0.0,M52577362,0.0,0.0
582,PAYMENT,9184.08,C281064851,0.0,0.0,M2118238248,0.0,0.0
582,PAYMENT,24960.12,C614888513,0.0,0.0,M901231699,0.0,0.0
582,PAYMENT,1704.55,C542040923,0.0,0.0,M1358833658,0.0,0.0
582,PAYMENT,8395.29,C1198343640,0.0,0.0,M1332769866,0.0,0.0
582,PAYMENT,11280.43,C410194628,0.0,0.0,M965945287,0.0,0.0
582,PAYMENT,12814.76,C352183976,14865.0,2050.24,M1491276377,0.0,0.0
582,PAYMENT,19747.61,C1485233843,257879.0,238131.39,M2022401915,0.0,0.0
582,DEBIT,261.5,C62396004,40730.0,40468.5,C435543965,9035752.97,9036014.47
582,CASH_OUT,188214.59,C1124711824,40468.5,0.0,C831940183,1768187.8,1956402.39
582,PAYMENT,5209.64,C756322308,11274.0,6064.36,M235375202,0.0,0.0
582,PAYMENT,1795.24,C1305458416,50430.0,48634.76,M1134852068,0.0,0.0
582,CASH_OUT,161347.49,C1245272868,48634.76,0.0,C47351846,2237504.7,2398852.19
582,CASH_IN,249113.57,C2019531931,198.0,249311.57,C1909802871,1781989.4,1532875.84
582,PAYMENT,1673.65,C1217912150,249311.57,247637.92,M686590199,0.0,0.0
582,PAYMENT,455.01,C680265397,247637.92,247182.91,M749993083,0.0,0.0
582,PAYMENT,7425.25,C1522072022,407254.0,399828.75,M383744326,0.0,0.0
582,CASH_OUT,218716.6,C1580100742,399828.75,181112.15,C259058103,4645560.4,4864277.01
582,DEBIT,6492.64,C1833767708,80992.0,74499.36,C756544080,241022.6,247515.24
582,PAYMENT,6706.58,C1881547050,36419.0,29712.42,M501117729,0.0,0.0
582,PAYMENT,9718.22,C817460800,62650.0,52931.78,M896091832,0.0,0.0
582,PAYMENT,10541.09,C1946619470,20892.0,10350.91,M439233684,0.0,0.0
582,PAYMENT,8765.52,C1633567463,45230.0,36464.48,M519931122,0.0,0.0
582,CASH_OUT,179074.21,C1380224029,36464.48,0.0,C1918058648,1029364.33,1208438.54
582,PAYMENT,331.33,C971329613,10329.0,9997.67,M717186284,0.0,0.0
582,TRANSFER,40915.01,C1486335837,739.0,0.0,C1426046454,334124.86,375039.87
582,PAYMENT,7666.45,C776336438,429.0,0.0,M1026666123,0.0,0.0
582,PAYMENT,5494.04,C1819817413,41005.0,35510.96,M166756944,0.0,0.0
582,DEBIT,6011.67,C135607068,713835.0,707823.33,C1169305575,14184.79,20196.46
582,PAYMENT,12902.72,C954241379,28564.0,15661.28,M354114983,0.0,0.0
582,PAYMENT,13170.89,C418692950,26921.0,13750.11,M962126471,0.0,0.0
582,PAYMENT,14335.73,C84870982,31041.0,16705.27,M1245090853,0.0,0.0
582,PAYMENT,7231.15,C2005240890,55090.0,47858.85,M154604695,0.0,0.0
582,PAYMENT,4065.67,C1954482112,47858.85,43793.17,M177615574,0.0,0.0
582,PAYMENT,1087.25,C1361681378,43793.17,42705.93,M1619771132,0.0,0.0
582,PAYMENT,173.28,C1824973866,1401.0,1227.72,M1476230118,0.0,0.0
582,PAYMENT,8972.46,C1251351664,26046.0,17073.54,M2002204544,0.0,0.0
582,PAYMENT,3268.48,C745241332,17073.54,13805.06,M276109012,0.0,0.0
582,PAYMENT,6938.54,C1794833718,105771.0,98832.46,M610221278,0.0,0.0
582,PAYMENT,19110.2,C1402228347,98832.46,79722.26,M1810833771,0.0,0.0
582,PAYMENT,12772.89,C1455518317,79722.26,66949.38,M186977703,0.0,0.0
582,PAYMENT,18468.03,C2058583342,66949.38,48481.35,M1749413738,0.0,0.0
582,PAYMENT,10309.99,C894085653,48481.35,38171.35,M371314990,0.0,0.0
582,PAYMENT,70594.75,C2006615241,38171.35,0.0,M820190191,0.0,0.0
582,PAYMENT,7090.88,C1352209892,0.0,0.0,M1210648184,0.0,0.0
582,PAYMENT,3426.42,C1807118200,0.0,0.0,M1126313346,0.0,0.0
582,PAYMENT,6919.19,C1527522871,0.0,0.0,M1536618984,0.0,0.0
582,PAYMENT,13684.19,C50563149,0.0,0.0,M1361046418,0.0,0.0
582,PAYMENT,29868.53,C1796755992,0.0,0.0,M124643106,0.0,0.0
582,PAYMENT,12663.27,C414406242,0.0,0.0,M920546717,0.0,0.0
582,PAYMENT,20364.9,C528445900,0.0,0.0,M2009321974,0.0,0.0
582,PAYMENT,1708.66,C1967229226,20891.0,19182.34,M808890522,0.0,0.0
582,PAYMENT,10501.3,C1411597889,19182.34,8681.04,M1032216914,0.0,0.0
582,PAYMENT,6230.62,C1157080849,201283.0,195052.38,M1094741365,0.0,0.0
582,PAYMENT,2848.07,C253700690,222.0,0.0,M18695698,0.0,0.0
582,PAYMENT,868.6,C2024515087,2239.0,1370.4,M977422250,0.0,0.0
582,PAYMENT,8756.61,C1283041034,50330.0,41573.39,M666846529,0.0,0.0
582,PAYMENT,4711.02,C33621095,41573.39,36862.37,M718695578,0.0,0.0
582,PAYMENT,16649.33,C731303741,4010.0,0.0,M1994261059,0.0,0.0
582,PAYMENT,349.73,C2096501443,0.0,0.0,M1700598651,0.0,0.0
582,PAYMENT,11013.82,C2024789962,30724.0,19710.18,M2128940678,0.0,0.0
582,CASH_OUT,49682.14,C843676563,19710.18,0.0,C1960916966,2147159.84,2196841.98
582,CASH_OUT,305308.8,C1057124458,0.0,0.0,C1290601415,1.737052979E7,1.767583859E7
582,PAYMENT,15942.42,C957739463,30987.0,15044.58,M1867663709,0.0,0.0
582,PAYMENT,12651.35,C381563591,104101.0,91449.65,M982749530,0.0,0.0
582,PAYMENT,4871.64,C740217862,122821.0,117949.36,M1375434873,0.0,0.0
582,DEBIT,7186.13,C909398155,113225.0,106038.87,C1932489483,196356.43,203542.56
582,PAYMENT,1149.66,C269164118,106038.87,104889.21,M1257199285,0.0,0.0
582,PAYMENT,2476.25,C1079887649,29871.0,27394.75,M1425635241,0.0,0.0
582,PAYMENT,4798.45,C482880206,9561.0,4762.55,M740465948,0.0,0.0
582,PAYMENT,14738.88,C48771958,16351.0,1612.12,M489904317,0.0,0.0
582,PAYMENT,16846.01,C1081122703,1425.0,0.0,M2021798112,0.0,0.0
582,PAYMENT,18305.08,C993189637,57618.0,39312.92,M1011064430,0.0,0.0
582,PAYMENT,6069.15,C2022433422,50093.0,44023.85,M292014159,0.0,0.0
582,PAYMENT,4138.46,C1006696337,1300.0,0.0,M470859409,0.0,0.0
582,PAYMENT,5582.85,C992522255,56576.0,50993.15,M337785493,0.0,0.0
582,TRANSFER,855153.5,C791012351,50993.15,0.0,C99858514,7499249.27,8354402.77
582,PAYMENT,9775.79,C911750332,11317.0,1541.21,M1208894128,0.0,0.0
582,PAYMENT,970.29,C1295869886,84925.0,83954.71,M1292328957,0.0,0.0
582,PAYMENT,9072.58,C982347573,12622.0,3549.42,M11313430,0.0,0.0
582,TRANSFER,781988.85,C646587946,781988.85,0.0,C1426895610,0.0,0.0
582,CASH_OUT,781988.85,C1367702961,781988.85,0.0,C2040799056,0.0,781988.85
582,PAYMENT,26.37,C10503283,20495.0,20468.63,M1709302112,0.0,0.0
582,CASH_IN,132929.47,C313335936,20468.63,153398.1,C754359038,156464.97,23535.5
582,CASH_IN,204260.78,C1757392785,153398.1,357658.88,C1838019069,236046.97,31786.19
582,CASH_IN,425139.22,C1790897449,357658.88,782798.1,C623290982,718922.56,293783.34
582,CASH_IN,79850.66,C4123647,782798.1,862648.76,C396739493,126079.65,46228.99
582,CASH_IN,215936.23,C2070700632,862648.76,1078584.99,C2093787243,345448.28,129512.04
582,CASH_IN,154412.66,C1857722755,1078584.99,1232997.65,C1015753978,1438833.7,1284421.04
582,CASH_IN,120790.29,C1945171672,1232997.65,1353787.94,C1895070209,276122.61,155332.32
582,CASH_IN,177881.77,C73828938,1353787.94,1531669.7,C2112153541,383446.46,205564.69
582,CASH_IN,100860.31,C478168636,1531669.7,1632530.01,C279192443,1056012.93,955152.63
582,CASH_IN,388251.11,C650949294,1632530.01,2020781.12,C1868965920,1119957.8,731706.68
582,CASH_IN,13360.93,C1384040089,2020781.12,2034142.05,C1459637934,1141636.06,1128275.13
582,CASH_IN,75811.31,C1660564038,2034142.05,2109953.36,C949439256,287520.53,211709.22
