step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
156,PAYMENT,14823.9,C31340069,42063.0,27239.1,M487839425,0.0,0.0
156,CASH_IN,109382.34,C1162030053,108130.0,217512.34,C1486550428,15924.46,0.0
156,TRANSFER,992890.79,C314250077,217512.34,0.0,C207883608,1871175.22,2864066.01
156,TRANSFER,1278082.99,C1646551089,0.0,0.0,C138707774,1634841.09,2912924.08
156,TRANSFER,888401.7,C1627522922,0.0,0.0,C107671770,4332336.0,5220737.7
156,TRANSFER,1610485.95,C1027740844,0.0,0.0,C997061881,2004564.6,3615050.55
156,TRANSFER,1028355.46,C2007615906,0.0,0.0,C1614334616,1139724.42,2168079.88
156,CASH_IN,418495.32,C911022734,16914.0,435409.32,C605008933,5100024.89,4681529.57
156,PAYMENT,5895.54,C1191539322,15729.0,9833.46,M1792010562,0.0,0.0
156,CASH_OUT,157931.68,C1402132832,9833.46,0.0,C313816380,1800223.43,1958155.11
156,CASH_OUT,63274.05,C223686902,152811.0,89536.95,C138524238,797535.02,860809.07
156,CASH_IN,45553.72,C1638864260,132860.0,178413.72,C1867185901,0.0,0.0
156,TRANSFER,797546.16,C1950315786,69609.0,0.0,C1708145194,120096.44,917642.59
156,CASH_IN,19057.39,C824437556,193887.0,212944.39,C2017725630,692645.48,673588.09
156,CASH_OUT,127503.18,C366325606,19975.0,0.0,C1817285052,0.0,106140.39
156,CASH_IN,118811.2,C206539629,107538.0,226349.2,C1412998886,3340335.14,3221523.95
156,PAYMENT,10093.07,C64436427,26521.0,16427.93,M755173838,0.0,0.0
156,PAYMENT,892.24,C362098071,105905.0,105012.76,M1710344363,0.0,0.0
156,PAYMENT,13920.15,C1599776190,31365.0,17444.85,M1789041378,0.0,0.0
156,CASH_IN,430092.46,C1449651124,100273.0,530365.46,C429533322,2480232.89,2050140.43
156,PAYMENT,16761.46,C1035523395,530365.46,513604.0,M927326239,0.0,0.0
156,PAYMENT,8195.42,C1238243743,513604.0,505408.57,M538800473,0.0,0.0
156,PAYMENT,13450.12,C1534372564,505408.57,491958.45,M1126825149,0.0,0.0
156,PAYMENT,12005.31,C2056394662,491958.45,479953.14,M835593748,0.0,0.0
156,PAYMENT,9679.07,C1326582003,479953.14,470274.07,M1137887672,0.0,0.0
156,PAYMENT,19165.93,C697817411,470274.07,451108.14,M1764340963,0.0,0.0
156,PAYMENT,1859.31,C908291237,451108.14,449248.83,M1676274896,0.0,0.0
156,PAYMENT,2976.03,C1956867119,449248.83,446272.8,M1351176436,0.0,0.0
156,PAYMENT,18703.55,C2103597060,446272.8,427569.25,M1363256340,0.0,0.0
156,PAYMENT,12724.24,C1047296007,427569.25,414845.01,M611881422,0.0,0.0
156,PAYMENT,3699.14,C1261788989,414845.01,411145.87,M386413387,0.0,0.0
156,PAYMENT,2416.81,C1249500653,411145.87,408729.06,M720360333,0.0,0.0
156,PAYMENT,14459.33,C1271053658,408729.06,394269.73,M486952194,0.0,0.0
156,CASH_OUT,264595.88,C429157882,6124.0,0.0,C1223212653,79198.67,862271.84
156,CASH_OUT,186074.85,C1295230718,21454.0,0.0,C1498338996,1955542.93,2141617.78
156,TRANSFER,369224.75,C323353199,49554.0,0.0,C944011711,1.579057287E7,1.615979762E7
156,TRANSFER,49650.23,C1006951256,10361.0,0.0,C294675660,0.0,49650.23
156,CASH_IN,435240.08,C105220767,19952.0,455192.08,C1712496369,1383625.48,948385.4
156,CASH_OUT,153898.67,C1444010239,22059.0,0.0,C1454607205,121049.72,274948.4
156,CASH_OUT,678929.56,C1782302416,7980.0,0.0,C551653526,78376.25,757305.81
156,PAYMENT,30095.02,C1887379156,1124.0,0.0,M1514435382,0.0,0.0
156,CASH_OUT,411361.53,C38440609,233031.0,0.0,C42980817,13872.43,425233.96
156,CASH_OUT,251243.61,C913560958,58493.0,0.0,C899839861,3759270.71,4010514.32
156,CASH_OUT,124265.27,C1047721178,206009.0,81743.73,C1867793283,274840.2,399105.47
156,CASH_IN,74995.75,C1205267937,5497.0,80492.75,C2075598173,0.0,0.0
156,PAYMENT,1189.93,C289365052,80492.75,79302.82,M969913152,0.0,0.0
156,PAYMENT,11193.37,C280122503,79302.82,68109.45,M1627064981,0.0,0.0
156,PAYMENT,16738.3,C189690890,59.0,0.0,M1340048272,0.0,0.0
156,CASH_IN,298128.16,C1296822400,107653.0,405781.16,C1227606415,0.0,0.0
156,CASH_OUT,558652.51,C1977410590,3564.0,0.0,C379945832,2679696.85,3238349.36
156,PAYMENT,9973.72,C231354507,20248.0,10274.28,M1052438945,0.0,0.0
156,PAYMENT,3383.31,C753391878,10274.28,6890.97,M1040790672,0.0,0.0
156,CASH_OUT,307083.38,C1645942194,13969.0,0.0,C1287623844,69033.53,376116.91
156,CASH_OUT,295375.72,C189126569,465.0,0.0,C2053296647,1.421488831E7,1.451026403E7
156,CASH_OUT,152683.74,C427298862,987.0,0.0,C11202103,4049693.59,4202377.33
156,CASH_OUT,303414.99,C1856113189,10131.0,0.0,C2033655540,0.0,303414.99
156,CASH_OUT,454245.74,C1420702918,11135.0,0.0,C198423448,2817800.05,3272045.8
156,CASH_IN,98433.75,C1903380837,20453.0,118886.75,C1286396320,1265747.87,1167314.13
156,CASH_OUT,272693.55,C676580869,7060.0,0.0,C460254746,238575.19,511268.74
156,CASH_IN,305999.6,C1457396232,30545.0,336544.6,C457760733,34854.22,0.0
156,CASH_OUT,572.52,C1936923665,336544.6,335972.08,C246826183,10388.08,10960.59
156,CASH_OUT,107189.48,C404773755,335972.08,228782.61,C311861297,216522.29,525252.98
156,CASH_OUT,83515.71,C783650204,228782.61,145266.89,C823056183,1.055173622E7,1.063525193E7
156,CASH_OUT,192738.4,C136174616,145266.89,0.0,C1522522420,2715885.98,5220377.23
156,CASH_OUT,137793.04,C1676003998,0.0,0.0,C494509898,1646436.14,1784229.18
156,CASH_OUT,59566.9,C2038738458,0.0,0.0,C2133592922,322814.44,382381.34
156,CASH_OUT,241998.33,C2078217691,0.0,0.0,C622049669,309038.51,703806.97
156,CASH_OUT,46540.84,C491056036,0.0,0.0,C967054233,4169861.91,4216402.75
156,CASH_OUT,63794.0,C1345876904,0.0,0.0,C219555712,108991.06,172785.06
156,PAYMENT,22694.58,C210826187,29618.0,6923.42,M266489423,0.0,0.0
156,CASH_OUT,150309.51,C893492700,28828.0,0.0,C622267994,1484067.83,1634377.34
156,PAYMENT,11971.97,C645340655,0.0,0.0,M770882625,0.0,0.0
156,CASH_IN,484535.48,C813633414,152052.0,636587.48,C1771842635,0.0,0.0
156,PAYMENT,10343.75,C157928232,6958.0,0.0,M393164687,0.0,0.0
156,PAYMENT,20115.9,C793215383,0.0,0.0,M1728882886,0.0,0.0
156,PAYMENT,14239.93,C544935812,47833.0,33593.07,M1313245003,0.0,0.0
156,CASH_OUT,374078.31,C1570700333,349635.0,0.0,C1962352121,0.0,374078.31
156,CASH_OUT,43822.6,C1599485376,0.0,0.0,C1694067167,672552.61,716375.21
156,CASH_OUT,195644.31,C657004161,60090.0,0.0,C2001112025,7316937.95,7308617.15
156,PAYMENT,11752.49,C1563406832,215.0,0.0,M2004505068,0.0,0.0
156,CASH_OUT,75934.2,C426545910,9067.0,0.0,C1675814415,377938.61,453872.81
156,CASH_IN,362858.5,C1990066756,5457.0,368315.5,C1345611251,0.0,0.0
156,CASH_OUT,30801.23,C1444842838,368315.5,337514.27,C1109537115,1352800.29,1383601.52
156,CASH_OUT,192875.48,C1934512968,10052.0,0.0,C1310808555,45143.67,238019.15
156,CASH_OUT,167186.27,C239633653,623.0,0.0,C1517408741,4440583.94,4607770.21
156,PAYMENT,4325.22,C146946906,61191.0,56865.78,M714367785,0.0,0.0
156,PAYMENT,13105.52,C725725472,40327.0,27221.48,M1642391441,0.0,0.0
156,CASH_OUT,436929.53,C2019891228,27221.48,0.0,C438145297,853929.81,1290859.34
156,CASH_IN,326394.39,C1910612242,226.0,326620.39,C1224461738,613591.31,287196.92
156,CASH_OUT,401594.26,C1469040319,34385.0,0.0,C852760230,1131436.23,1533030.49
156,CASH_OUT,43619.89,C286358448,0.0,0.0,C2116038737,1.109468758E7,1.113830747E7
156,CASH_OUT,208101.8,C1097081974,0.0,0.0,C1900283557,301384.47,509486.28
156,CASH_OUT,299711.62,C1030874233,0.0,0.0,C464503817,536820.72,836532.34
156,CASH_OUT,246426.07,C350381910,0.0,0.0,C1210005080,251581.27,498007.35
156,CASH_OUT,521897.74,C246698625,0.0,0.0,C1394763353,920152.41,1442050.15
156,CASH_OUT,286151.14,C1846775989,0.0,0.0,C664190997,491005.14,777156.28
156,CASH_OUT,371425.23,C1559487266,0.0,0.0,C316486913,8007896.86,8379322.09
156,CASH_OUT,45304.62,C1529673533,0.0,0.0,C257507293,8213619.98,8258924.59
156,CASH_OUT,197563.72,C1998624387,0.0,0.0,C2011238233,701129.88,898693.61
156,CASH_OUT,216253.91,C88352490,26.0,0.0,C101837421,14648.23,230902.13
156,PAYMENT,4376.42,C1189953427,0.0,0.0,M2059713900,0.0,0.0
156,PAYMENT,12180.96,C161724473,19079.0,6898.04,M771013777,0.0,0.0
156,CASH_IN,16403.27,C46796571,6073.0,22476.27,C2118430445,1254431.4,1238028.13
156,CASH_OUT,244117.38,C1564147187,51148.0,0.0,C670290460,485835.17,729952.55
156,PAYMENT,10846.5,C1229779997,0.0,0.0,M1104464273,0.0,0.0
156,CASH_OUT,75086.91,C322217063,546.0,0.0,C704679150,0.0,75086.91
156,PAYMENT,6496.14,C434837143,0.0,0.0,M933881259,0.0,0.0
156,PAYMENT,21197.45,C1356212878,0.0,0.0,M1719118703,0.0,0.0
156,CASH_OUT,153567.27,C661210776,77905.0,0.0,C1644217860,1192266.55,1345833.82
156,PAYMENT,6464.23,C1595239267,35769.0,29304.77,M1047967829,0.0,0.0
156,CASH_OUT,85974.77,C1694584871,29304.77,0.0,C1539980245,110637.69,196612.47
156,DEBIT,4841.07,C145856409,177.0,0.0,C1553544928,297632.82,302473.9
156,TRANSFER,409897.78,C2081139615,202685.0,0.0,C2055593048,763575.16,1173472.94
156,CASH_IN,423022.92,C2008289371,32274.0,455296.92,C213728761,416989.62,0.0
156,CASH_IN,67022.33,C417064674,20001.0,87023.33,C231170388,800146.45,733124.11
156,CASH_OUT,389246.11,C475182911,2256.0,0.0,C1313772373,0.0,389246.11
156,TRANSFER,2056377.18,C1034199161,24646.0,0.0,C463790610,1468268.09,3524645.28
156,CASH_IN,239019.08,C1791318366,31476.0,270495.08,C62097833,3374448.78,3135429.71
156,PAYMENT,1653.61,C770592274,56844.0,55190.39,M604831711,0.0,0.0
156,PAYMENT,7380.46,C1018373199,55190.39,47809.92,M2096928046,0.0,0.0
156,PAYMENT,10382.83,C599640701,47809.92,37427.09,M1619803090,0.0,0.0
156,PAYMENT,858.0,C1161358032,37427.09,36569.09,M1567965884,0.0,0.0
156,PAYMENT,17669.82,C274109773,36569.09,18899.27,M293957182,0.0,0.0
156,PAYMENT,21047.04,C334067892,18899.27,0.0,M1694410967,0.0,0.0
156,PAYMENT,8156.9,C1084667384,0.0,0.0,M2062079820,0.0,0.0
156,PAYMENT,9292.29,C572275837,0.0,0.0,M867537145,0.0,0.0
156,PAYMENT,1961.05,C1187637762,0.0,0.0,M2049378080,0.0,0.0
156,PAYMENT,11908.53,C958084045,0.0,0.0,M649485903,0.0,0.0
156,PAYMENT,4888.92,C791030113,0.0,0.0,M1845110178,0.0,0.0
156,PAYMENT,3012.71,C228587147,0.0,0.0,M433030481,0.0,0.0
156,PAYMENT,1041.16,C121428520,0.0,0.0,M995571800,0.0,0.0
156,PAYMENT,4050.59,C1225697815,0.0,0.0,M739138410,0.0,0.0
156,PAYMENT,8003.33,C1291987289,0.0,0.0,M1335188825,0.0,0.0
