step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
512,TRANSFER,684266.09,C1873188115,684266.09,0.0,C315115812,0.0,0.0
512,CASH_OUT,684266.09,C867732679,684266.09,0.0,C1122391470,76615.04,760881.13
512,TRANSFER,1319703.76,C1305247312,1319703.76,0.0,C2071973719,0.0,0.0
512,CASH_OUT,1319703.76,C213706912,1319703.76,0.0,C961243143,1629051.49,2948755.26
512,TRANSFER,8991625.83,C1466563113,8991625.83,0.0,C1693955122,0.0,0.0
512,CASH_OUT,8991625.83,C549493431,8991625.83,0.0,C1727929401,2195033.03,1.118665886E7
512,TRANSFER,430207.22,C248536577,430207.22,0.0,C1475442278,0.0,0.0
512,CASH_OUT,430207.22,C1698844307,430207.22,0.0,C1470257177,148478.49,578685.71
512,TRANSFER,718350.64,C1354307131,718350.64,0.0,C2111981728,0.0,0.0
512,CASH_OUT,718350.64,C474888989,718350.64,0.0,C234115776,0.0,718350.64
512,TRANSFER,127120.88,C139582618,127120.88,0.0,C574551822,0.0,0.0
512,CASH_OUT,127120.88,C130072062,127120.88,0.0,C681167784,2605727.43,2732848.31
