step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
428,CASH_IN,100499.88,C2107817613,123980.0,224479.88,C2067926641,87853.17,0.0
428,PAYMENT,3378.43,C105845937,11170.0,7791.57,M1300786648,0.0,0.0
428,CASH_OUT,68752.44,C2144886298,7791.57,0.0,C2100246770,938692.27,1007444.71
428,DEBIT,435.47,C401002938,54826.0,54390.53,C1623190911,384373.1,384808.57
428,CASH_IN,206718.67,C1777509739,18169.0,224887.67,C1053168008,177592.86,0.0
428,CASH_IN,149842.04,C1729819424,9676.0,159518.04,C2086857589,319086.73,169244.68
428,TRANSFER,58443.32,C1519339863,2209.0,0.0,C661165856,69790.02,128233.34
428,CASH_OUT,103576.92,C2076518589,156120.0,52543.08,C1888927279,0.0,103576.92
428,CASH_OUT,254724.2,C123732819,68155.0,0.0,C1912911229,620954.1,875678.31
428,CASH_IN,50485.15,C936604524,51382.0,101867.15,C993442191,0.0,0.0
428,CASH_IN,81397.98,C389431600,14272.0,95669.98,C64869448,117375.71,35977.73
428,CASH_OUT,173672.62,C1172571051,10569.0,0.0,C1969627695,2643448.2,2817120.81
428,CASH_IN,186343.05,C1117383391,5152.0,191495.05,C605958733,0.0,0.0
428,PAYMENT,1088.16,C1853733363,27885.0,26796.84,M1273453261,0.0,0.0
428,CASH_OUT,172607.06,C779874625,26796.84,0.0,C1840155375,231560.87,404167.93
428,CASH_OUT,267270.47,C590948675,62362.0,0.0,C196194070,844447.16,1111717.63
428,PAYMENT,1779.57,C545828598,8306.0,6526.43,M1372109080,0.0,0.0
428,PAYMENT,6130.38,C550022041,22135.0,16004.62,M1255271922,0.0,0.0
428,CASH_OUT,54454.57,C801834304,675.0,0.0,C1157779044,0.0,54454.57
428,PAYMENT,7813.16,C996108760,6806.0,0.0,M1588500809,0.0,0.0
428,CASH_OUT,93656.35,C466964755,10497.0,0.0,C1782052640,0.0,93656.35
428,PAYMENT,17206.64,C1824761388,0.0,0.0,M739382213,0.0,0.0
428,PAYMENT,1185.18,C106738655,11847.0,10661.82,M925906894,0.0,0.0
428,CASH_OUT,30011.16,C1186141634,10661.82,0.0,C37728871,2063077.57,2093088.73
428,CASH_IN,128333.91,C2047064810,62467.0,190800.91,C1083091818,186512.07,58178.15
428,TRANSFER,710524.17,C430058558,2098.0,0.0,C568597279,178775.43,889299.6
428,CASH_OUT,316720.98,C790296195,0.0,0.0,C595808742,807103.06,1123824.04
428,CASH_OUT,73319.98,C1901722535,55306.0,0.0,C309653261,91658.92,164978.9
428,PAYMENT,6007.22,C376101772,19763.0,13755.78,M505530019,0.0,0.0
428,CASH_OUT,259466.49,C1727501578,22867.0,0.0,C230264331,55578.87,315045.35
428,PAYMENT,6558.01,C1481494192,16.0,0.0,M414963854,0.0,0.0
428,CASH_IN,56887.43,C138346980,3647.0,60534.43,C1244873039,13753.6,0.0
428,TRANSFER,399064.59,C1379572268,11371.0,0.0,C1805955128,177686.81,576751.41
428,PAYMENT,4407.76,C1689577109,16567.0,12159.24,M579677477,0.0,0.0
428,PAYMENT,9044.82,C1380788401,12159.24,3114.42,M1411396398,0.0,0.0
428,CASH_OUT,7238.65,C400811889,116950.0,109711.35,C732066730,705821.44,713060.09
428,CASH_IN,33668.35,C1556878509,143978.0,177646.35,C1446746608,6386143.74,6352475.39
428,PAYMENT,2074.44,C1744811813,15031.0,12956.56,M848511415,0.0,0.0
428,CASH_OUT,2417.97,C985915643,11845.0,9427.03,C606879631,9527476.42,9529894.39
428,CASH_IN,69238.25,C110555762,155156.0,224394.25,C394510638,65331.7,0.0
428,PAYMENT,2829.28,C474622746,26970.0,24140.72,M888954845,0.0,0.0
428,PAYMENT,11075.71,C287159681,24140.72,13065.01,M547995826,0.0,0.0
428,PAYMENT,19559.26,C1836461382,13065.01,0.0,M992118146,0.0,0.0
428,PAYMENT,11757.51,C1206886106,0.0,0.0,M690846405,0.0,0.0
428,PAYMENT,4865.28,C1970106043,0.0,0.0,M1523378945,0.0,0.0
428,PAYMENT,2546.63,C1634645964,0.0,0.0,M592904822,0.0,0.0
428,PAYMENT,28248.81,C1037150225,0.0,0.0,M7915593,0.0,0.0
428,PAYMENT,74796.27,C339533661,0.0,0.0,M266545950,0.0,0.0
428,PAYMENT,8006.44,C1061325779,0.0,0.0,M2034116338,0.0,0.0
428,PAYMENT,14469.57,C185256127,0.0,0.0,M489138459,0.0,0.0
428,CASH_IN,90640.82,C915453311,101966.0,192606.82,C341113965,888355.23,797714.42
428,PAYMENT,12347.97,C1049693417,11296.0,0.0,M1669559476,0.0,0.0
428,CASH_OUT,192274.78,C1129080494,104073.0,0.0,C329858030,1434164.6,1626439.38
428,CASH_OUT,40400.78,C1891895541,50463.0,10062.22,C195109544,0.0,40400.78
428,CASH_OUT,176664.0,C1183102016,14465.0,0.0,C709793839,118219.93,294883.93
428,PAYMENT,7242.21,C1054498544,113538.0,106295.79,M503522963,0.0,0.0
