step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
390,TRANSFER,1084144.37,C1924115884,1084144.37,0.0,C717644112,0.0,0.0
390,CASH_OUT,1084144.37,C1515227045,1084144.37,0.0,C1377230144,13948.07,1098092.44
390,TRANSFER,4525901.25,C220187177,4525901.25,0.0,C1783675813,0.0,0.0
390,CASH_OUT,4525901.25,C1633782,4525901.25,0.0,C1970845004,0.0,4525901.25
390,TRANSFER,1195842.37,C257290900,1195842.37,0.0,C1552849727,0.0,0.0
390,CASH_OUT,1195842.37,C1374040436,1195842.37,0.0,C245564009,0.0,1195842.37
390,TRANSFER,208868.36,C2032939648,208868.36,0.0,C576448483,0.0,0.0
390,CASH_OUT,208868.36,C1027606228,208868.36,0.0,C1691226425,78757.57,287625.93
390,TRANSFER,964544.37,C1375978020,964544.37,0.0,C629649964,0.0,0.0
390,CASH_OUT,964544.37,C1623372481,964544.37,0.0,C1813204212,0.0,964544.37
390,TRANSFER,638693.49,C2028086379,638693.49,0.0,C1948809039,0.0,0.0
390,CASH_OUT,638693.49,C1168767749,638693.49,0.0,C557403398,328882.51,967576.0
