step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
669,CASH_IN,11233.12,C1716256575,132.0,11365.12,C1142264498,0.0,0.0
669,CASH_IN,161676.09,C605423913,50475.0,212151.09,C668171404,638834.41,477158.32
669,CASH_OUT,206329.12,C96512847,21105.0,0.0,C72399789,250322.47,456651.59
669,TRANSFER,153057.42,C388805260,115881.0,0.0,C227385099,0.0,153057.42
669,CASH_OUT,121495.91,C774313297,401.0,0.0,C304909156,2828932.38,2950428.29
669,PAYMENT,6929.26,C980160253,20122.0,13192.74,M980828204,0.0,0.0
669,CASH_OUT,302658.78,C1211907388,13192.74,0.0,C1427729426,422893.39,725552.18
669,PAYMENT,5459.36,C1588012279,20421.0,14961.64,M82235960,0.0,0.0
669,PAYMENT,5851.4,C211387816,14961.64,9110.25,M635800794,0.0,0.0
669,PAYMENT,23205.92,C1107461133,9110.25,0.0,M1883765095,0.0,0.0
669,CASH_OUT,49696.93,C808687106,170299.0,120602.07,C1735381848,0.0,49696.93
669,PAYMENT,12587.05,C960057218,120602.07,108015.02,M1875744324,0.0,0.0
669,PAYMENT,8596.99,C546231835,11805.0,3208.01,M211928974,0.0,0.0
669,CASH_OUT,65089.92,C2140658887,20253.0,0.0,C482652859,7442415.59,7507505.51
669,PAYMENT,8594.6,C2095782599,80808.0,72213.4,M704849231,0.0,0.0
669,PAYMENT,10032.04,C681318966,166.0,0.0,M1764530694,0.0,0.0
669,CASH_OUT,174485.67,C1295354054,203599.0,29113.33,C886886655,0.0,174485.67
669,CASH_OUT,197602.55,C2125460850,49556.0,0.0,C1075587827,1.324427202E7,1.344187457E7
669,PAYMENT,5539.97,C917114171,307376.0,301836.03,M995839298,0.0,0.0
669,PAYMENT,7760.93,C1523159383,2310.0,0.0,M1531771673,0.0,0.0
669,CASH_IN,11520.55,C1030354590,165.0,11685.55,C155473187,151849.47,140328.93
669,TRANSFER,282177.25,C1547279660,6012.0,0.0,C136214995,13105.82,295283.07
669,CASH_OUT,237124.38,C1248656597,20487.0,0.0,C2024472700,214814.1,451938.48
669,PAYMENT,310.99,C1984189106,0.0,0.0,M82548706,0.0,0.0
669,PAYMENT,35773.01,C346794670,0.0,0.0,M957118138,0.0,0.0
669,CASH_OUT,31729.64,C1829331691,20199.0,0.0,C1401631587,0.0,31729.64
669,TRANSFER,193874.8,C897952815,74758.0,0.0,C1674576606,133112.96,326987.76
669,PAYMENT,14033.92,C2083688171,24316.0,10282.08,M651271793,0.0,0.0
669,PAYMENT,9339.42,C6930042,59376.0,50036.58,M412458636,0.0,0.0
669,PAYMENT,8021.61,C1882726051,50036.58,42014.97,M1521493187,0.0,0.0
669,CASH_OUT,172727.89,C401066881,105050.0,0.0,C918180380,7375795.77,7548523.67
669,CASH_OUT,9073.61,C598889999,0.0,0.0,C1239661879,2828299.8,2837373.4
