step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
153,TRANSFER,2039459.2,C787246958,80.0,0.0,C1594213141,535239.9,2574699.1
153,TRANSFER,354947.15,C346674324,37886.0,0.0,C1675844525,2206462.2,2561409.36
153,PAYMENT,6225.56,C180020673,639501.0,633275.44,M178645933,0.0,0.0
153,CASH_OUT,21139.48,C1207923336,16834.0,0.0,C1985505928,33929.0,55068.48
153,CASH_OUT,134639.33,C489161623,16095.0,0.0,C1247735155,0.0,134639.33
153,PAYMENT,13418.26,C1088514334,59952.0,46533.74,M1706822188,0.0,0.0
153,CASH_IN,272185.07,C1500208929,15108.0,287293.07,C254112900,0.0,0.0
153,CASH_OUT,230601.67,C75680544,782430.0,551828.33,C1393260086,0.0,230601.67
153,CASH_OUT,100659.26,C1340144439,5553.0,0.0,C1482067621,903724.76,1004384.02
153,TRANSFER,114691.13,C1250452877,85865.0,0.0,C273454778,144877.94,259569.07
153,PAYMENT,4017.55,C1234807210,0.0,0.0,M1532010610,0.0,0.0
153,CASH_OUT,32092.78,C329367916,314974.0,282881.22,C2001232410,0.0,32092.78
153,CASH_OUT,279986.3,C437021336,9148.0,0.0,C1917070345,870705.64,1150691.93
153,PAYMENT,2174.65,C517751946,0.0,0.0,M1087448083,0.0,0.0
153,PAYMENT,429.67,C1566975940,41907.0,41477.33,M608689754,0.0,0.0
153,PAYMENT,26282.62,C1480799820,41477.33,15194.71,M293298411,0.0,0.0
153,PAYMENT,1341.81,C2102344967,15194.71,13852.9,M1742768634,0.0,0.0
153,CASH_IN,263600.69,C651174428,21131.0,284731.69,C1869935345,906417.93,642817.24
153,CASH_OUT,434016.27,C1818653205,43457.0,0.0,C1002057348,2257644.49,2691660.76
153,PAYMENT,39888.25,C1757797787,0.0,0.0,M185148960,0.0,0.0
153,PAYMENT,24271.85,C753804703,0.0,0.0,M1934036173,0.0,0.0
153,CASH_OUT,60123.96,C891825723,67362.0,7238.04,C1438132549,0.0,60123.96
153,TRANSFER,276022.9,C2001876632,198931.0,0.0,C261122623,1962010.88,2238033.78
153,CASH_OUT,194105.41,C718087984,13464.0,0.0,C1297203428,148737.94,342843.36
153,CASH_OUT,406735.67,C1638361024,43872.0,0.0,C1680049074,97634.62,504370.29
153,PAYMENT,17620.44,C361415737,0.0,0.0,M1938478822,0.0,0.0
153,PAYMENT,19076.28,C809343744,14059.0,0.0,M1795060640,0.0,0.0
153,CASH_OUT,453804.49,C689359306,86470.0,0.0,C1088844174,0.0,453804.49
153,PAYMENT,6356.41,C210634728,20122.0,13765.59,M1345812706,0.0,0.0
153,CASH_OUT,19850.29,C1229808183,42072.0,22221.71,C1143936579,13026.3,32876.59
153,CASH_IN,315459.26,C1443539533,10404.0,325863.26,C1671320453,924075.46,608616.2
153,PAYMENT,15222.14,C717706787,325863.26,310641.12,M1104989169,0.0,0.0
