step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
714,CASH_OUT,117672.32,C160724311,13075.0,0.0,C1647436417,2837484.6,2955156.92
714,PAYMENT,3767.22,C951873638,1200.0,0.0,M2101111337,0.0,0.0
714,CASH_OUT,10061.05,C80643928,20344.0,10282.95,C683335177,1.477288709E7,1.478294815E7
714,CASH_OUT,298652.16,C777679963,96425.0,0.0,C1536331651,3185290.25,3483942.42
714,PAYMENT,21611.82,C1975393974,117.0,0.0,M1800232714,0.0,0.0
714,PAYMENT,547.58,C466219388,2035.0,1487.42,M1716303602,0.0,0.0
714,CASH_OUT,152575.75,C1669484323,3024.0,0.0,C512612836,725428.6,878004.34
714,PAYMENT,10070.23,C1656158550,50774.0,40703.77,M908113517,0.0,0.0
714,TRANSFER,796041.09,C894987645,49585.0,0.0,C1222077427,675613.15,1471654.23
714,CASH_OUT,173840.91,C1154668450,243.0,0.0,C1693954088,0.0,173840.91
714,CASH_OUT,243430.5,C301726247,147120.0,0.0,C2008377209,38237.03,281667.53
714,CASH_OUT,194869.0,C576431531,30662.0,0.0,C504476195,288208.23,483077.22
714,CASH_OUT,172500.47,C1411254040,40787.0,0.0,C1369689201,375180.49,547680.97
714,CASH_OUT,178741.65,C103003646,101815.0,0.0,C1246672954,2570.59,181312.24
714,CASH_OUT,212582.9,C1212632543,382362.0,169779.1,C1465940324,0.0,212582.9
714,CASH_IN,51334.24,C927915905,20597.0,71931.24,C571654583,2949209.84,2897875.59
714,TRANSFER,849404.94,C323758263,113869.0,0.0,C1641040415,0.0,849404.94
714,CASH_OUT,265043.3,C140243813,57836.0,0.0,C1904138948,922641.0,1187684.3
714,CASH_IN,301564.38,C2055237124,21487.0,323051.38,C138596462,3623167.47,3321603.09
714,DEBIT,3070.64,C1005786114,23.0,0.0,C60107725,53081.8,56152.45
714,CASH_OUT,69170.91,C1225296475,5544.0,0.0,C2033484996,3488771.81,3557942.72
714,PAYMENT,694.42,C505383108,10477.0,9782.58,M1729508685,0.0,0.0
714,CASH_OUT,175959.76,C1155956393,22248.0,0.0,C158538273,96280.95,272240.7
714,CASH_OUT,83562.88,C1227980348,79031.0,0.0,C105379411,96665.15,180228.03
714,CASH_IN,260219.32,C730502774,482076.0,742295.32,C1709429298,31675.2,0.0
714,PAYMENT,2328.13,C2103472663,51491.0,49162.87,M168056868,0.0,0.0
714,PAYMENT,3868.57,C1216743366,158.0,0.0,M935334278,0.0,0.0
714,PAYMENT,13828.91,C1229860259,499791.0,485962.09,M1638111702,0.0,0.0
714,PAYMENT,11518.24,C425925139,19200.0,7681.76,M773354648,0.0,0.0
714,CASH_IN,226765.18,C369321933,25391.0,252156.18,C150363756,1496693.48,1269928.3
714,PAYMENT,9299.07,C1796415986,23112.0,13812.93,M1788943617,0.0,0.0
714,CASH_OUT,296756.81,C133175417,768.0,0.0,C1582113538,76861.85,373618.65
714,CASH_OUT,327596.77,C180369989,102715.0,0.0,C570148047,90074.79,417671.56
714,CASH_OUT,186124.35,C2016314974,145386.0,0.0,C1009437179,1300259.49,1486383.84
714,CASH_OUT,315092.37,C436589903,15376.0,0.0,C1529606534,0.0,315092.37
714,CASH_IN,86782.35,C489764262,30356.0,117138.35,C1148262597,90233.53,3451.18
714,CASH_IN,114497.89,C380122711,42470.0,156967.89,C1023690693,347639.09,233141.2
714,PAYMENT,13247.47,C448286378,28918.0,15670.53,M774070047,0.0,0.0
714,PAYMENT,4481.2,C975950712,11031.0,6549.8,M1843806436,0.0,0.0
714,CASH_IN,253062.09,C896765676,471.0,253533.09,C802557150,0.0,0.0
714,PAYMENT,16096.55,C18670842,15245.0,0.0,M1707624370,0.0,0.0
714,PAYMENT,1865.79,C989252239,164.0,0.0,M333133779,0.0,0.0
714,PAYMENT,12306.61,C1963338342,189.0,0.0,M1389627043,0.0,0.0
714,CASH_OUT,83994.21,C1585061060,42165.0,0.0,C1516475312,131455.5,215449.71
714,CASH_IN,57600.17,C341171575,30589.0,88189.17,C1602555107,278700.4,221100.24
714,CASH_OUT,416053.77,C1346670721,42764.0,0.0,C1679290999,1699467.43,2115521.2
714,CASH_OUT,225281.83,C576152884,21052.0,0.0,C1167363757,2942085.45,3167367.28
714,CASH_OUT,114561.21,C742773126,16604.0,0.0,C1996749312,0.0,114561.21
714,TRANSFER,684291.78,C373362460,9544.0,0.0,C110783307,2245270.98,2929562.76
