step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
483,PAYMENT,891.83,C995723496,14713.0,13821.17,M869837936,0.0,0.0
483,PAYMENT,478.46,C678374734,162.0,0.0,M1365591176,0.0,0.0
483,PAYMENT,2201.63,C638355588,0.0,0.0,M1346439961,0.0,0.0
483,PAYMENT,22221.37,C18176258,0.0,0.0,M2058296492,0.0,0.0
483,PAYMENT,2092.95,C942007253,27138.0,25045.05,M1617182219,0.0,0.0
483,CASH_IN,15709.61,C1259513420,25045.05,40754.66,C935137504,27973.21,12263.6
483,CASH_IN,381045.86,C1239058942,40754.66,421800.52,C727058222,698489.77,317443.91
483,CASH_IN,124287.57,C1593241691,421800.52,546088.08,C1613022077,261901.33,137613.77
483,CASH_IN,256498.49,C522389992,546088.08,802586.58,C2021659488,456117.75,199619.26
483,CASH_IN,189306.97,C1096674438,802586.58,991893.55,C2007094,272203.6,82896.63
483,CASH_IN,238011.13,C1549076522,991893.55,1229904.68,C2053006254,2.181408416E7,2.157607303E7
483,CASH_IN,267579.85,C902320083,1229904.68,1497484.52,C638049850,4142594.32,3875014.48
483,CASH_IN,238709.16,C849571019,1497484.52,1736193.68,C132253946,1239910.23,1001201.07
483,CASH_IN,246999.84,C473206725,1736193.68,1983193.53,C81786496,456015.94,209016.1
483,CASH_IN,214786.41,C1750388785,1983193.53,2197979.94,C888136899,1072192.82,857406.41
483,CASH_IN,67981.13,C529902655,2197979.94,2265961.07,C1233857647,477629.55,409648.42
483,CASH_IN,32475.01,C913919538,2265961.07,2298436.08,C1560225329,41556.37,9081.36
483,CASH_IN,89190.89,C235648415,2298436.08,2387626.98,C160183918,337438.15,248247.26
483,CASH_IN,17760.45,C1083189559,2387626.98,2405387.43,C2047997211,899910.33,882149.89
483,CASH_IN,145672.9,C1918275918,2405387.43,2551060.33,C1836654680,391148.9,245475.99
483,CASH_IN,106509.35,C237132264,2551060.33,2657569.68,C1877379218,5987931.11,5881421.76
483,CASH_IN,386033.59,C1565958910,2657569.68,3043603.27,C660001305,897012.92,510979.33
483,CASH_IN,162870.12,C483320306,3043603.27,3206473.39,C245860346,2685761.28,2522891.16
