step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
272,TRANSFER,177022.52,C892131822,177022.52,0.0,C844865785,0.0,0.0
272,CASH_OUT,177022.52,C255226263,177022.52,0.0,C670534331,769094.97,946117.49
272,TRANSFER,580673.57,C851163410,580673.57,0.0,C266966144,0.0,0.0
272,CASH_OUT,580673.57,C495744024,580673.57,0.0,C142420286,374132.53,954806.1
272,TRANSFER,5141769.94,C41354044,5141769.94,0.0,C1312570862,0.0,0.0
272,CASH_OUT,5141769.94,C404738794,5141769.94,0.0,C1742374536,0.0,5141769.94
272,TRANSFER,253672.83,C1443107751,253672.83,0.0,C1668585491,0.0,0.0
272,CASH_OUT,253672.83,C1723448657,253672.83,0.0,C413656586,0.0,253672.83
272,TRANSFER,1061353.33,C1550662745,1061353.33,0.0,C1094321538,0.0,0.0
272,CASH_OUT,1061353.33,C981675452,1061353.33,0.0,C679318933,520498.51,1581851.84
272,TRANSFER,166972.46,C1290569824,166972.46,0.0,C771431962,0.0,0.0
272,CASH_OUT,166972.46,C1729423257,166972.46,0.0,C1949981498,9314.02,176286.48
