step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
393,TRANSFER,987954.68,C429120086,58325.0,0.0,C1815766222,0.0,987954.68
393,CASH_OUT,46227.33,C102254568,646589.0,600361.67,C746004598,467299.29,513526.62
393,PAYMENT,59361.25,C1600164391,959.0,0.0,M1046438276,0.0,0.0
393,PAYMENT,26442.95,C957963635,40008.0,13565.05,M2105174719,0.0,0.0
393,PAYMENT,14785.54,C651177629,13565.05,0.0,M1673930882,0.0,0.0
393,PAYMENT,6140.35,C273089356,186.0,0.0,M1044819049,0.0,0.0
393,CASH_OUT,216910.44,C432396794,51961.0,0.0,C860418160,3407064.26,3623974.7
393,CASH_OUT,108493.08,C1268084856,84541.0,0.0,C1743578155,140441.56,248934.64
393,PAYMENT,29360.54,C1667254053,22392.0,0.0,M1758370500,0.0,0.0
393,CASH_OUT,83639.02,C1601410094,15983.0,0.0,C1972838710,0.0,83639.02
393,PAYMENT,8811.66,C1065691400,142217.0,133405.34,M1581062322,0.0,0.0
393,TRANSFER,5590568.73,C1111073035,20906.0,0.0,C1918625944,76087.9,5666656.63
393,CASH_OUT,237464.09,C27824006,154584.0,0.0,C2116708487,107377.07,344841.16
393,PAYMENT,19337.34,C393427922,10595.0,0.0,M566057222,0.0,0.0
393,PAYMENT,7867.08,C780371395,24262.0,16394.92,M1804794666,0.0,0.0
393,CASH_OUT,183306.55,C1697771553,16394.92,0.0,C199331083,1054245.99,1237552.54
393,CASH_OUT,304870.14,C772792552,83378.0,0.0,C390968449,641561.49,946431.63
393,CASH_OUT,239700.21,C470865271,29765.0,0.0,C864830599,11159.46,250859.67
393,CASH_OUT,25633.87,C1621567092,802.0,0.0,C1953984881,349032.01,374665.87
393,CASH_OUT,81672.29,C184378041,0.0,0.0,C262306503,154518.02,236190.31
393,CASH_OUT,290895.7,C1537530798,0.0,0.0,C1391236287,462401.0,753296.7
393,CASH_IN,283248.66,C1090852544,31126.0,314374.66,C391410304,0.0,0.0
393,CASH_OUT,72857.96,C415767570,552384.0,479526.04,C430067652,1174588.83,1247446.79
393,PAYMENT,48946.76,C2034322712,479526.04,430579.28,M80052277,0.0,0.0
393,PAYMENT,30053.1,C1839146363,430579.28,400526.18,M896506966,0.0,0.0
393,PAYMENT,43993.52,C1186283118,400526.18,356532.66,M1851378341,0.0,0.0
393,PAYMENT,68103.63,C2063179496,356532.66,288429.04,M859644109,0.0,0.0
393,PAYMENT,10168.29,C1544830602,288429.04,278260.75,M2084096847,0.0,0.0
393,PAYMENT,28888.85,C1241515262,278260.75,249371.9,M274820667,0.0,0.0
393,PAYMENT,5049.14,C1845293779,249371.9,244322.76,M1470381712,0.0,0.0
393,PAYMENT,32078.27,C491386734,244322.76,212244.48,M113398346,0.0,0.0
393,PAYMENT,29723.52,C211960363,212244.48,182520.97,M2047131025,0.0,0.0
393,PAYMENT,12975.7,C681887544,182520.97,169545.27,M1012961380,0.0,0.0
393,CASH_IN,440039.66,C575483609,1644.0,441683.66,C71650575,0.0,0.0
393,PAYMENT,14812.34,C2113599284,2048.0,0.0,M1936286388,0.0,0.0
393,PAYMENT,43635.81,C1261584141,11338.0,0.0,M4389716,0.0,0.0
393,CASH_OUT,94252.06,C715915071,217.0,0.0,C847435419,68132.34,162384.4
393,CASH_OUT,306406.62,C317670428,59790.0,0.0,C575916229,200861.25,507267.87
393,TRANSFER,1799072.94,C1216338715,289681.0,0.0,C1524982846,1695272.35,3494345.29
393,TRANSFER,4663126.04,C1601179931,0.0,0.0,C1628519207,2.097376923E7,2.563689527E7
393,TRANSFER,600265.35,C710369229,0.0,0.0,C1646300362,5337045.38,5937310.73
393,CASH_OUT,54939.71,C1123033407,25533.0,0.0,C1519382338,3467018.31,3521958.02
393,PAYMENT,39096.63,C1960942969,173.0,0.0,M726049335,0.0,0.0
393,CASH_OUT,143648.55,C1006582181,2002.0,0.0,C1499263471,15985.2,159633.75
393,PAYMENT,4948.61,C2017795644,20053.0,15104.39,M3624472,0.0,0.0
393,CASH_OUT,138920.18,C511574835,1337.0,0.0,C1731136926,0.0,138920.18
393,CASH_OUT,38713.47,C1552819016,30545.0,0.0,C149648393,203333.22,242046.69
393,CASH_IN,325117.55,C208302619,157168.0,482285.55,C921193821,132057.54,0.0
393,CASH_OUT,78434.76,C915909120,179.0,0.0,C1707032645,0.0,78434.76
393,CASH_OUT,552998.65,C1478381690,0.0,0.0,C863019629,1565965.7,2118964.35
393,CASH_OUT,154976.62,C1965538386,0.0,0.0,C684526969,1846340.32,2001316.94
393,CASH_OUT,140484.78,C704832071,0.0,0.0,C1502451453,214831.97,355316.75
393,CASH_OUT,340351.57,C558799533,0.0,0.0,C1255760277,2390077.54,2730429.11
393,CASH_OUT,39114.75,C200901502,0.0,0.0,C945456570,434336.45,473451.2
393,CASH_OUT,192211.19,C1131703167,0.0,0.0,C666049775,816793.22,1009004.41
393,CASH_OUT,236040.24,C2128193932,0.0,0.0,C173455195,620551.92,856592.16
393,CASH_OUT,31757.97,C722984712,0.0,0.0,C849045515,80454.28,112212.25
393,CASH_OUT,197308.45,C1815239527,0.0,0.0,C369041899,1401034.41,1598342.86
393,CASH_OUT,150149.04,C217967117,0.0,0.0,C359623589,585155.64,735304.67
393,CASH_OUT,188206.93,C1062971351,0.0,0.0,C2138779578,452273.08,640480.01
393,CASH_OUT,29859.62,C715243691,0.0,0.0,C769341795,1614503.01,1644362.62
393,CASH_OUT,36822.75,C1421238267,0.0,0.0,C1053918434,454224.35,491047.1
393,CASH_OUT,144076.2,C930642658,0.0,0.0,C75011604,9210073.08,8940020.76
393,CASH_OUT,34197.07,C1434388165,0.0,0.0,C22746650,121744.41,155941.48
393,CASH_OUT,449986.22,C1904160857,0.0,0.0,C2116848270,1599507.24,2049493.46
393,CASH_OUT,219502.79,C399564810,0.0,0.0,C1413443703,2175005.36,2394508.15
393,CASH_OUT,230140.39,C1670063992,11359.0,0.0,C1861343965,2297079.57,2527219.96
393,PAYMENT,18916.52,C1315921122,1342.0,0.0,M1184518286,0.0,0.0
393,CASH_OUT,70143.56,C1457141991,19795.0,0.0,C60381476,58068.97,128212.52
393,PAYMENT,30175.78,C1825600931,0.0,0.0,M1483521175,0.0,0.0
393,PAYMENT,1789.56,C1290176820,0.0,0.0,M1274842447,0.0,0.0
393,PAYMENT,28573.73,C611222782,0.0,0.0,M433786080,0.0,0.0
393,PAYMENT,61340.46,C1636600262,0.0,0.0,M1312159309,0.0,0.0
393,PAYMENT,20592.0,C506253825,0.0,0.0,M1599172904,0.0,0.0
393,PAYMENT,51712.25,C1511391677,0.0,0.0,M1005585196,0.0,0.0
393,PAYMENT,7776.69,C1135899273,0.0,0.0,M397972454,0.0,0.0
393,PAYMENT,32286.01,C2110354245,0.0,0.0,M1176233651,0.0,0.0
393,PAYMENT,10945.53,C651945155,0.0,0.0,M1974428765,0.0,0.0
393,PAYMENT,17254.0,C1128948470,21693.0,4439.0,M1518152274,0.0,0.0
393,PAYMENT,20046.34,C595144738,4439.0,0.0,M771372444,0.0,0.0
393,CASH_IN,225388.21,C1027063559,766458.0,991846.21,C14694719,2887389.32,2662001.11
393,TRANSFER,188443.41,C237714761,23813.0,0.0,C101755123,5991005.58,6179448.99
393,PAYMENT,9399.06,C1681519758,45070.0,35670.94,M412318528,0.0,0.0
393,PAYMENT,13024.62,C408690898,141.0,0.0,M1330284517,0.0,0.0
393,CASH_IN,167391.01,C1685886726,21520.0,188911.01,C764695470,568049.09,400658.08
393,PAYMENT,22388.3,C1731639730,1803.0,0.0,M504713014,0.0,0.0
393,PAYMENT,43426.04,C91981502,54303.0,10876.96,M96466352,0.0,0.0
393,PAYMENT,26666.72,C1461073820,230044.0,203377.28,M1666105015,0.0,0.0
393,PAYMENT,45195.04,C978950678,203377.28,158182.25,M1077013144,0.0,0.0
393,CASH_IN,201939.03,C654151637,105546.0,307485.03,C2142140082,125920.69,0.0
393,CASH_OUT,238506.75,C818947771,307485.03,68978.28,C1083376171,1514166.78,1752673.53
393,CASH_OUT,192351.14,C1177519005,530.0,0.0,C434491544,981952.45,1174303.59
393,CASH_OUT,91126.4,C151373034,63549.0,0.0,C229740052,73751.18,164877.59
393,PAYMENT,7581.92,C1137467704,0.0,0.0,M1922593284,0.0,0.0
393,PAYMENT,1618.12,C1217475745,0.0,0.0,M1872010189,0.0,0.0
393,PAYMENT,36485.66,C1332863654,281.0,0.0,M2118689054,0.0,0.0
393,PAYMENT,2698.76,C1061008970,0.0,0.0,M1950095507,0.0,0.0
393,CASH_IN,158278.39,C874033248,39722.0,198000.39,C1969386237,0.0,0.0
393,CASH_IN,162379.64,C266581932,1742.0,164121.64,C1168155432,0.0,0.0
393,CASH_IN,235222.94,C1564401660,6230.0,241452.94,C463431402,911353.51,676130.57
393,TRANSFER,3090274.68,C1238543432,241452.94,0.0,C1149257440,8744574.73,1.183484941E7
393,TRANSFER,198648.68,C943230626,0.0,0.0,C1375302063,1280662.63,1479311.32
393,TRANSFER,1757152.22,C712245470,0.0,0.0,C2089388257,2742713.81,4499866.03
393,TRANSFER,1003856.0,C18807635,0.0,0.0,C608715469,4225077.42,5228933.41
393,TRANSFER,1001590.78,C1567799252,0.0,0.0,C698374357,2.663682474E7,2.763841553E7
393,TRANSFER,2095611.07,C566456134,0.0,0.0,C1561757104,8.187952001E7,8.397513108E7
393,TRANSFER,1236582.76,C725350736,0.0,0.0,C496440086,2095379.93,3331962.68
393,TRANSFER,220402.9,C1569282823,0.0,0.0,C454855461,479576.59,699979.49
393,TRANSFER,799386.83,C361597813,0.0,0.0,C1211073086,989494.01,1788880.85
393,TRANSFER,617176.69,C797867997,0.0,0.0,C1260852036,1150291.34,1767468.03
393,TRANSFER,410323.69,C1535898117,0.0,0.0,C278849270,666731.75,1077055.44
393,TRANSFER,368818.98,C1288559376,0.0,0.0,C726180163,426947.31,795766.29
393,TRANSFER,549552.25,C904017887,0.0,0.0,C189355522,1049878.14,1599430.39
393,TRANSFER,627577.36,C1775162921,0.0,0.0,C1318550066,8632295.43,9259872.79
393,TRANSFER,444545.1,C1834031823,0.0,0.0,C610239494,8906745.93,9351291.03
393,TRANSFER,377302.7,C1340492078,0.0,0.0,C1685433592,383444.5,760747.2
393,TRANSFER,336034.69,C1805571010,0.0,0.0,C614685048,2391689.53,2727724.22
393,TRANSFER,327543.15,C1962819334,0.0,0.0,C970695405,455361.8,782904.95
393,TRANSFER,772630.81,C287102004,0.0,0.0,C359585954,1074556.05,1847186.85
393,TRANSFER,7340.64,C1825456128,0.0,0.0,C1298816282,37153.98,44494.62
393,TRANSFER,1307178.0,C1901301400,0.0,0.0,C1038659893,4330994.07,5638172.08
393,TRANSFER,3471893.25,C1959827899,0.0,0.0,C1468769799,4573520.53,8045413.78
393,TRANSFER,817276.44,C60448353,0.0,0.0,C895243956,1987248.6,2804525.04
393,TRANSFER,458124.79,C491438162,0.0,0.0,C877325988,598264.58,1056389.37
393,CASH_OUT,8993.74,C1879095853,22178.0,13184.26,C729031337,43724.83,52718.57
393,PAYMENT,36387.82,C15595735,15487.0,0.0,M1372964861,0.0,0.0
393,CASH_OUT,158536.66,C441898437,25253.0,0.0,C1898476117,395824.01,554360.66
393,PAYMENT,8224.92,C1869792624,201636.0,193411.08,M3580681,0.0,0.0
393,CASH_OUT,225414.1,C2133026525,5931.0,0.0,C1371498160,1451550.99,1676965.09
393,PAYMENT,64833.65,C1408728065,11040.0,0.0,M710376010,0.0,0.0
393,CASH_OUT,360671.68,C533510882,661.0,0.0,C1215475539,0.0,360671.68
393,CASH_OUT,33241.71,C2067608136,15254.0,0.0,C338130902,71314.43,104556.14
393,CASH_IN,4086.15,C323116634,27010.0,31096.15,C669450714,0.0,0.0
393,CASH_OUT,326752.21,C39252818,31096.15,0.0,C1349905979,1811067.06,2137819.26
393,CASH_OUT,88692.75,C2025280080,0.0,0.0,C1657526252,811988.61,900681.36
393,CASH_OUT,40233.95,C1787461756,0.0,0.0,C1680674373,142125.24,182359.19
393,CASH_OUT,35371.59,C1799070713,0.0,0.0,C720822176,281815.02,317186.61
393,CASH_OUT,141744.6,C1589776815,0.0,0.0,C1109797332,3450140.38,3591884.98
393,CASH_OUT,398880.93,C472251893,0.0,0.0,C9309762,767301.57,1166182.49
393,CASH_OUT,30399.16,C571610989,0.0,0.0,C613721232,87679.26,118078.42
393,CASH_OUT,428284.24,C335563965,0.0,0.0,C814413813,1436750.82,1865035.06
393,CASH_OUT,338589.67,C1518434555,0.0,0.0,C1435015537,1092227.18,1430816.85
393,CASH_OUT,184504.98,C1769532427,0.0,0.0,C1525390730,216913.38,401418.36
393,CASH_OUT,145547.71,C1541617462,0.0,0.0,C983087190,1016262.64,1161810.35
