step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
675,PAYMENT,2367.93,C772486862,24412.0,22044.07,M1184439926,0.0,0.0
675,CASH_OUT,139492.63,C16334541,22044.07,0.0,C1209665340,1124513.12,1264005.75
675,CASH_OUT,21210.89,C1414109732,0.0,0.0,C1542170923,444846.57,466057.45
675,TRANSFER,43440.97,C587426597,43440.97,0.0,C1630185413,0.0,0.0
675,CASH_OUT,43440.97,C761772957,43440.97,0.0,C2009987911,0.0,43440.97
675,PAYMENT,1964.15,C1679947690,45235.0,43270.85,M2090977712,0.0,0.0
675,TRANSFER,355942.26,C1145294658,43270.85,0.0,C1572908493,1239500.98,1595443.24
675,TRANSFER,9640565.43,C1416113924,0.0,0.0,C42154328,1.081229055E7,2.045285598E7
675,TRANSFER,402337.04,C1058999940,0.0,0.0,C1354289642,540932.21,943269.25
675,TRANSFER,1.0E7,C1291955358,1.27720439E7,2772043.9,C285979005,0.0,0.0
675,CASH_OUT,1.0E7,C392319907,1.0E7,0.0,C852706972,759509.55,1.075950955E7
675,TRANSFER,2772043.9,C48717380,2772043.9,0.0,C230089691,0.0,0.0
675,CASH_OUT,2772043.9,C1162550194,2772043.9,0.0,C27397338,2985997.42,5758041.32
675,TRANSFER,1091589.88,C99498713,1091589.88,0.0,C1363621822,0.0,0.0
675,CASH_OUT,1091589.88,C9735820,1091589.88,0.0,C158741308,375880.91,1467470.79
675,PAYMENT,1246.5,C1448590149,47542.0,46295.5,M933652480,0.0,0.0
675,TRANSFER,950766.15,C1599964062,950766.15,0.0,C1375613207,0.0,0.0
675,CASH_OUT,950766.15,C1344002266,950766.15,0.0,C837820627,0.0,950766.15
675,PAYMENT,185.38,C998099983,47896.0,47710.62,M1059017992,0.0,0.0
675,PAYMENT,2374.02,C216883206,293.0,0.0,M46048329,0.0,0.0
675,CASH_OUT,322843.28,C1475743141,0.0,0.0,C1088640306,739969.66,1062812.94
675,CASH_OUT,248071.8,C310682950,0.0,0.0,C1264185512,434849.05,682920.85
675,CASH_OUT,126492.26,C1972243008,0.0,0.0,C1502364665,6933312.38,7059804.64
675,CASH_OUT,164730.94,C48591956,0.0,0.0,C1676043883,313922.96,478653.9
675,CASH_OUT,326862.48,C1704581768,0.0,0.0,C2098125597,512967.72,839830.2
675,CASH_OUT,207744.71,C1384181224,0.0,0.0,C1339207103,2507451.69,2715196.4
675,CASH_OUT,138557.11,C1465459186,0.0,0.0,C1702913322,312582.94,451140.05
675,CASH_OUT,152134.3,C2125965465,0.0,0.0,C255153928,288949.36,441083.66
675,CASH_OUT,237185.38,C1431400541,0.0,0.0,C2112506533,899339.14,1136524.51
675,CASH_OUT,45311.53,C7022770,0.0,0.0,C1840071683,88631.99,133943.52
