step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
215,PAYMENT,4203.72,C1772067357,91816.0,87612.28,M102594579,0.0,0.0
215,CASH_OUT,49094.82,C1133019431,87612.28,38517.46,C1093549921,536454.32,902402.63
215,PAYMENT,2076.98,C888135941,4906.0,2829.02,M565566199,0.0,0.0
215,PAYMENT,15672.88,C1283842866,51212.0,35539.12,M1266926140,0.0,0.0
215,TRANSFER,1956012.27,C3138944,35539.12,0.0,C1820924470,7555051.88,9511064.15
215,TRANSFER,5276982.34,C264430864,0.0,0.0,C1420673050,7560614.07,1.283759641E7
215,PAYMENT,4673.01,C1824332713,732554.0,727880.99,M964339232,0.0,0.0
215,PAYMENT,3165.9,C1174816618,727880.99,724715.09,M1584709855,0.0,0.0
215,PAYMENT,6995.07,C1519446251,22179.0,15183.93,M909577791,0.0,0.0
215,PAYMENT,15.49,C1115566724,39631.0,39615.51,M980705324,0.0,0.0
215,PAYMENT,27630.07,C1736314937,39615.51,11985.43,M1765190687,0.0,0.0
215,PAYMENT,6583.36,C1525635503,1045.0,0.0,M1132668894,0.0,0.0
215,PAYMENT,48594.76,C1424689231,0.0,0.0,M140578969,0.0,0.0
215,CASH_IN,93653.98,C677581339,26714.0,120367.98,C51078672,0.0,0.0
215,PAYMENT,5966.55,C1921285406,20493.0,14526.45,M2124524145,0.0,0.0
215,PAYMENT,13130.03,C2118420708,14526.45,1396.42,M1317515005,0.0,0.0
215,PAYMENT,3086.66,C532305598,107311.0,104224.34,M1824232730,0.0,0.0
215,PAYMENT,3858.03,C912405441,55857.0,51998.97,M1164022710,0.0,0.0
215,PAYMENT,6720.47,C136524290,20523.0,13802.53,M947938649,0.0,0.0
215,PAYMENT,13110.86,C534492595,35247.0,22136.14,M1450076637,0.0,0.0
215,CASH_IN,206044.62,C1204613680,480175.0,686219.62,C1626710478,9096.16,0.0
215,PAYMENT,6862.18,C2094923069,17092.0,10229.82,M1047116088,0.0,0.0
215,PAYMENT,9289.17,C460070825,19664.0,10374.83,M990983046,0.0,0.0
215,PAYMENT,685.64,C674633164,117353.0,116667.36,M1541785995,0.0,0.0
215,PAYMENT,6631.73,C537854985,52372.0,45740.27,M305172109,0.0,0.0
215,CASH_OUT,83199.76,C170946930,41807.0,0.0,C1576293253,973448.69,1056648.45
215,PAYMENT,6231.4,C2146191406,1478.0,0.0,M664478870,0.0,0.0
215,PAYMENT,4905.65,C835289614,29896.0,24990.35,M956030628,0.0,0.0
215,PAYMENT,3927.05,C625695917,456.0,0.0,M1527407366,0.0,0.0
215,PAYMENT,12681.1,C648954779,81482.0,68800.9,M1086764820,0.0,0.0
215,CASH_IN,95292.19,C1066870165,99450.0,194742.19,C683310307,0.0,0.0
215,PAYMENT,3130.56,C932016946,194742.19,191611.63,M1667976387,0.0,0.0
215,PAYMENT,6200.63,C375404973,747.0,0.0,M282926457,0.0,0.0
215,PAYMENT,2501.81,C1276508339,76778.0,74276.19,M1973528742,0.0,0.0
215,PAYMENT,27673.19,C1654344430,74276.19,46603.01,M450209041,0.0,0.0
215,PAYMENT,2921.61,C2045122200,10235.0,7313.39,M33191322,0.0,0.0
215,PAYMENT,7515.5,C965641073,51508.0,43992.5,M247743612,0.0,0.0
215,PAYMENT,2272.51,C1197457898,20281.0,18008.49,M366684734,0.0,0.0
215,PAYMENT,11433.9,C1485027071,118433.0,106999.1,M1950936631,0.0,0.0
