step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
104,TRANSFER,1762680.47,C1779028734,1762680.47,0.0,C229248099,0.0,0.0
104,CASH_OUT,1762680.47,C1980352063,1762680.47,0.0,C1032628517,3039981.66,4802662.12
104,TRANSFER,142336.65,C208481356,142336.65,0.0,C2072772190,0.0,0.0
104,CASH_OUT,142336.65,C2138181723,142336.65,0.0,C1941960795,267803.17,410139.82
104,TRANSFER,306833.41,C1531491177,306833.41,0.0,C495237092,0.0,0.0
104,CASH_OUT,306833.41,C1665711617,306833.41,0.0,C659116830,0.0,306833.41
104,TRANSFER,86170.94,C111341928,86170.94,0.0,C192831287,0.0,0.0
104,CASH_OUT,86170.94,C1765660975,86170.94,0.0,C764101152,288270.7,374441.64
104,TRANSFER,803794.53,C2012277914,803794.53,0.0,C2023785660,0.0,0.0
104,CASH_OUT,803794.53,C1366228179,803794.53,0.0,C190485576,305482.84,1109277.37
104,TRANSFER,125159.2,C1087798823,125159.2,0.0,C1125025410,0.0,0.0
104,CASH_OUT,125159.2,C1193616307,125159.2,0.0,C1223829389,26664.19,151823.38
104,TRANSFER,655294.3,C935429105,655294.3,0.0,C1630335689,0.0,0.0
104,CASH_OUT,655294.3,C300902846,655294.3,0.0,C443990229,1510159.85,2165454.15
