step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
452,PAYMENT,5532.27,C554994055,990.0,0.0,M903659206,0.0,0.0
452,PAYMENT,3403.21,C964096971,0.0,0.0,M1724564267,0.0,0.0
452,CASH_OUT,165625.54,C1662465732,778.0,0.0,C2094345916,572417.56,738043.1
452,CASH_IN,23734.88,C862822126,18939.0,42673.88,C1949203747,0.0,0.0
452,CASH_IN,252475.14,C1032575971,31367.0,283842.14,C1768157427,0.0,0.0
452,TRANSFER,638851.98,C233346274,283842.14,0.0,C2018731990,889421.31,1528273.29
452,TRANSFER,1087931.13,C1469264525,0.0,0.0,C1704567772,1225243.13,2313174.26
452,TRANSFER,1533867.75,C139873407,0.0,0.0,C2085373603,3041678.12,4575545.87
452,TRANSFER,1197713.06,C1801574997,0.0,0.0,C399466071,7856138.52,9053851.58
452,TRANSFER,491621.16,C585571423,0.0,0.0,C91446082,1669700.19,2161321.34
452,TRANSFER,127946.72,C1814975956,0.0,0.0,C770286848,1107702.92,1235649.64
452,TRANSFER,1767194.09,C1453447578,0.0,0.0,C949825599,3096509.71,4863703.81
452,TRANSFER,414826.96,C863437417,0.0,0.0,C1910585790,470893.22,885720.18
452,PAYMENT,14167.32,C703133116,10549.0,0.0,M930514336,0.0,0.0
452,CASH_OUT,9479.52,C1875109853,42565.0,33085.48,C85682031,166064.15,175543.67
452,PAYMENT,11271.46,C1689048070,49517.0,38245.54,M176658490,0.0,0.0
452,TRANSFER,73646.52,C157243215,34636.0,0.0,C611212993,205773.12,279419.64
452,CASH_IN,169527.24,C2035459254,509949.0,679476.24,C1910824462,152928.72,0.0
452,CASH_OUT,613548.79,C2078036862,679476.24,65927.45,C2024316083,1138887.28,1752436.07
452,CASH_IN,96170.81,C1294750327,208.0,96378.81,C1486720827,3364350.85,3268180.04
452,PAYMENT,11791.19,C1044021682,96378.81,84587.62,M1377953239,0.0,0.0
452,TRANSFER,63262.94,C1275005774,63262.94,0.0,C1128985646,0.0,0.0
452,CASH_OUT,63262.94,C1693403052,63262.94,0.0,C1457990651,6388249.11,6451512.05
452,PAYMENT,9659.76,C238185874,1067.0,0.0,M1398812382,0.0,0.0
452,CASH_IN,3343.5,C1626794631,0.0,3343.5,C552937514,3831092.6,3827749.09
452,CASH_IN,266811.73,C2117731090,3343.5,270155.23,C1608959241,1865732.28,1598920.56
452,CASH_IN,206115.09,C1668923322,270155.23,476270.32,C1790147447,1828415.76,1622300.67
452,CASH_IN,8074.3,C834497493,476270.32,484344.62,C1581957867,698093.28,690018.98
452,CASH_IN,117612.8,C1716002231,484344.62,601957.42,C1230130589,219171.3,101558.5
452,CASH_IN,312171.69,C1212457215,601957.42,914129.11,C2040868288,7510767.85,7198596.16
452,CASH_IN,61105.55,C1726890530,914129.11,975234.66,C1330784977,595468.88,534363.33
452,CASH_IN,60206.33,C1020751593,975234.66,1035440.99,C1859616196,71118.02,10911.69
452,CASH_IN,29842.31,C441743713,1035440.99,1065283.3,C844349187,1.707720434E7,1.704736203E7
452,CASH_IN,320866.92,C2004513164,1065283.3,1386150.23,C321675657,2.36350845E7,2.331421758E7
452,CASH_IN,326740.24,C1670496787,1386150.23,1712890.47,C1585575362,2405842.53,2079102.28
452,CASH_IN,246725.87,C1681283246,1712890.47,1959616.34,C736441008,493326.67,246600.8
452,CASH_IN,341105.54,C1569761848,1959616.34,2300721.88,C1369518801,592259.53,251153.99
452,CASH_IN,210604.53,C2034390551,2300721.88,2511326.41,C1679402046,2333890.54,2123286.02
452,CASH_IN,538847.19,C346985078,2511326.41,3050173.59,C1400836760,1112856.48,574009.29
452,CASH_IN,198927.55,C1108040549,3050173.59,3249101.15,C2016944869,1009259.53,810331.97
452,CASH_IN,46215.57,C445835382,3249101.15,3295316.72,C1284172856,834419.68,788204.11
452,CASH_IN,220351.98,C1904994269,3295316.72,3515668.7,C1278164040,273158.32,52806.34
452,CASH_IN,38980.7,C290911928,3515668.7,3554649.4,C1844953226,226608.84,187628.15
452,CASH_IN,241380.34,C152979332,3554649.4,3796029.74,C156359354,1.301795512E7,1.277657478E7
452,CASH_IN,240523.43,C79875977,3796029.74,4036553.16,C640496685,4054409.44,3813886.02
452,CASH_IN,345195.54,C710505923,4036553.16,4381748.71,C297612631,1566353.51,1221157.97
452,CASH_IN,219385.43,C211592454,4381748.71,4601134.14,C1984313355,1131355.42,911969.99
452,CASH_IN,333245.45,C2001068406,4601134.14,4934379.58,C1631052925,486458.35,153212.9
452,CASH_IN,20798.9,C1709819536,4934379.58,4955178.49,C351735409,196781.45,175982.55
452,CASH_IN,170417.37,C83837059,4955178.49,5125595.86,C218453630,595388.25,424970.88
452,CASH_IN,370068.43,C1839358351,5125595.86,5495664.29,C530369575,2378865.49,2008797.06
452,CASH_IN,218779.21,C892625692,5495664.29,5714443.5,C213147482,496390.29,277611.08
452,CASH_IN,38845.07,C507706988,5714443.5,5753288.57,C1883134097,295369.13,256524.06
452,CASH_IN,169659.78,C1615285887,5753288.57,5922948.35,C780361537,305949.41,136289.63
452,CASH_IN,223887.18,C504886753,5922948.35,6146835.53,C1097595141,271873.42,47986.24
452,CASH_IN,79789.5,C145574332,6146835.53,6226625.03,C562868730,7065697.03,6985907.53
452,CASH_IN,158046.07,C26568539,6226625.03,6384671.1,C431245568,8205105.32,8047059.25
452,CASH_IN,101353.9,C1543239072,6384671.1,6486025.0,C1863526573,8458135.94,8356782.04
452,CASH_IN,161228.7,C2053286851,6486025.0,6647253.7,C1947556794,483923.77,322695.07
452,CASH_IN,99361.11,C417398170,6647253.7,6746614.81,C2005801364,188208.09,88846.98
452,CASH_IN,368192.32,C845545058,6746614.81,7114807.13,C1073484056,387050.53,18858.21
452,CASH_IN,284003.65,C909593467,7114807.13,7398810.78,C708130634,375374.02,91370.37
452,CASH_IN,43519.25,C1508168397,7398810.78,7442330.03,C779218460,86355.2,42835.95
452,CASH_IN,59476.87,C1182267462,7442330.03,7501806.9,C1723204344,258982.9,199506.03
452,CASH_IN,26750.57,C1534892036,7501806.9,7528557.47,C1877977665,86553.34,59802.77
452,CASH_IN,186338.65,C1461480579,7528557.47,7714896.12,C698995793,670499.72,484161.08
452,CASH_IN,85806.68,C672247319,7714896.12,7800702.8,C168586102,310280.69,224474.01
452,CASH_IN,149050.55,C1373492891,7800702.8,7949753.35,C579273362,223790.25,74739.69
452,CASH_IN,411210.84,C1860098076,7949753.35,8360964.19,C1240760303,1.745510226E7,1.704389141E7
452,CASH_IN,247741.05,C1511180592,8360964.19,8608705.24,C895432716,1465502.39,1217761.34
452,CASH_IN,37733.95,C2144777587,8608705.24,8646439.19,C1885894500,744078.01,706344.06
452,CASH_IN,20526.55,C1073794332,8646439.19,8666965.74,C925687722,496067.79,475541.24
452,CASH_IN,84616.2,C1476846392,8666965.74,8751581.94,C704305821,1862427.93,1777811.73
452,CASH_IN,144604.7,C345111105,8751581.94,8896186.64,C101523408,3640674.93,3496070.24
452,CASH_IN,82847.05,C1587984525,8896186.64,8979033.69,C264173771,557597.02,474749.97
