step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
232,CASH_OUT,23226.88,C403511137,10602.0,0.0,C1623026639,1718030.74,1741257.62
232,CASH_IN,55319.82,C697804689,232416.0,287735.82,C1801068220,1362955.27,1307635.45
232,CASH_OUT,242926.45,C1734206529,287735.82,44809.37,C69682505,352254.03,481250.89
232,CASH_OUT,177691.14,C1261006515,51643.0,0.0,C1445336797,1278746.12,1456437.26
232,CASH_OUT,257920.98,C997187240,51037.0,0.0,C1271106480,3911.9,261832.88
232,CASH_IN,378193.48,C802184571,1781.0,379974.48,C711879813,4876152.73,4497959.25
232,PAYMENT,15254.79,C665307948,32709.0,17454.21,M662398365,0.0,0.0
232,CASH_OUT,193061.81,C1654945092,150565.0,0.0,C1487615485,0.0,193061.81
232,PAYMENT,8356.44,C1328732142,21382.0,13025.56,M1456835471,0.0,0.0
232,CASH_IN,92614.6,C721312581,14065.0,106679.6,C152213122,4854426.11,4761811.51
232,CASH_IN,71918.44,C1798374667,238.0,72156.44,C28084759,88988.44,17070.0
232,PAYMENT,14258.26,C845492772,51380.0,37121.74,M1209421332,0.0,0.0
232,PAYMENT,26747.53,C283770912,37121.74,10374.21,M1938835051,0.0,0.0
232,CASH_IN,257214.6,C1753198127,317277.0,574491.6,C306025384,0.0,0.0
232,PAYMENT,7301.74,C308489178,106696.0,99394.26,M1388888758,0.0,0.0
232,PAYMENT,9027.85,C597325210,13858.0,4830.15,M906082576,0.0,0.0
232,CASH_IN,45842.74,C1027045873,10946.0,56788.74,C566343315,196925.8,151083.06
232,PAYMENT,9277.66,C704565651,56788.74,47511.08,M1505249171,0.0,0.0
232,PAYMENT,5311.26,C1649065101,50717.0,45405.74,M1681177028,0.0,0.0
232,PAYMENT,17482.99,C999923352,45405.74,27922.74,M545702567,0.0,0.0
232,CASH_OUT,408538.98,C387951854,27042.0,0.0,C702393884,4816742.38,5225281.36
232,CASH_IN,456930.79,C1453645136,0.0,456930.79,C1472638331,1591200.27,1134269.48
232,CASH_IN,246844.37,C557773890,456930.79,703775.16,C219063597,284816.79,37972.42
232,CASH_IN,119120.54,C926652728,703775.16,822895.69,C294640804,324019.44,204898.91
232,CASH_IN,169133.15,C1562979309,822895.69,992028.84,C520959920,2356441.0,2187307.85
232,CASH_IN,129823.38,C764879685,992028.84,1121852.22,C249904406,2546975.56,2417152.18
232,CASH_IN,206988.23,C2078105169,1121852.22,1328840.46,C2094553562,868739.68,661751.45
232,CASH_IN,319116.59,C272951883,1328840.46,1647957.05,C1799756085,1004967.25,685850.66
232,CASH_IN,355540.68,C78040557,1647957.05,2003497.72,C1033211852,501474.9,145934.22
232,CASH_IN,193670.86,C280972087,2003497.72,2197168.59,C728514161,574874.8,199287.45
232,CASH_IN,38220.51,C25272487,2197168.59,2235389.1,C788733744,709334.14,671113.63
232,CASH_IN,66052.15,C908072046,2235389.1,2301441.25,C1180963754,725942.06,659889.91
