step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
301,CASH_OUT,375491.27,C110591381,259126.0,0.0,C1886524782,0.0,375491.27
301,PAYMENT,25381.57,C1588595514,34188.0,8806.43,M1241580335,0.0,0.0
301,PAYMENT,36836.64,C1853501458,342.0,0.0,M1404863389,0.0,0.0
301,CASH_IN,161134.01,C227261195,20062.0,181196.01,C2083741700,118686.64,0.0
301,CASH_OUT,250302.24,C1330760174,72016.0,0.0,C1531104146,293500.73,543802.96
301,CASH_OUT,127247.05,C1888787126,178704.0,51456.95,C2058693500,150676.5,277923.55
301,CASH_OUT,392083.64,C1199791954,52220.0,0.0,C768146979,0.0,559882.47
301,CASH_OUT,15460.07,C385939274,0.0,0.0,C1882170630,4901449.27,4916909.34
301,TRANSFER,353015.22,C1457476349,19984.0,0.0,C908871857,1702595.8,2055611.02
301,PAYMENT,352.7,C38413242,29088.0,28735.3,M1609471342,0.0,0.0
301,PAYMENT,22368.46,C1329894270,28735.3,6366.84,M1663072465,0.0,0.0
301,CASH_OUT,121289.81,C807715068,311333.0,190043.19,C673836123,3483371.96,3604661.77
301,CASH_OUT,52455.22,C466253427,329.0,0.0,C1319861047,23574.49,76029.72
301,PAYMENT,22020.45,C1895745815,0.0,0.0,M284737833,0.0,0.0
301,PAYMENT,68157.97,C105758954,0.0,0.0,M1316767678,0.0,0.0
301,CASH_IN,455264.89,C1221368087,11066.0,466330.89,C463832399,3040856.65,2585591.76
301,PAYMENT,10979.86,C518781102,466330.89,455351.04,M1984504073,0.0,0.0
301,PAYMENT,23043.4,C1512360393,455351.04,432307.64,M1988949947,0.0,0.0
301,CASH_OUT,187724.21,C937647948,475.0,0.0,C675521556,216844.78,404569.0
301,CASH_OUT,104921.85,C136147408,21401.0,0.0,C1602378795,0.0,104921.85
301,CASH_IN,14760.1,C1955302299,29941.0,44701.1,C465638816,234031.0,219270.91
301,PAYMENT,13218.66,C1705745310,44701.1,31482.43,M1218425176,0.0,0.0
301,PAYMENT,4208.57,C728750698,147.0,0.0,M59792335,0.0,0.0
301,CASH_OUT,270843.58,C987645768,223398.0,0.0,C1169374704,47064.4,317907.98
301,CASH_OUT,176608.22,C259925050,30140.0,0.0,C1023885400,29175.66,205783.87
301,CASH_IN,158364.76,C1519846197,607285.0,765649.76,C1705423130,83610.6,0.0
301,PAYMENT,16573.95,C1532523915,45419.0,28845.05,M326409647,0.0,0.0
301,PAYMENT,20717.7,C1834296335,49977.0,29259.3,M263789627,0.0,0.0
301,PAYMENT,13231.36,C399889514,22827.0,9595.64,M544975578,0.0,0.0
301,CASH_OUT,516260.52,C1682605958,28891.0,0.0,C1025632946,0.0,516260.52
301,PAYMENT,16569.19,C592779248,23798.0,7228.81,M446357876,0.0,0.0
301,CASH_IN,54684.22,C1732945287,1051.0,55735.22,C945314662,1033976.9,979292.67
301,PAYMENT,3051.37,C1460430943,39024.0,35972.63,M1550655449,0.0,0.0
301,CASH_OUT,279775.45,C296866913,880.0,0.0,C1784917728,0.0,279775.45
301,CASH_OUT,3625.7,C602225997,0.0,0.0,C1835104360,403864.59,407490.28
301,CASH_IN,107145.56,C396359678,55848.0,162993.56,C1662032362,787086.49,679940.92
301,CASH_OUT,362695.41,C599302403,10868.0,0.0,C1455322201,0.0,362695.41
301,CASH_IN,235869.34,C1018522569,5059.0,240928.34,C1499749088,1442207.53,1206338.19
301,CASH_IN,277424.5,C909129287,120.0,277544.5,C1293621484,250734.85,0.0
301,CASH_OUT,2985.49,C1584924536,49816.0,46830.51,C717305199,1111661.42,1114646.91
301,CASH_OUT,53152.45,C942544141,3077.0,0.0,C1537062599,16141.56,69294.01
301,CASH_OUT,356314.95,C793959138,591365.0,235050.05,C54441369,527125.17,883440.12
301,CASH_OUT,231334.59,C417809217,73250.0,0.0,C220930466,0.0,231334.59
