step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
701,TRANSFER,74581.07,C841535427,74581.07,0.0,C1628153778,0.0,0.0
701,CASH_OUT,74581.07,C609725895,74581.07,0.0,C450042361,337536.17,412117.24
701,TRANSFER,644314.67,C1396855009,644314.67,0.0,C387448117,0.0,0.0
701,CASH_OUT,644314.67,C1472339088,644314.67,0.0,C1506042377,0.0,644314.67
701,TRANSFER,8537861.24,C601921404,8537861.24,0.0,C1092111599,0.0,0.0
701,CASH_OUT,8537861.24,C985677650,8537861.24,0.0,C1454524635,0.0,8537861.24
701,TRANSFER,91882.6,C2076485043,91882.6,0.0,C696774092,0.0,0.0
701,CASH_OUT,91882.6,C1017446599,91882.6,0.0,C1901879882,144354.61,236237.2
701,TRANSFER,306691.05,C1064966733,306691.05,0.0,C467221336,0.0,0.0
701,CASH_OUT,306691.05,C1742581388,306691.05,0.0,C1623138506,0.0,306691.05
701,TRANSFER,496420.67,C1524224259,496420.67,0.0,C1792600425,0.0,0.0
701,CASH_OUT,496420.67,C1977168836,496420.67,0.0,C1041919109,16031.49,512452.16
701,TRANSFER,79581.24,C438236992,79581.24,0.0,C1490705350,0.0,0.0
701,CASH_OUT,79581.24,C272466753,79581.24,0.0,C547672572,143993.58,223574.82
701,TRANSFER,1947831.96,C83368332,1947831.96,0.0,C195897320,0.0,0.0
701,CASH_OUT,1947831.96,C948133316,1947831.96,0.0,C1195105937,0.0,1947831.96
701,TRANSFER,731113.99,C1430919523,731113.99,0.0,C437800178,0.0,0.0
701,CASH_OUT,731113.99,C697413376,731113.99,0.0,C1918590482,6041587.18,6772701.17
