step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
357,PAYMENT,1536.53,C1332730730,20341.0,18804.47,M368799045,0.0,0.0
357,PAYMENT,8376.93,C1712855547,18804.47,10427.54,M1488177912,0.0,0.0
357,PAYMENT,21372.37,C1765211663,10427.54,0.0,M669591337,0.0,0.0
357,PAYMENT,15203.48,C26752494,16464.0,1260.52,M1203424047,0.0,0.0
357,PAYMENT,4077.47,C430080849,100817.0,96739.53,M1998335779,0.0,0.0
357,PAYMENT,10251.34,C929776491,6465.0,0.0,M639173914,0.0,0.0
357,PAYMENT,13062.69,C724349571,225240.0,212177.31,M1029699058,0.0,0.0
357,CASH_OUT,51290.32,C1354926377,35917.0,0.0,C1186960187,331654.72,382945.04
357,TRANSFER,729105.91,C1042114558,0.0,0.0,C1711055611,1543388.56,2272494.48
357,CASH_OUT,178022.59,C1886085652,21328.0,0.0,C1084072759,0.0,178022.59
357,PAYMENT,4656.51,C853145998,0.0,0.0,M1981199677,0.0,0.0
357,PAYMENT,1662.66,C593563286,0.0,0.0,M137474860,0.0,0.0
357,PAYMENT,7292.08,C1977167405,82306.0,75013.92,M916837110,0.0,0.0
357,TRANSFER,29548.97,C496729866,5864.0,0.0,C1265243343,93592.9,123141.87
357,CASH_OUT,155378.04,C414582598,386053.0,230674.96,C215392290,0.0,155378.04
357,TRANSFER,69922.82,C606272059,67524.0,0.0,C843219945,9322.75,79245.56
357,PAYMENT,6816.09,C1007205931,299902.0,293085.91,M2058216847,0.0,0.0
357,PAYMENT,6973.65,C1376342443,1920.0,0.0,M1632209651,0.0,0.0
357,CASH_OUT,327515.96,C407472407,0.0,0.0,C2112242542,1405175.82,1732691.78
357,CASH_OUT,79606.39,C232625676,0.0,0.0,C1861996061,558558.99,638165.38
357,CASH_OUT,3983.0,C356588053,0.0,0.0,C360874322,12165.81,16148.81
357,CASH_OUT,361226.02,C955389020,0.0,0.0,C921024940,1876509.8,2237735.81
357,CASH_OUT,37072.67,C1822896996,0.0,0.0,C405570694,42537.17,79609.85
357,CASH_OUT,304570.72,C220968202,0.0,0.0,C1093157458,420079.75,724650.47
357,CASH_OUT,132358.77,C279418632,0.0,0.0,C1673969484,599876.17,732234.94
357,CASH_OUT,522368.79,C954151348,0.0,0.0,C98079296,1701557.66,2223926.45
357,CASH_OUT,77662.94,C1832262104,0.0,0.0,C1108439546,673409.17,751072.11
357,CASH_OUT,163648.4,C1038443153,0.0,0.0,C1833512377,464606.14,628254.54
357,CASH_OUT,278597.09,C299286002,0.0,0.0,C1223716256,616866.91,895464.0
357,CASH_OUT,7926.98,C1346727149,0.0,0.0,C1952252588,577598.68,585525.66
357,CASH_OUT,49587.33,C232802276,0.0,0.0,C873752152,1339573.59,1389160.92
357,CASH_OUT,188280.93,C461856035,0.0,0.0,C1325682255,1628922.79,1817203.71
357,CASH_OUT,95994.46,C1067080332,0.0,0.0,C438675598,1181392.68,1277387.14
357,CASH_OUT,309925.74,C1153657750,0.0,0.0,C254124871,319488.39,629414.13
357,CASH_OUT,197340.87,C1259588493,0.0,0.0,C1749678031,453460.51,650801.38
357,CASH_OUT,166126.85,C1792866697,0.0,0.0,C965418214,474355.43,640482.28
357,CASH_OUT,130374.41,C134185060,0.0,0.0,C1203242631,295867.76,426242.17
357,CASH_OUT,76534.97,C1488962774,0.0,0.0,C1619658709,296491.2,373026.17
357,CASH_OUT,193777.65,C228930543,0.0,0.0,C756019933,452550.87,646328.52
357,TRANSFER,216309.63,C3703651,80720.0,0.0,C498489352,1018147.07,1234456.7
357,CASH_OUT,396609.96,C2067783584,0.0,0.0,C514633180,1804843.08,2201453.04
357,PAYMENT,3867.47,C1568681317,21446.0,17578.53,M2032027505,0.0,0.0
