step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
694,PAYMENT,10558.94,C721319732,23565.0,13006.06,M1766136056,0.0,0.0
694,CASH_IN,276471.41,C1710246666,13006.06,289477.47,C946053307,405381.68,128910.27
694,CASH_IN,156806.23,C2106474422,289477.47,446283.7,C1117332087,1014672.02,857865.79
694,CASH_IN,251971.23,C605069540,446283.7,698254.94,C1654336229,4499829.56,4247858.33
694,CASH_IN,182219.2,C1708387910,698254.94,880474.14,C1398063500,190476.78,8257.57
694,CASH_IN,178407.96,C43794925,880474.14,1058882.1,C1589762490,245909.18,67501.21
694,CASH_IN,223015.37,C249806215,1058882.1,1281897.47,C1482794276,3983342.14,3760326.77
694,CASH_IN,293742.36,C802499391,1281897.47,1575639.83,C1784139021,754900.03,461157.68
694,CASH_IN,5163.77,C1427001693,1575639.83,1580803.59,C1163810429,21062.19,15898.42
694,CASH_IN,19092.47,C897442104,1580803.59,1599896.07,C1074323640,423120.05,404027.58
694,CASH_IN,150678.37,C643923349,1599896.07,1750574.44,C2145995080,1.025904236E7,1.010836399E7
694,CASH_IN,15188.99,C543897269,1750574.44,1765763.42,C1765362599,534627.65,519438.66
694,CASH_IN,175344.96,C130551644,1765763.42,1941108.39,C1296124409,1305697.68,1130352.72
694,CASH_IN,139209.71,C1575377596,1941108.39,2080318.09,C1421039625,7500623.14,7361413.44
694,CASH_IN,74565.66,C1892026688,2080318.09,2154883.76,C594817806,362396.1,287830.44
694,CASH_IN,26505.76,C157374323,2154883.76,2181389.52,C2145650384,393806.56,367300.8
694,CASH_IN,171561.44,C1318329324,2181389.52,2352950.96,C1761717333,243678.64,72117.2
694,CASH_IN,419569.26,C566790968,2352950.96,2772520.22,C1657964304,1601424.28,1181855.02
694,CASH_IN,430220.17,C1636047432,2772520.22,3202740.39,C2098450298,434484.25,4264.08
694,CASH_IN,316782.49,C1658651588,3202740.39,3519522.88,C725707794,334792.11,18009.61
694,CASH_IN,155995.53,C217591560,3519522.88,3675518.41,C119950815,9480257.22,9324261.69
694,CASH_IN,137175.46,C1770841316,3675518.41,3812693.87,C1291812907,429146.75,291971.29
694,CASH_IN,160513.39,C681305543,3812693.87,3973207.26,C1234572679,372951.63,212438.24
694,CASH_IN,128968.17,C575799347,3973207.26,4102175.44,C858501794,3600403.03,3471434.86
694,CASH_IN,259100.49,C1872751390,4102175.44,4361275.93,C1383831706,4.888534016E7,4.862623967E7
694,CASH_IN,275491.91,C1631226317,4361275.93,4636767.84,C19520396,9406631.45,9131139.53
694,CASH_IN,173633.16,C377023984,4636767.84,4810401.01,C933634245,279035.0,105401.84
694,CASH_IN,169156.89,C614020244,4810401.01,4979557.9,C1754198734,195133.65,25976.76
694,CASH_IN,347946.69,C885976066,4979557.9,5327504.59,C1872050292,831037.1,483090.41
694,CASH_IN,9391.71,C17788855,5327504.59,5336896.3,C1845445226,45823.53,36431.83
694,CASH_IN,58242.15,C1346966795,5336896.3,5395138.45,C1727187468,506478.24,448236.09
694,CASH_IN,369719.06,C1033483778,5395138.45,5764857.51,C1095048134,381019.3,11300.24
694,CASH_IN,23799.22,C2129982287,5764857.51,5788656.73,C2142117981,226305.43,202506.21
694,CASH_IN,4371.01,C83646961,5788656.73,5793027.75,C1808169915,830454.62,826083.6
694,CASH_IN,379901.07,C470152488,5793027.75,6172928.82,C503140151,1172772.29,792871.21
694,CASH_IN,111659.11,C1817999628,6172928.82,6284587.93,C1789091327,184407.27,72748.17
694,CASH_IN,30202.95,C904630595,6284587.93,6314790.88,C1100860508,2127227.22,2097024.26
694,CASH_IN,19484.21,C1396598238,6314790.88,6334275.09,C197645602,28741.31,9257.1
694,CASH_IN,94771.93,C1621194276,6334275.09,6429047.03,C1407982164,746971.44,652199.5
694,CASH_IN,37789.67,C1874523941,6429047.03,6466836.7,C837943892,315744.94,277955.27
694,CASH_IN,81385.18,C103940632,6466836.7,6548221.87,C1909821544,1889659.78,1808274.61
694,CASH_IN,74794.16,C646088597,6548221.87,6623016.03,C1170236271,694268.56,619474.4
694,CASH_IN,310740.68,C1308218679,6623016.03,6933756.71,C379469601,369518.24,58777.56
694,CASH_IN,213907.34,C1975652466,6933756.71,7147664.05,C818813084,1756327.91,1542420.57
694,CASH_IN,251477.21,C1668738576,7147664.05,7399141.25,C2072053966,327283.09,75805.88
694,CASH_IN,109884.96,C1366979524,7399141.25,7509026.22,C5348521,1004422.56,894537.59
694,CASH_IN,18439.5,C1378440369,7509026.22,7527465.72,C2119626317,109799.71,91360.21
694,CASH_IN,114425.29,C932024070,7527465.72,7641891.01,C1155124887,285772.09,171346.8
694,CASH_IN,104650.74,C1667228041,7641891.01,7746541.75,C1014794415,182447.41,77796.67
694,CASH_IN,310430.37,C1639533173,7746541.75,8056972.12,C2122330615,1594186.22,1283755.85
694,CASH_IN,371755.16,C2041382447,8056972.12,8428727.28,C59394024,2280688.84,1908933.69
694,CASH_IN,178404.99,C570639267,8428727.28,8607132.27,C1189948125,423182.48,244777.49
694,CASH_IN,25065.16,C1045216707,8607132.27,8632197.43,C583203696,1163887.05,1138821.89
694,CASH_IN,155083.95,C361607837,8632197.43,8787281.37,C888045440,184297.76,29213.82
694,CASH_IN,133870.38,C67129981,8787281.37,8921151.75,C548282135,444633.26,310762.88
694,CASH_IN,178248.56,C1009129221,8921151.75,9099400.31,C2025949878,582560.71,404312.15
694,CASH_IN,230604.31,C1742673895,9099400.31,9330004.63,C1793227681,968212.72,737608.41
694,CASH_OUT,35435.06,C532568283,20179.0,0.0,C32992526,699440.69,734875.75
694,CASH_OUT,11800.72,C422277867,0.0,0.0,C1030670078,78889.46,90690.19
694,TRANSFER,412405.85,C364499188,402275.0,0.0,C1332444381,0.0,412405.85
694,PAYMENT,9733.13,C172400011,452735.0,443001.87,M1741911192,0.0,0.0
694,PAYMENT,26913.58,C623767203,51614.0,24700.42,M2127078530,0.0,0.0
694,PAYMENT,6107.37,C1088214037,10723.0,4615.63,M1012342562,0.0,0.0
694,CASH_OUT,216448.61,C1984276221,9816.0,0.0,C1299657993,43717.89,260166.5
694,CASH_OUT,56224.05,C1293082627,1155.0,0.0,C705120650,156318.33,212542.38
694,CASH_IN,191157.22,C1808329160,55615.0,246772.22,C947131136,1482194.52,1291037.29
694,PAYMENT,2971.07,C1868715420,19908.0,16936.93,M885748931,0.0,0.0
694,PAYMENT,384.69,C1845729441,232067.0,231682.31,M1110026752,0.0,0.0
694,DEBIT,6992.92,C1058724204,715.0,0.0,C1122211903,8145791.22,8152784.13
694,PAYMENT,9440.22,C1343803168,35838.0,26397.78,M573342482,0.0,0.0
694,CASH_OUT,50028.67,C760894717,20935.0,0.0,C480732140,896596.89,946625.56
694,PAYMENT,174.35,C1155676547,0.0,0.0,M1385537520,0.0,0.0
694,PAYMENT,2092.77,C350728867,6990.0,4897.23,M1810231678,0.0,0.0
694,PAYMENT,22286.03,C1050600352,154071.0,131784.97,M1074430364,0.0,0.0
694,PAYMENT,4093.98,C1766936980,131784.97,127690.99,M771437505,0.0,0.0
694,CASH_OUT,117399.1,C1680950845,90679.0,0.0,C1587243009,842719.43,960118.52
694,CASH_IN,131008.22,C1881357638,26398.0,157406.22,C1955514202,291736.66,160728.44
694,PAYMENT,9146.23,C320671527,92197.0,83050.77,M1728861118,0.0,0.0
694,PAYMENT,10151.15,C157479372,6169.0,0.0,M1614951595,0.0,0.0
694,CASH_OUT,34210.71,C467499955,589.0,0.0,C1161703827,153905.97,188116.69
694,PAYMENT,2849.77,C508119765,19975.0,17125.23,M12268609,0.0,0.0
694,PAYMENT,15460.71,C1907212177,199485.0,184024.29,M22889204,0.0,0.0
694,PAYMENT,27837.0,C1427554280,202545.0,174708.0,M215388215,0.0,0.0
694,PAYMENT,9013.04,C270264075,107927.0,98913.96,M2075807006,0.0,0.0
694,TRANSFER,630144.28,C464733310,98913.96,0.0,C122624382,7782124.2,8412268.48
694,TRANSFER,481335.36,C601634839,0.0,0.0,C1152030337,4600903.72,5082239.08
694,TRANSFER,508834.57,C1815126232,0.0,0.0,C1986450574,5436390.49,5945225.07
694,CASH_OUT,207851.58,C1170985725,21129.0,0.0,C485590701,437033.42,644885.0
694,PAYMENT,10523.28,C1155198606,9069.0,0.0,M100956802,0.0,0.0
694,PAYMENT,479.29,C1868250362,51225.0,50745.71,M1956399062,0.0,0.0
694,CASH_OUT,3797.32,C1738635605,20590.0,16792.68,C1211402754,17353.01,21150.33
694,CASH_IN,74495.94,C1121247049,40067.0,114562.94,C1217492231,0.0,0.0
694,CASH_OUT,61515.89,C1952352005,114562.94,53047.05,C601901705,144507.36,206023.26
694,PAYMENT,14986.13,C1651170479,4107.0,0.0,M250444390,0.0,0.0
694,PAYMENT,9772.52,C1780990565,24080.0,14307.48,M1791039115,0.0,0.0
694,PAYMENT,16009.14,C1593454808,4598.0,0.0,M1000431403,0.0,0.0
694,TRANSFER,397834.27,C1866569424,0.0,0.0,C2123044477,414368.63,812202.89
694,TRANSFER,785352.64,C223781117,48054.0,0.0,C283100805,0.0,785352.64
694,PAYMENT,3588.7,C35990911,15489.0,11900.3,M869036567,0.0,0.0
694,DEBIT,3995.42,C1347978664,132866.0,128870.58,C1850453826,271877.63,275873.04
694,PAYMENT,12372.68,C1756464662,48884.0,36511.32,M1137971370,0.0,0.0
694,DEBIT,2155.26,C324570637,174.0,0.0,C913959621,467049.14,469204.4
694,PAYMENT,6626.22,C121187339,0.0,0.0,M1667009484,0.0,0.0
694,TRANSFER,90615.8,C15636045,49605.0,0.0,C1689593238,662080.1,752695.9
