step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
317,TRANSFER,493.28,C1723063411,493.28,0.0,C1565674952,0.0,0.0
317,CASH_OUT,493.28,C2126327419,493.28,0.0,C1658560139,1078812.78,1079306.06
317,TRANSFER,241337.83,C1999586448,241337.83,0.0,C532302073,0.0,0.0
317,CASH_OUT,241337.83,C1512619992,241337.83,0.0,C671135114,1170157.34,1411495.17
317,TRANSFER,322991.82,C570470570,322991.82,0.0,C1232811511,0.0,0.0
317,CASH_OUT,322991.82,C895065191,322991.82,0.0,C317556709,57138.9,380130.72
317,TRANSFER,46779.04,C954160536,46779.04,0.0,C96624580,0.0,0.0
317,CASH_OUT,46779.04,C664202020,46779.04,0.0,C390829633,0.0,46779.04
317,TRANSFER,7535.58,C11831964,7535.58,0.0,C802410376,0.0,0.0
317,CASH_OUT,7535.58,C2046264393,7535.58,0.0,C592516907,44609.54,52145.11
317,TRANSFER,487276.8,C1002859898,487276.8,0.0,C647242478,0.0,0.0
317,CASH_OUT,487276.8,C731475693,487276.8,0.0,C1413151160,0.0,487276.8
317,TRANSFER,1160652.82,C257814888,1160652.82,0.0,C706563298,0.0,0.0
317,CASH_OUT,1160652.82,C1246624006,1160652.82,0.0,C1479799057,249210.51,1409863.33
317,TRANSFER,5741.05,C1122558088,5741.05,0.0,C47401126,0.0,0.0
317,CASH_OUT,5741.05,C577110078,5741.05,0.0,C661765724,1657816.03,1663557.07
317,TRANSFER,223228.11,C204083284,223228.11,0.0,C1120953259,0.0,0.0
317,CASH_OUT,223228.11,C600776492,223228.11,0.0,C856386556,252901.53,476129.65
317,TRANSFER,681007.64,C1124786108,681007.64,0.0,C1894579301,0.0,0.0
317,CASH_OUT,681007.64,C1824809477,681007.64,0.0,C1850161112,660790.68,1341798.32
