step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
614,CASH_IN,77806.99,C902969204,390.0,78196.99,C2023154647,17879.5,0.0
614,PAYMENT,32557.31,C1919536994,78196.99,45639.68,M1819319290,0.0,0.0
614,PAYMENT,9417.99,C958680838,7003.0,0.0,M493467329,0.0,0.0
614,PAYMENT,12425.89,C566720721,236872.0,224446.11,M1224771672,0.0,0.0
614,PAYMENT,10420.28,C1380430337,349334.0,338913.72,M46713142,0.0,0.0
614,CASH_OUT,31244.04,C408102990,533.0,0.0,C60776297,0.0,31244.04
614,CASH_IN,50583.79,C1440489812,6762.0,57345.79,C25823979,0.0,0.0
614,CASH_IN,208394.31,C988042836,1049.0,209443.31,C430228326,81333.88,0.0
614,CASH_IN,371041.1,C2124523847,137615.0,508656.1,C55696062,92454.06,0.0
614,PAYMENT,4618.35,C2133983109,32080.0,27461.65,M1272162230,0.0,0.0
614,TRANSFER,135484.86,C1402801774,14385.0,0.0,C363846790,1730497.85,1865982.71
614,TRANSFER,572358.24,C545619659,0.0,0.0,C484305171,6621454.77,7193813.01
614,CASH_IN,258988.52,C1354264713,210578.0,469566.52,C1571510241,105624.35,0.0
614,PAYMENT,7891.09,C109085503,14247.0,6355.91,M1037370367,0.0,0.0
614,CASH_OUT,125374.23,C908939688,71704.0,0.0,C970369495,0.0,125374.23
614,PAYMENT,3447.89,C629294044,99019.0,95571.11,M664380712,0.0,0.0
614,PAYMENT,9720.8,C851869919,250729.0,241008.2,M1857697598,0.0,0.0
614,TRANSFER,9982.65,C1494291862,7324.0,0.0,C1508624567,0.0,9982.65
614,CASH_IN,192170.3,C868965241,32287.0,224457.3,C613446890,962350.72,770180.42
614,CASH_OUT,231380.37,C890107303,10050.0,0.0,C554451457,0.0,231380.37
614,PAYMENT,10954.47,C170993663,0.0,0.0,M1541222026,0.0,0.0
614,CASH_IN,303701.13,C841266715,79540.0,383241.13,C234395167,2775852.83,2472151.7
614,PAYMENT,571.04,C1751047477,383241.13,382670.09,M1800605982,0.0,0.0
614,TRANSFER,46301.08,C1506335616,212264.0,165962.92,C1959408119,9315035.97,9361337.04
614,PAYMENT,14440.58,C1313553100,165962.92,151522.34,M1357046085,0.0,0.0
614,CASH_IN,447326.38,C592101798,764447.0,1211773.38,C1055370907,1287.45,0.0
614,CASH_OUT,65092.33,C1019288212,176.0,0.0,C2032935635,137903.73,202996.06
614,CASH_OUT,31678.1,C734780058,1132.0,0.0,C1679915100,21382.46,53060.56
614,CASH_IN,166537.01,C1826942575,316453.0,482990.01,C1745817703,0.0,0.0
614,CASH_OUT,15914.65,C425088420,37396.0,21481.35,C227539326,3067.16,18981.8
614,PAYMENT,19632.71,C762833312,29900.0,10267.29,M1486743966,0.0,0.0
614,PAYMENT,32172.81,C323085172,10267.29,0.0,M949055437,0.0,0.0
614,PAYMENT,3679.65,C716815254,0.0,0.0,M501184070,0.0,0.0
614,PAYMENT,6390.61,C26836170,0.0,0.0,M851805235,0.0,0.0
614,PAYMENT,36784.3,C1430777078,0.0,0.0,M860675422,0.0,0.0
614,PAYMENT,3611.56,C2038012113,0.0,0.0,M1736671185,0.0,0.0
614,PAYMENT,8687.28,C222896011,0.0,0.0,M1480234321,0.0,0.0
614,PAYMENT,3000.01,C1840259479,0.0,0.0,M288470535,0.0,0.0
614,PAYMENT,43437.74,C1421952749,0.0,0.0,M1482539321,0.0,0.0
614,PAYMENT,4922.87,C881717052,0.0,0.0,M680584740,0.0,0.0
614,PAYMENT,19468.99,C1983392757,0.0,0.0,M1088055298,0.0,0.0
614,PAYMENT,14862.07,C460692266,0.0,0.0,M888930214,0.0,0.0
614,PAYMENT,6995.4,C61545807,0.0,0.0,M279117632,0.0,0.0
614,PAYMENT,8254.79,C666471093,0.0,0.0,M1280591659,0.0,0.0
614,PAYMENT,10713.14,C391019147,0.0,0.0,M277991389,0.0,0.0
614,PAYMENT,3170.65,C2073428824,0.0,0.0,M362114590,0.0,0.0
614,PAYMENT,4092.18,C1911276549,0.0,0.0,M1872364226,0.0,0.0
614,PAYMENT,8729.76,C610095274,0.0,0.0,M445005729,0.0,0.0
614,PAYMENT,27787.44,C895617816,0.0,0.0,M181502820,0.0,0.0
614,PAYMENT,11471.95,C1145522836,0.0,0.0,M1872174730,0.0,0.0
614,PAYMENT,24055.47,C1242096299,0.0,0.0,M1287950893,0.0,0.0
614,PAYMENT,18417.47,C841577163,0.0,0.0,M1704810826,0.0,0.0
614,CASH_OUT,168843.11,C1745740520,105223.0,0.0,C1488648836,989338.0,1158181.12
614,CASH_OUT,177949.43,C11550782,84745.0,0.0,C1435979047,0.0,177949.43
614,PAYMENT,3312.93,C2037827017,381404.0,378091.07,M1982760100,0.0,0.0
614,PAYMENT,2228.52,C1899176491,12217.0,9988.48,M1937784195,0.0,0.0
614,PAYMENT,3739.2,C1016592055,924.0,0.0,M1042173477,0.0,0.0
614,PAYMENT,4281.61,C1448350135,10930.0,6648.39,M617239259,0.0,0.0
614,CASH_OUT,113785.16,C669723323,60084.0,0.0,C1192524976,0.0,113785.16
614,PAYMENT,6532.36,C1799894789,4567.0,0.0,M493308530,0.0,0.0
614,CASH_OUT,301306.86,C1808633743,218.0,0.0,C1795822005,374784.88,676091.74
614,PAYMENT,2831.33,C361615039,32245.0,29413.67,M1062679316,0.0,0.0
614,TRANSFER,20768.94,C415550038,117887.0,97118.06,C2068281643,0.0,20768.94
614,PAYMENT,36436.33,C527601462,97118.06,60681.73,M1685144145,0.0,0.0
614,TRANSFER,16865.39,C1656226392,24022.0,7156.61,C1849538623,0.0,16865.39
614,CASH_IN,131957.39,C1544614435,21503.0,153460.39,C216994168,154782.24,22824.85
614,PAYMENT,12611.97,C1469111720,19253.0,6641.03,M966622913,0.0,0.0
614,PAYMENT,17728.04,C454365544,6641.03,0.0,M1087338947,0.0,0.0
614,PAYMENT,10457.06,C291738095,0.0,0.0,M1138400884,0.0,0.0
614,CASH_OUT,17250.96,C1895258422,2097.0,0.0,C1586133618,0.0,17250.96
614,PAYMENT,25946.83,C1271736202,36098.0,10151.17,M1185692661,0.0,0.0
614,PAYMENT,26186.53,C1360143466,10151.17,0.0,M459729303,0.0,0.0
614,CASH_OUT,62662.66,C959806470,40624.0,0.0,C528454083,677553.41,740216.07
614,PAYMENT,8920.06,C509713222,0.0,0.0,M1578163604,0.0,0.0
614,CASH_OUT,128589.79,C1922477456,828.0,0.0,C312304954,0.0,128589.79
614,CASH_OUT,17318.96,C1624320648,50216.0,32897.04,C812085656,347129.97,364448.92
614,TRANSFER,162628.8,C1920480895,46035.0,0.0,C1198092886,0.0,162628.8
614,TRANSFER,93236.07,C710719961,4333.0,0.0,C513408147,1.057031851E7,1.066355458E7
614,CASH_OUT,87509.94,C1843493679,0.0,0.0,C1038817986,246188.51,333698.45
614,CASH_OUT,157292.92,C76384625,0.0,0.0,C2083416269,711909.28,869202.2
614,TRANSFER,149589.84,C938839121,50172.0,0.0,C116232959,624487.65,774077.49
614,CASH_IN,423270.42,C2015918343,12131.0,435401.42,C556528171,3240407.5,2817137.08
614,CASH_OUT,273797.89,C519462190,435401.42,161603.53,C758669662,281204.25,555002.14
614,CASH_OUT,139270.59,C1985517952,11140.0,0.0,C945036355,0.0,139270.59
614,CASH_IN,112277.62,C1842611230,13369.0,125646.62,C988103834,0.0,0.0
614,CASH_OUT,117198.84,C1452255458,21057.0,0.0,C208049251,1.788913432E7,1.800633316E7
614,CASH_OUT,302608.37,C2050785328,12223.0,0.0,C418732310,105167.19,407775.56
614,CASH_IN,32965.37,C1209696878,3312.0,36277.37,C345842023,245973.24,213007.87
614,TRANSFER,361498.34,C86219655,36277.37,0.0,C1225864970,900443.1,1261941.45
614,TRANSFER,603997.66,C776006521,0.0,0.0,C449877516,1562647.6,2166645.25
614,TRANSFER,287252.23,C820233089,0.0,0.0,C352179905,346408.73,633660.95
614,TRANSFER,1178665.86,C754335233,0.0,0.0,C1904851572,4060603.64,5239269.49
614,TRANSFER,501383.77,C890267579,0.0,0.0,C1414223892,1.156221797E7,1.206360174E7
614,TRANSFER,922376.28,C480401731,0.0,0.0,C1207874952,1976512.03,2898888.31
614,TRANSFER,298751.64,C846429853,0.0,0.0,C524702185,6118381.35,6417132.99
614,TRANSFER,437846.14,C803756260,0.0,0.0,C10506868,757539.45,1195385.59
614,TRANSFER,54812.79,C427020061,0.0,0.0,C1744914176,196335.97,251148.76
614,PAYMENT,2407.51,C395703601,57692.0,55284.49,M1044113096,0.0,0.0
614,CASH_IN,11269.27,C1400485523,29497.0,40766.27,C280609590,55012.35,43743.08
614,PAYMENT,6630.77,C1416990918,221581.0,214950.23,M1827789572,0.0,0.0
614,CASH_OUT,101740.47,C220032500,20229.0,0.0,C1400364586,416405.49,518145.97
614,CASH_IN,343819.73,C323915754,18714.0,362533.73,C1178763489,0.0,0.0
614,CASH_OUT,171435.75,C1799737061,1821.0,0.0,C1731822364,6529766.82,6701202.56
614,TRANSFER,1078908.72,C151916914,0.0,0.0,C1648892279,1694782.98,2773691.71
614,CASH_IN,38515.26,C1872408426,18695.0,57210.26,C1124537443,225448.76,186933.5
614,CASH_IN,287192.76,C139222188,57210.26,344403.02,C519770000,5042326.09,4755133.33
614,CASH_IN,217321.92,C1295747494,344403.02,561724.95,C1341968440,541072.84,323750.92
614,CASH_IN,246284.62,C885490930,561724.95,808009.57,C594429406,388300.69,142016.07
614,PAYMENT,4395.82,C236756223,10741.0,6345.18,M1692338348,0.0,0.0
614,PAYMENT,14653.52,C1966656296,165.0,0.0,M2110792041,0.0,0.0
614,CASH_IN,210234.94,C398565704,954.0,211188.94,C1638657963,3842.24,0.0
614,PAYMENT,6240.54,C197611892,8019.0,1778.46,M949332655,0.0,0.0
614,TRANSFER,178507.31,C1144131517,362985.0,184477.69,C790575432,492472.67,670979.98
614,TRANSFER,178343.46,C1591950738,11724.0,0.0,C2006740077,66073.42,244416.88
614,CASH_IN,160734.02,C1864276939,3160.0,163894.02,C614406904,237616.69,76882.67
614,PAYMENT,4528.59,C2060158037,11123.0,6594.41,M785392470,0.0,0.0
614,CASH_OUT,173161.53,C1763214515,6594.41,0.0,C465144189,820660.69,993822.22
614,CASH_OUT,143726.33,C1917033112,0.0,0.0,C202146720,577231.12,720957.45
614,CASH_OUT,8797.85,C1418482089,61618.0,52820.15,C2102874898,166294.56,175092.42
614,PAYMENT,12835.04,C2078868221,19097.0,6261.96,M1459174447,0.0,0.0
614,TRANSFER,83303.82,C939584306,97165.0,13861.18,C1156381865,2102367.04,2185670.86
614,DEBIT,11486.23,C238544002,10276.0,0.0,C1212163688,156317.01,167803.24
614,CASH_OUT,160992.38,C1031463251,0.0,0.0,C1114074751,1707114.96,1868107.33
614,CASH_OUT,352021.99,C578665111,0.0,0.0,C311054829,2253295.11,2605317.09
614,CASH_OUT,182201.09,C496737425,1200.0,0.0,C1318213776,0.0,182201.09
614,CASH_IN,136997.97,C750348372,16012.0,153009.97,C596402983,0.0,0.0
614,PAYMENT,4441.85,C1176728809,153009.97,148568.12,M155572152,0.0,0.0
614,PAYMENT,4620.76,C1216064789,148568.12,143947.36,M803702662,0.0,0.0
614,CASH_OUT,306703.16,C1916676783,13295.0,0.0,C1229616471,0.0,306703.16
614,PAYMENT,17654.93,C1432476487,3525.0,0.0,M1080543227,0.0,0.0
614,CASH_IN,184035.44,C1395631046,6898.0,190933.44,C956747535,182233.72,0.0
614,PAYMENT,11238.23,C1346863198,50469.0,39230.77,M195543794,0.0,0.0
614,CASH_IN,142514.07,C1971426402,152508.0,295022.07,C889193845,0.0,0.0
614,TRANSFER,309061.5,C1528703111,309061.5,0.0,C2133834018,0.0,0.0
614,CASH_OUT,309061.5,C934745802,309061.5,0.0,C952194929,218006.55,527068.05
614,PAYMENT,16191.39,C45277852,349.0,0.0,M2070496300,0.0,0.0
614,PAYMENT,13296.64,C1368986070,57.0,0.0,M1586977897,0.0,0.0
614,CASH_IN,134323.95,C1269101349,39645.0,173968.95,C767384339,170501.99,36178.04
614,CASH_OUT,48680.2,C2052949593,18100.0,0.0,C1912917661,24371.55,73051.75
614,CASH_OUT,73122.3,C1674788709,512.0,0.0,C1203959142,2342874.46,2415996.77
614,PAYMENT,16991.55,C121848674,0.0,0.0,M1804772724,0.0,0.0
614,CASH_OUT,140164.81,C2104203537,100998.0,0.0,C1708795844,36844.3,177009.11
614,CASH_IN,249665.51,C121219534,596.0,250261.51,C1486550428,3011246.4,2761580.9
614,PAYMENT,18009.76,C444375576,250261.51,232251.75,M1689984294,0.0,0.0
614,CASH_IN,170504.15,C1161405361,40071.0,210575.15,C1435626,2725665.82,2555161.67
614,PAYMENT,10348.02,C260310273,210575.15,200227.13,M1880562315,0.0,0.0
614,CASH_OUT,86582.87,C1291414402,20473.0,0.0,C1003774635,58521.12,145103.99
614,CASH_OUT,320945.44,C1146453383,7211.0,0.0,C2017453581,249328.76,570274.21
614,PAYMENT,9897.22,C1800852481,69554.0,59656.78,M593316002,0.0,0.0
614,CASH_OUT,209868.35,C620728880,184251.0,0.0,C1463315582,409750.48,619618.82
614,PAYMENT,2919.24,C1269394029,1017.0,0.0,M369252805,0.0,0.0
614,PAYMENT,1123.91,C1607666687,292528.0,291404.09,M124091431,0.0,0.0
614,PAYMENT,17802.78,C119510180,291404.09,273601.31,M56044019,0.0,0.0
614,CASH_OUT,323187.05,C1142703765,149.0,0.0,C894630252,1039662.94,1362849.99
614,CASH_IN,19074.19,C1748274805,63787.0,82861.19,C1462656288,5638161.25,5619087.06
614,CASH_OUT,53293.3,C326475107,82861.19,29567.89,C154874777,3449796.35,3503089.65
614,PAYMENT,3062.88,C693581391,14494.0,11431.12,M265942302,0.0,0.0
614,CASH_OUT,24021.33,C1137870262,1743.0,0.0,C2040097861,0.0,24021.33
614,CASH_OUT,314752.64,C2096334378,0.0,0.0,C67911708,1235056.78,1549809.42
614,CASH_OUT,103853.96,C1820730037,0.0,0.0,C318825425,218179.66,322033.62
614,CASH_OUT,23047.06,C750209854,0.0,0.0,C726923711,375837.17,398884.23
614,CASH_OUT,47680.94,C2065667115,0.0,0.0,C695804609,1.488799751E7,1.493567845E7
614,CASH_OUT,219072.51,C457023412,0.0,0.0,C1054185371,1228069.05,1447141.55
