step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
315,TRANSFER,5863.97,C108249800,5863.97,0.0,C898806761,0.0,0.0
315,CASH_OUT,5863.97,C2090380520,5863.97,0.0,C1941943656,0.0,5863.97
315,TRANSFER,76640.82,C1716897320,76640.82,0.0,C233158023,0.0,0.0
315,CASH_OUT,76640.82,C47767227,76640.82,0.0,C756075054,0.0,76640.82
315,TRANSFER,3972968.92,C438643114,3972968.92,0.0,C883677752,0.0,0.0
315,CASH_OUT,3972968.92,C602094058,3972968.92,0.0,C680273351,254133.26,4227102.18
315,TRANSFER,4713935.64,C1800396600,4713935.64,0.0,C68101846,0.0,0.0
315,CASH_OUT,4713935.64,C791079404,4713935.64,0.0,C62464448,529413.85,5243349.49
315,TRANSFER,82648.3,C11779770,82648.3,0.0,C478014939,0.0,0.0
315,CASH_OUT,82648.3,C1771024241,82648.3,0.0,C1799501138,403817.5,486465.79
315,TRANSFER,7748802.0,C149785547,7748802.0,0.0,C733601841,0.0,0.0
315,CASH_OUT,7748802.0,C172044102,7748802.0,0.0,C648423233,0.0,7748802.0
